카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년09월_계_총인구수,"340,024","7,454","10,472","9,819","11,660","6,426","13,017","11,890","7,372","13,884","13,377","4,052","21,535","14,543","15,662","18,850","15,184","42,783","11,132","21,187","29,240","18,739","21,746"
2021년09월_계_연령구간인구수,"340,024","7,454","10,472","9,819","11,660","6,426","13,017","11,890","7,372","13,884","13,377","4,052","21,535","14,543","15,662","18,850","15,184","42,783","11,132","21,187","29,240","18,739","21,746"
2021년09월_계_0~9세,"23,995",262,944,938,351,202,713,857,153,485,656,174,"2,160",613,778,879,710,"3,511",621,"2,318","2,405","2,943","1,322"
2021년09월_계_10~19세,"26,187",382,856,630,603,380,879,"1,010",332,788,941,221,"2,312",885,868,"1,275",906,"3,675",623,"2,696","2,915","1,568","1,442"
2021년09월_계_20~29세,"40,826",842,991,"1,031","1,728",759,"1,521","1,492","1,297","1,781","1,675",582,"2,208","1,864","2,141","2,412","1,877","5,094","1,331","2,178","3,788","1,827","2,407"
2021년09월_계_30~39세,"42,862",659,"1,325","1,576","1,370",560,"1,440","1,465","1,066","1,358","1,468",446,"2,663","1,469","1,848","1,775","1,570","5,448","1,335","2,941","3,998","4,457","2,625"
2021년09월_계_40~49세,"50,729",917,"1,814","1,395","1,502",793,"1,845","1,828",922,"1,644","1,883",437,"4,011","1,723","1,975","2,336","1,913","6,690","1,397","4,189","4,866","3,621","3,028"
2021년09월_계_50~59세,"56,307","1,275","1,541","1,498","2,233","1,207","2,182","2,088","1,240","2,509","2,245",714,"3,283","2,829","2,833","3,627","2,749","6,872","2,149","2,914","4,719","1,767","3,833"
2021년09월_계_60~69세,"53,302","1,468","1,446","1,455","2,103","1,299","2,185","1,675","1,251","2,746","2,409",760,"2,800","2,932","2,854","3,519","2,858","6,508","2,046","2,021","3,756","1,557","3,654"
2021년09월_계_70~79세,"30,410","1,016","1,002",868,"1,219",804,"1,454",929,734,"1,704","1,388",463,"1,429","1,522","1,586","1,972","1,767","3,291","1,113","1,311","1,929",719,"2,190"
2021년09월_계_80~89세,"13,794",557,497,386,490,390,711,495,346,797,625,227,583,642,702,959,746,"1,501",461,560,780,243,"1,096"
2021년09월_계_90~99세,"1,559",70,54,40,60,31,83,49,29,70,83,28,83,62,77,92,85,188,54,58,83,34,146
2021년09월_계_100세 이상,53,6,2,2,1,1,4,2,2,2,4,0,3,2,0,4,3,5,2,1,1,3,3
2021년09월_남_총인구수,"167,322","3,704","4,947","4,846","5,895","3,043","6,177","5,874","3,692","6,921","6,408","2,154","10,565","7,247","7,888","9,089","7,627","20,977","5,589","10,257","14,465","9,284","10,673"
2021년09월_남_연령구간인구수,"167,322","3,704","4,947","4,846","5,895","3,043","6,177","5,874","3,692","6,921","6,408","2,154","10,565","7,247","7,888","9,089","7,627","20,977","5,589","10,257","14,465","9,284","10,673"
2021년09월_남_0~9세,"12,232",140,495,490,182,96,374,450,74,280,312,76,"1,069",308,405,442,359,"1,825",305,"1,170","1,232","1,500",648
2021년09월_남_10~19세,"13,732",224,460,344,327,206,470,584,189,428,477,127,"1,176",465,455,673,493,"1,943",340,"1,325","1,503",786,737
2021년09월_남_20~29세,"21,744",457,516,511,899,420,815,798,616,977,882,387,"1,188","1,034","1,180","1,318","1,034","2,689",732,"1,101","2,010",860,"1,320"
2021년09월_남_30~39세,"22,781",403,649,841,778,311,744,741,610,781,810,264,"1,316",843,"1,045",938,902,"2,825",732,"1,436","2,114","2,277","1,421"
2021년09월_남_40~49세,"26,010",501,918,716,838,405,946,875,543,875,942,247,"2,002",936,"1,061","1,190","1,025","3,413",752,"2,017","2,386","1,929","1,493"
2021년09월_남_50~59세,"27,504",659,735,731,"1,162",566,"1,017","1,042",629,"1,238","1,070",369,"1,601","1,378","1,375","1,687","1,420","3,359","1,049","1,497","2,295",806,"1,819"
2021년09월_남_60~69세,"24,732",691,612,658,982,564,943,800,578,"1,272","1,070",388,"1,338","1,367","1,387","1,595","1,344","2,986",969,905,"1,772",725,"1,786"
2021년09월_남_70~79세,"13,270",414,382,395,525,328,579,390,326,728,588,206,649,685,702,874,784,"1,431",490,580,860,318,"1,036"
2021년09월_남_80~89세,"4,969",204,164,154,182,141,266,182,121,321,232,85,212,217,262,349,250,474,205,211,273,79,385
