카테고리,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2021년09월_계_총인구수,"157,401","6,355","3,996","2,949","3,481","6,959","2,674","1,725","2,089","2,806","2,709","1,724","1,833","1,603","1,725","5,098","4,949","22,074","9,015","13,088","6,283","6,206","21,387","16,154","10,519"
2021년09월_계_연령구간인구수,"157,401","6,355","3,996","2,949","3,481","6,959","2,674","1,725","2,089","2,806","2,709","1,724","1,833","1,603","1,725","5,098","4,949","22,074","9,015","13,088","6,283","6,206","21,387","16,154","10,519"
2021년09월_계_0~9세,"10,209",176,84,56,73,463,43,22,49,55,42,30,48,22,29,224,284,"1,846",611,886,363,321,"1,908","1,501","1,073"
2021년09월_계_10~19세,"13,361",266,194,79,117,377,112,57,82,108,76,51,47,43,62,330,401,"2,288",884,940,508,541,"2,584","1,701","1,513"
2021년09월_계_20~29세,"16,389",435,263,136,277,961,129,76,145,160,117,69,83,66,59,609,494,"2,970",833,"1,345",644,671,"2,583","1,968","1,296"
2021년09월_계_30~39세,"15,182",368,181,150,207,"1,113",112,68,118,143,109,54,78,68,65,486,409,"2,516",762,"1,462",555,557,"2,367","2,080","1,154"
2021년09월_계_40~49세,"21,658",547,315,298,322,782,226,149,170,246,167,141,106,110,123,616,685,"3,471","1,349","1,829",894,832,"3,706","2,548","2,026"
2021년09월_계_50~59세,"25,729","1,055",638,510,585,916,411,264,417,489,503,277,336,268,265,782,903,"3,446","1,431","2,165","1,022","1,154","3,480","2,749","1,663"
2021년09월_계_60~69세,"26,737","1,478",952,690,887,"1,043",632,415,520,732,732,493,498,436,496,918,890,"2,925","1,512","2,274","1,177","1,192","2,728","2,133",984
2021년09월_계_70~79세,"16,613","1,119",718,523,538,744,554,347,322,477,535,336,351,337,333,722,553,"1,621","1,011","1,437",713,644,"1,268",895,515
2021년09월_계_80~89세,"9,996",779,566,440,393,474,399,283,227,332,381,246,259,218,259,345,293,869,550,663,354,255,667,489,255
2021년09월_계_90~99세,"1,479",127,81,66,82,80,54,44,39,62,47,24,26,35,34,65,37,121,68,82,51,38,91,86,39
2021년09월_계_100세 이상,48,5,4,1,0,6,2,0,0,2,0,3,1,0,0,1,0,1,4,5,2,1,5,4,1
2021년09월_남_총인구수,"77,859","3,217","2,060","1,541","1,853","3,546","1,295",853,"1,079","1,467","1,369",891,955,835,902,"2,479","2,376","10,965","4,337","6,513","3,053","3,059","10,166","7,855","5,193"
