카테고리,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2021년06월_계_총인구수,"162,215","14,382","29,534","37,215","20,935","22,969","37,180"
2021년06월_계_연령구간인구수,"162,215","14,382","29,534","37,215","20,935","22,969","37,180"
2021년06월_계_0~9세,"12,773",882,"2,146","2,691","1,489","2,292","3,273"
2021년06월_계_10~19세,"14,205",932,"2,390","3,751","2,002","2,063","3,067"
2021년06월_계_20~29세,"23,063","2,440","4,178","4,909","3,243","3,132","5,161"
2021년06월_계_30~39세,"22,530","2,636","4,126","4,586","2,380","3,470","5,332"
2021년06월_계_40~49세,"24,091","1,708","4,336","5,809","3,111","3,532","5,595"
2021년06월_계_50~59세,"29,024","2,019","5,189","6,727","4,127","4,077","6,885"
2021년06월_계_60~69세,"22,369","2,240","3,966","5,505","2,847","2,794","5,017"
2021년06월_계_70~79세,"9,091","1,003","2,017","2,199","1,053",980,"1,839"
2021년06월_계_80~89세,"4,312",438,"1,033",887,569,537,848
2021년06월_계_90~99세,736,82,149,149,109,91,156
2021년06월_계_100세 이상,21,2,4,2,5,1,7
2021년06월_남_총인구수,"80,667","7,302","15,024","18,460","10,283","11,305","18,293"
2021년06월_남_연령구간인구수,"80,667","7,302","15,024","18,460","10,283","11,305","18,293"
2021년06월_남_0~9세,"6,615",475,"1,128","1,332",775,"1,184","1,721"
2021년06월_남_10~19세,"7,297",495,"1,226","1,935","1,060","1,075","1,506"
2021년06월_남_20~29세,"12,128","1,258","2,280","2,584","1,682","1,623","2,701"
2021년06월_남_30~39세,"11,610","1,447","2,246","2,345","1,178","1,683","2,711"
2021년06월_남_40~49세,"11,959",902,"2,274","2,824","1,476","1,759","2,724"
2021년06월_남_50~59세,"13,953",947,"2,573","3,264","1,973","1,940","3,256"
2021년06월_남_60~69세,"11,140","1,107","1,988","2,727","1,438","1,408","2,472"
2021년06월_남_70~79세,"4,291",498,896,"1,085",488,431,893
2021년06월_남_80~89세,"1,504",154,376,331,191,182,270
2021년06월_남_90~99세,167,18,37,32,22,20,38
2021년06월_남_100세 이상,3,1,0,1,0,0,1
2021년06월_여_총인구수,"81,548","7,080","14,510","18,755","10,652","11,664","18,887"
2021년06월_여_연령구간인구수,"81,548","7,080","14,510","18,755","10,652","11,664","18,887"
2021년06월_여_0~9세,"6,158",407,"1,018","1,359",714,"1,108","1,552"
2021년06월_여_10~19세,"6,908",437,"1,164","1,816",942,988,"1,561"
2021년06월_여_20~29세,"10,935","1,182","1,898","2,325","1,561","1,509","2,460"
2021년06월_여_30~39세,"10,920","1,189","1,880","2,241","1,202","1,787","2,621"
2021년06월_여_40~49세,"12,132",806,"2,062","2,985","1,635","1,773","2,871"
2021년06월_여_50~59세,"15,071","1,072","2,616","3,463","2,154","2,137","3,629"
2021년06월_여_60~69세,"11,229","1,133","1,978","2,778","1,409","1,386","2,545"
2021년06월_여_70~79세,"4,800",505,"1,121","1,114",565,549,946
2021년06월_여_80~89세,"2,808",284,657,556,378,355,578
2021년06월_여_90~99세,569,64,112,117,87,71,118
2021년06월_여_100세 이상,18,1,4,1,5,1,6
