카테고리,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2020년01월_계_총인구수,"118,781","8,704","14,030","4,249","4,373","3,103","3,688","3,663","6,285","2,510","6,552","3,574","4,019","2,352","34,791","16,888"
2020년01월_계_연령구간인구수,"118,781","8,704","14,030","4,249","4,373","3,103","3,688","3,663","6,285","2,510","6,552","3,574","4,019","2,352","34,791","16,888"
2020년01월_계_0~9세,"7,692",394,934,108,132,139,88,93,225,64,436,68,106,66,"3,426","1,413"
2020년01월_계_10~19세,"10,252",745,"1,156",187,249,164,177,193,332,120,446,148,221,147,"4,003","1,964"
2020년01월_계_20~29세,"11,984",772,"1,398",328,328,214,236,286,447,124,497,245,468,163,"4,521","1,957"
2020년01월_계_30~39세,"11,394",636,"1,358",267,266,245,236,227,371,126,573,201,262,151,"4,718","1,757"
2020년01월_계_40~49세,"15,963","1,052","1,748",381,448,321,436,377,618,256,726,339,454,233,"5,870","2,704"
2020년01월_계_50~59세,"20,374","1,571","2,332",749,815,498,707,733,"1,264",454,"1,140",632,757,392,"5,393","2,937"
2020년01월_계_60~69세,"19,163","1,637","2,312",913,939,644,824,777,"1,390",595,"1,120",849,777,516,"3,719","2,151"
2020년01월_계_70~79세,"12,823","1,136","1,585",724,687,481,549,559,949,439,915,629,534,375,"2,009","1,252"
2020년01월_계_80~89세,"7,940",640,"1,047",530,464,349,380,365,586,271,607,399,378,263,997,664
2020년01월_계_90~99세,"1,109",105,151,60,43,45,49,50,95,55,88,60,57,43,124,84
2020년01월_계_100세 이상,87,16,9,2,2,3,6,3,8,6,4,4,5,3,11,5
2020년01월_남_총인구수,"59,429","4,239","7,014","2,147","2,205","1,572","1,849","1,878","3,278","1,273","3,321","1,827","2,122","1,146","17,324","8,234"
2020년01월_남_연령구간인구수,"59,429","4,239","7,014","2,147","2,205","1,572","1,849","1,878","3,278","1,273","3,321","1,827","2,122","1,146","17,324","8,234"
2020년01월_남_0~9세,"3,960",202,475,58,63,78,50,48,124,28,221,42,53,30,"1,760",728
2020년01월_남_10~19세,"5,304",387,582,97,128,86,94,91,186,64,262,77,113,70,"2,050","1,017"
2020년01월_남_20~29세,"6,728",432,811,186,182,120,131,164,264,72,292,148,280,100,"2,477","1,069"
2020년01월_남_30~39세,"5,988",328,741,172,161,149,126,140,208,78,284,117,174,83,"2,375",852
2020년01월_남_40~49세,"8,544",553,980,240,272,178,239,236,363,164,404,202,296,131,"2,929","1,357"
2020년01월_남_50~59세,"10,620",790,"1,205",404,437,281,396,410,698,250,613,333,429,213,"2,707","1,454"
2020년01월_남_60~69세,"9,631",791,"1,161",462,492,327,426,405,748,307,584,457,401,269,"1,786","1,015"
2020년01월_남_70~79세,"5,599",487,678,298,305,224,244,254,448,206,407,292,237,150,860,509
2020년01월_남_80~89세,"2,748",238,344,209,153,116,128,120,217,89,228,139,130,83,338,216
2020년01월_남_90~99세,284,24,36,21,11,12,15,10,21,14,26,19,8,17,36,14
2020년01월_남_100세 이상,23,7,1,0,1,1,0,0,1,1,0,1,1,0,6,3
2020년01월_여_총인구수,"59,352","4,465","7,016","2,102","2,168","1,531","1,839","1,785","3,007","1,237","3,231","1,747","1,897","1,206","17,467","8,654"
2020년01월_여_연령구간인구수,"59,352","4,465","7,016","2,102","2,168","1,531","1,839","1,785","3,007","1,237","3,231","1,747","1,897","1,206","17,467","8,654"
2020년01월_여_0~9세,"3,732",192,459,50,69,61,38,45,101,36,215,26,53,36,"1,666",685
2020년01월_여_10~19세,"4,948",358,574,90,121,78,83,102,146,56,184,71,108,77,"1,953",947
2020년01월_여_20~29세,"5,256",340,587,142,146,94,105,122,183,52,205,97,188,63,"2,044",888
2020년01월_여_30~39세,"5,406",308,617,95,105,96,110,87,163,48,289,84,88,68,"2,343",905
2020년01월_여_40~49세,"7,419",499,768,141,176,143,197,141,255,92,322,137,158,102,"2,941","1,347"
2020년01월_여_50~59세,"9,754",781,"1,127",345,378,217,311,323,566,204,527,299,328,179,"2,686","1,483"
2020년01월_여_60~69세,"9,532",846,"1,151",451,447,317,398,372,642,288,536,392,376,247,"1,933","1,136"
2020년01월_여_70~79세,"7,224",649,907,426,382,257,305,305,501,233,508,337,297,225,"1,149",743
2020년01월_여_80~89세,"5,192",402,703,321,311,233,252,245,369,182,379,260,248,180,659,448
2020년01월_여_90~99세,825,81,115,39,32,33,34,40,74,41,62,41,49,26,88,70
2020년01월_여_100세 이상,64,9,8,2,1,2,6,3,7,5,4,3,4,3,5,2
