,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동
2020년08월_계_총인구수,"378,093","20,005","21,138","17,577","20,444","21,745","16,901","25,460","26,065","18,892","18,990","36,383","36,590","48,798","49,105"
2020년08월_계_연령구간인구수,"378,093","20,005","21,138","17,577","20,444","21,745","16,901","25,460","26,065","18,892","18,990","36,383","36,590","48,798","49,105"
2020년08월_계_0~9세,"37,650","1,448","1,572",928,"1,031","1,453","1,058","1,362","2,360","1,436","1,627","3,170","4,865","7,225","8,115"
2020년08월_계_10~19세,"41,947","1,948","2,285","1,113","1,677","1,778","1,305","1,823","2,719","2,047","2,879","5,289","6,281","5,932","4,871"
2020년08월_계_20~29세,"51,093","2,792","3,098","2,565","3,244","3,425","2,312","3,603","3,724","2,810","2,586","5,851","3,703","6,040","5,340"
2020년08월_계_30~39세,"56,452","2,401","2,536","2,342","2,692","3,294","2,309","3,104","3,993","2,594","1,901","4,250","4,553","9,581","10,902"
2020년08월_계_40~49세,"66,955","3,220","3,431","2,370","3,393","3,142","2,298","3,786","4,244","3,089","3,437","6,609","8,529","9,882","9,525"
2020년08월_계_50~59세,"63,432","3,779","4,040","3,564","4,084","3,994","3,162","5,346","4,766","3,559","3,409","6,144","5,381","5,964","6,240"
2020년08월_계_60~69세,"36,836","2,414","2,376","2,818","2,596","2,717","2,436","3,729","2,775","2,093","1,843","3,249","2,118","2,739","2,933"
2020년08월_계_70~79세,"15,310","1,319","1,155","1,251","1,175","1,180","1,163","1,735",917,786,844,"1,192",750,"1,013",830
2020년08월_계_80~89세,"7,127",600,546,539,473,646,707,844,454,427,376,513,342,361,299
2020년08월_계_90~99세,"1,238",81,95,83,75,112,146,120,101,47,87,115,67,61,48
2020년08월_계_100세 이상,53,3,4,4,4,4,5,8,12,4,1,1,1,0,2
2020년08월_남_총인구수,"188,008","9,938","10,474","9,110","11,189","10,671","8,058","13,159","12,812","9,246","9,254","17,903","17,947","23,939","24,308"
2020년08월_남_연령구간인구수,"188,008","9,938","10,474","9,110","11,189","10,671","8,058","13,159","12,812","9,246","9,254","17,903","17,947","23,939","24,308"
2020년08월_남_0~9세,"19,201",752,799,490,543,751,536,702,"1,208",738,814,"1,634","2,470","3,664","4,100"
2020년08월_남_10~19세,"21,549","1,026","1,173",576,930,910,687,939,"1,357","1,046","1,468","2,708","3,226","3,017","2,486"
2020년08월_남_20~29세,"26,479","1,522","1,633","1,439","1,819","1,808","1,142","2,013","1,922","1,456","1,345","2,949","1,877","2,909","2,645"
2020년08월_남_30~39세,"27,840","1,222","1,254","1,341","1,611","1,729","1,212","1,790","1,983","1,315",842,"1,994","1,902","4,475","5,170"
2020년08월_남_40~49세,"32,992","1,580","1,690","1,333","1,935","1,538","1,099","2,005","2,030","1,424","1,572","3,040","4,003","4,883","4,860"
2020년08월_남_50~59세,"31,382","1,837","1,952","1,684","2,214","1,867","1,453","2,722","2,250","1,693","1,702","3,090","2,879","3,009","3,030"
2020년08월_남_60~69세,"18,962","1,200","1,214","1,469","1,403","1,370","1,220","1,894","1,441","1,075",967,"1,711","1,119","1,382","1,497"
2020년08월_남_70~79세,"7,015",574,544,574,566,494,489,783,452,354,392,579,334,461,419
2020년08월_남_80~89세,"2,292",202,189,185,152,175,196,280,142,131,130,172,122,121,95
2020년08월_남_90~99세,283,23,24,19,16,28,22,27,24,13,22,26,15,18,6
2020년08월_남_100세 이상,13,0,2,0,0,1,2,4,3,1,0,0,0,0,0
2020년08월_여_총인구수,"190,085","10,067","10,664","8,467","9,255","11,074","8,843","12,301","13,253","9,646","9,736","18,480","18,643","24,859","24,797"
2020년08월_여_연령구간인구수,"190,085","10,067","10,664","8,467","9,255","11,074","8,843","12,301","13,253","9,646","9,736","18,480","18,643","24,859","24,797"
2020년08월_여_0~9세,"18,449",696,773,438,488,702,522,660,"1,152",698,813,"1,536","2,395","3,561","4,015"
2020년08월_여_10~19세,"20,398",922,"1,112",537,747,868,618,884,"1,362","1,001","1,411","2,581","3,055","2,915","2,385"
2020년08월_여_20~29세,"24,614","1,270","1,465","1,126","1,425","1,617","1,170","1,590","1,802","1,354","1,241","2,902","1,826","3,131","2,695"
2020년08월_여_30~39세,"28,612","1,179","1,282","1,001","1,081","1,565","1,097","1,314","2,010","1,279","1,059","2,256","2,651","5,106","5,732"
2020년08월_여_40~49세,"33,963","1,640","1,741","1,037","1,458","1,604","1,199","1,781","2,214","1,665","1,865","3,569","4,526","4,999","4,665"
2020년08월_여_50~59세,"32,050","1,942","2,088","1,880","1,870","2,127","1,709","2,624","2,516","1,866","1,707","3,054","2,502","2,955","3,210"
2020년08월_여_60~69세,"17,874","1,214","1,162","1,349","1,193","1,347","1,216","1,835","1,334","1,018",876,"1,538",999,"1,357","1,436"
2020년08월_여_70~79세,"8,295",745,611,677,609,686,674,952,465,432,452,613,416,552,411
2020년08월_여_80~89세,"4,835",398,357,354,321,471,511,564,312,296,246,341,220,240,204
2020년08월_여_90~99세,955,58,71,64,59,84,124,93,77,34,65,89,52,43,42
2020년08월_여_100세 이상,40,3,2,4,4,3,3,4,9,3,1,1,1,0,2
