카테고리,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2021년04월_계_총인구수,"91,127","14,329","25,842","7,114","4,383","14,270","6,101","5,776","4,688","1,888","1,924","2,736","1,094",982
2021년04월_계_연령구간인구수,"91,127","14,329","25,842","7,114","4,383","14,270","6,101","5,776","4,688","1,888","1,924","2,736","1,094",982
2021년04월_계_0~9세,"6,675",697,"2,806",367,273,"1,634",229,189,239,59,52,75,34,21
2021년04월_계_10~19세,"8,175","1,160","3,355",486,378,"1,338",342,372,277,102,60,217,43,45
2021년04월_계_20~29세,"8,844","1,765","2,646",701,388,"1,369",522,530,370,129,91,208,79,46
2021년04월_계_30~39세,"9,130","1,205","3,282",579,325,"2,204",421,361,341,97,83,128,58,46
2021년04월_계_40~49세,"13,417","2,062","4,735",916,637,"2,497",595,572,541,196,183,310,92,81
2021년04월_계_50~59세,"15,120","2,446","3,645","1,307",800,"2,158","1,186","1,178",837,322,367,456,248,170
2021년04월_계_60~69세,"14,271","2,370","2,678","1,335",765,"1,595","1,364","1,282",896,403,480,559,294,250
2021년04월_계_70~79세,"9,288","1,532","1,668",872,515,950,861,762,692,324,364,430,136,182
2021년04월_계_80~89세,"5,357",951,874,480,254,455,513,462,419,209,216,299,96,129
2021년04월_계_90~99세,817,138,148,67,45,67,64,64,75,46,27,51,14,11
2021년04월_계_100세 이상,33,3,5,4,3,3,4,4,1,1,1,3,0,1
2021년04월_남_총인구수,"46,842","7,368","13,465","3,685","2,252","7,189","3,171","2,903","2,392",956,965,"1,436",559,501
2021년04월_남_연령구간인구수,"46,842","7,368","13,465","3,685","2,252","7,189","3,171","2,903","2,392",956,965,"1,436",559,501
2021년04월_남_0~9세,"3,331",333,"1,440",170,141,808,110,88,120,30,24,39,20,8
2021년04월_남_10~19세,"4,270",579,"1,752",266,192,679,193,188,165,55,38,121,19,23
2021년04월_남_20~29세,"4,929",966,"1,527",414,229,693,294,281,218,68,47,115,44,33
2021년04월_남_30~39세,"4,736",699,"1,639",300,167,"1,092",243,182,185,50,56,70,27,26
2021년04월_남_40~49세,"7,390","1,137","2,579",509,329,"1,342",359,305,318,112,109,180,59,52
2021년04월_남_50~59세,"8,456","1,420","2,053",757,456,"1,149",642,633,454,185,202,286,128,91
2021년04월_남_60~69세,"7,406","1,182","1,371",691,391,812,714,701,471,217,250,306,168,132
2021년04월_남_70~79세,"4,327",698,777,392,246,441,426,367,309,158,159,208,65,81
2021년04월_남_80~89세,"1,812",322,294,165,95,152,179,147,132,73,75,101,25,52
2021년04월_남_90~99세,179,30,31,21,6,21,10,11,19,8,5,10,4,3
2021년04월_남_100세 이상,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021년04월_여_총인구수,"44,285","6,961","12,377","3,429","2,131","7,081","2,930","2,873","2,296",932,959,"1,300",535,481
2021년04월_여_연령구간인구수,"44,285","6,961","12,377","3,429","2,131","7,081","2,930","2,873","2,296",932,959,"1,300",535,481
2021년04월_여_0~9세,"3,344",364,"1,366",197,132,826,119,101,119,29,28,36,14,13
2021년04월_여_10~19세,"3,905",581,"1,603",220,186,659,149,184,112,47,22,96,24,22
2021년04월_여_20~29세,"3,915",799,"1,119",287,159,676,228,249,152,61,44,93,35,13
2021년04월_여_30~39세,"4,394",506,"1,643",279,158,"1,112",178,179,156,47,27,58,31,20
2021년04월_여_40~49세,"6,027",925,"2,156",407,308,"1,155",236,267,223,84,74,130,33,29
2021년04월_여_50~59세,"6,664","1,026","1,592",550,344,"1,009",544,545,383,137,165,170,120,79
2021년04월_여_60~69세,"6,865","1,188","1,307",644,374,783,650,581,425,186,230,253,126,118
2021년04월_여_70~79세,"4,961",834,891,480,269,509,435,395,383,166,205,222,71,101
2021년04월_여_80~89세,"3,545",629,580,315,159,303,334,315,287,136,141,198,71,77
2021년04월_여_90~99세,638,108,117,46,39,46,54,53,56,38,22,41,10,8
2021년04월_여_100세 이상,27,1,3,4,3,3,3,4,0,1,1,3,0,1
