,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2021년03월_계_총인구수,"77,585","33,113","10,021","2,437","3,036","3,155","1,766","2,525","6,678","2,495","4,500","3,493","4,366"
2021년03월_계_연령구간인구수,"77,585","33,113","10,021","2,437","3,036","3,155","1,766","2,525","6,678","2,495","4,500","3,493","4,366"
2021년03월_계_0~9세,"3,554","2,060",555,57,66,78,37,53,257,68,128,97,98
2021년03월_계_10~19세,"5,660","3,336",663,72,156,142,63,132,382,142,248,127,197
2021년03월_계_20~29세,"6,702","3,519","1,095",119,133,167,79,195,476,132,268,223,296
2021년03월_계_30~39세,"6,015","2,872","1,191",138,170,131,79,139,456,139,235,205,260
2021년03월_계_40~49세,"9,368","4,908","1,179",222,273,273,144,239,747,228,422,310,423
2021년03월_계_50~59세,"13,401","5,840","1,544",420,462,539,268,458,"1,315",427,758,577,793
2021년03월_계_60~69세,"15,047","5,470","1,694",584,746,692,487,592,"1,441",554,956,820,"1,011"
2021년03월_계_70~79세,"10,319","3,232","1,161",461,559,589,332,387,931,429,865,633,740
2021년03월_계_80~89세,"6,642","1,656",846,322,416,487,237,287,586,316,556,451,482
2021년03월_계_90~99세,849,212,91,39,53,55,40,40,84,58,62,50,65
2021년03월_계_100세 이상,28,8,2,3,2,2,0,3,3,2,2,0,1
2021년03월_남_총인구수,"39,006","16,469","5,055","1,262","1,537","1,557",886,"1,319","3,324","1,273","2,287","1,767","2,270"
2021년03월_남_연령구간인구수,"39,006","16,469","5,055","1,262","1,537","1,557",886,"1,319","3,324","1,273","2,287","1,767","2,270"
2021년03월_남_0~9세,"1,835","1,065",272,29,37,42,21,29,132,36,66,52,54
2021년03월_남_10~19세,"2,936","1,693",351,36,89,73,38,75,205,73,123,69,111
2021년03월_남_20~29세,"3,785","1,942",588,69,84,92,45,117,285,80,161,140,182
2021년03월_남_30~39세,"3,340","1,510",676,80,103,75,46,88,250,88,141,119,164
2021년03월_남_40~49세,"5,150","2,490",667,157,154,166,89,158,414,134,267,184,270
2021년03월_남_50~59세,"7,189","3,025",810,247,259,312,146,237,678,250,432,334,459
2021년03월_남_60~69세,"7,487","2,638",835,303,378,359,257,311,705,277,484,429,511
2021년03월_남_70~79세,"4,672","1,454",530,215,256,259,156,176,423,199,405,275,324
2021년03월_남_80~89세,"2,405",598,303,122,165,163,85,116,210,118,197,150,178
2021년03월_남_90~99세,203,52,23,3,12,16,3,11,22,18,11,15,17
2021년03월_남_100세 이상,4,2,0,1,0,0,0,1,0,0,0,0,0
2021년03월_여_총인구수,"38,579","16,644","4,966","1,175","1,499","1,598",880,"1,206","3,354","1,222","2,213","1,726","2,096"
2021년03월_여_연령구간인구수,"38,579","16,644","4,966","1,175","1,499","1,598",880,"1,206","3,354","1,222","2,213","1,726","2,096"
2021년03월_여_0~9세,"1,719",995,283,28,29,36,16,24,125,32,62,45,44
2021년03월_여_10~19세,"2,724","1,643",312,36,67,69,25,57,177,69,125,58,86
2021년03월_여_20~29세,"2,917","1,577",507,50,49,75,34,78,191,52,107,83,114
2021년03월_여_30~39세,"2,675","1,362",515,58,67,56,33,51,206,51,94,86,96
2021년03월_여_40~49세,"4,218","2,418",512,65,119,107,55,81,333,94,155,126,153
2021년03월_여_50~59세,"6,212","2,815",734,173,203,227,122,221,637,177,326,243,334
2021년03월_여_60~69세,"7,560","2,832",859,281,368,333,230,281,736,277,472,391,500
2021년03월_여_70~79세,"5,647","1,778",631,246,303,330,176,211,508,230,460,358,416
2021년03월_여_80~89세,"4,237","1,058",543,200,251,324,152,171,376,198,359,301,304
2021년03월_여_90~99세,646,160,68,36,41,39,37,29,62,40,51,35,48
2021년03월_여_100세 이상,24,6,2,2,2,2,0,2,3,2,2,0,1
