카테고리,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2021년05월_계_총인구수,"388,396","31,850","12,645","44,444","29,138","24,695","28,770","31,713","22,932","26,920","24,720","14,271","14,593","38,357","23,415","19,933"
2021년05월_계_연령구간인구수,"388,396","31,850","12,645","44,444","29,138","24,695","28,770","31,713","22,932","26,920","24,720","14,271","14,593","38,357","23,415","19,933"
2021년05월_계_0~9세,"23,957","1,904",325,"2,745","2,494","1,191","1,606","2,334",781,"1,753","2,082",715,"1,022","2,148","1,490","1,367"
2021년05월_계_10~19세,"27,307","1,956",516,"3,164","2,002","1,603","1,863","2,149",880,"1,618","1,635",753,996,"4,100","2,399","1,673"
2021년05월_계_20~29세,"65,557","5,397","2,409","9,607","4,326","4,155","4,593","4,945","5,192","3,591","3,344","2,494","2,195","6,394","3,403","3,512"
2021년05월_계_30~39세,"61,693","5,455","1,995","6,133","4,993","4,105","4,784","4,434","4,694","4,344","4,023","2,463","2,584","5,342","3,089","3,255"
2021년05월_계_40~49세,"58,144","4,302","1,542","6,488","4,631","3,568","4,295","4,823","2,952","3,966","3,804","2,024","2,287","6,433","3,898","3,131"
2021년05월_계_50~59세,"57,992","4,663","2,054","6,313","4,285","3,842","4,399","5,129","3,003","4,159","3,585","2,053","2,211","5,889","3,711","2,696"
2021년05월_계_60~69세,"49,905","4,305","2,006","5,378","3,429","3,248","3,897","4,053","3,042","3,952","3,409","2,014","1,801","4,233","2,952","2,186"
2021년05월_계_70~79세,"29,696","2,503","1,185","3,053","1,946","2,066","2,265","2,501","1,771","2,440","2,058","1,230","1,017","2,523","1,675","1,463"
2021년05월_계_80~89세,"12,192","1,174",521,"1,326",881,814,941,"1,160",548,927,691,449,409,"1,095",686,570
2021년05월_계_90~99세,"1,773",167,81,210,138,96,118,178,66,138,84,69,67,180,103,78
2021년05월_계_100세 이상,180,24,11,27,13,7,9,7,3,32,5,7,4,20,9,2
2021년05월_남_총인구수,"187,942","15,924","6,518","21,450","14,025","11,821","14,004","15,441","10,923","12,934","11,994","6,825","7,068","18,247","11,250","9,518"
2021년05월_남_연령구간인구수,"187,942","15,924","6,518","21,450","14,025","11,821","14,004","15,441","10,923","12,934","11,994","6,825","7,068","18,247","11,250","9,518"
2021년05월_남_0~9세,"12,242",974,171,"1,377","1,284",607,838,"1,182",403,892,"1,050",385,530,"1,095",764,690
2021년05월_남_10~19세,"14,031","1,015",271,"1,616","1,015",820,"1,005","1,115",465,911,885,392,504,"1,998","1,147",872
