,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2020년12월_계_총인구수,"156,806","40,288","5,797","19,996","11,822","15,071","20,942","8,927","21,652","12,311"
2020년12월_계_연령구간인구수,"156,806","40,288","5,797","19,996","11,822","15,071","20,942","8,927","21,652","12,311"
2020년12월_계_0~9세,"14,889","3,628",239,"2,199",933,"1,376","2,089",712,"2,423","1,290"
2020년12월_계_10~19세,"15,611","4,117",361,"1,913","1,188","1,376","2,320",918,"2,145","1,273"
2020년12월_계_20~29세,"17,725","4,611",725,"2,031","1,534","1,931","2,418",909,"2,402","1,164"
2020년12월_계_30~39세,"23,042","5,912",769,"2,999","1,536","2,241","2,731","1,147","3,862","1,845"
2020년12월_계_40~49세,"25,990","7,279",828,"3,239","1,962","2,324","3,453","1,402","3,428","2,075"
2020년12월_계_50~59세,"25,702","6,619","1,060","3,252","2,288","2,371","3,821","1,422","3,016","1,853"
2020년12월_계_60~69세,"22,709","5,361","1,150","2,788","1,675","2,216","2,850","1,598","3,204","1,867"
2020년12월_계_70~79세,"8,277","2,013",503,"1,117",504,963,927,630,941,679
2020년12월_계_80~89세,"2,467",630,144,403,180,236,281,164,197,232
2020년12월_계_90~99세,367,110,17,51,20,33,50,24,32,30
2020년12월_계_100세 이상,27,8,1,4,2,4,2,1,2,3
2020년12월_남_총인구수,"81,999","21,627","3,129","10,308","6,194","7,815","10,695","4,568","11,432","6,231"
2020년12월_남_연령구간인구수,"81,999","21,627","3,129","10,308","6,194","7,815","10,695","4,568","11,432","6,231"
2020년12월_남_0~9세,"7,618","1,856",122,"1,120",480,723,"1,022",362,"1,269",664
2020년12월_남_10~19세,"8,240","2,199",190,998,637,757,"1,182",468,"1,159",650
2020년12월_남_20~29세,"10,012","2,645",414,"1,128",851,"1,007","1,371",540,"1,415",641
2020년12월_남_30~39세,"12,688","3,439",488,"1,537",858,"1,221","1,417",610,"2,143",975
2020년12월_남_40~49세,"14,136","4,133",489,"1,780","1,023","1,262","1,779",748,"1,839","1,083"
2020년12월_남_50~59세,"12,746","3,453",551,"1,657","1,145","1,155","1,880",673,"1,370",862
2020년12월_남_60~69세,"11,471","2,713",559,"1,408",879,"1,077","1,450",798,"1,629",958
2020년12월_남_70~79세,"4,220",984,261,550,254,515,491,315,526,324
2020년12월_남_80~89세,812,198,51,119,66,88,96,52,75,67
2020년12월_남_90~99세,51,7,4,11,1,7,6,2,6,7
2020년12월_남_100세 이상,5,0,0,0,0,3,1,0,1,0
2020년12월_여_총인구수,"74,807","18,661","2,668","9,688","5,628","7,256","10,247","4,359","10,220","6,080"
2020년12월_여_연령구간인구수,"74,807","18,661","2,668","9,688","5,628","7,256","10,247","4,359","10,220","6,080"
2020년12월_여_0~9세,"7,271","1,772",117,"1,079",453,653,"1,067",350,"1,154",626
2020년12월_여_10~19세,"7,371","1,918",171,915,551,619,"1,138",450,986,623
2020년12월_여_20~29세,"7,713","1,966",311,903,683,924,"1,047",369,987,523
2020년12월_여_30~39세,"10,354","2,473",281,"1,462",678,"1,020","1,314",537,"1,719",870
2020년12월_여_40~49세,"11,854","3,146",339,"1,459",939,"1,062","1,674",654,"1,589",992
2020년12월_여_50~59세,"12,956","3,166",509,"1,595","1,143","1,216","1,941",749,"1,646",991
2020년12월_여_60~69세,"11,238","2,648",591,"1,380",796,"1,139","1,400",800,"1,575",909
2020년12월_여_70~79세,"4,057","1,029",242,567,250,448,436,315,415,355
2020년12월_여_80~89세,"1,655",432,93,284,114,148,185,112,122,165
2020년12월_여_90~99세,316,103,13,40,19,26,44,22,26,23
2020년12월_여_100세 이상,22,8,1,4,2,1,1,1,1,3
