,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2021년03월_계_총인구수,"44,171","5,360","3,523","11,989","15,282","1,928","3,749","2,233",107,0,0,0,0
2021년03월_계_연령구간인구수,"44,171","5,360","3,523","11,989","15,282","1,928","3,749","2,233",107,0,0,0,0
2021년03월_계_0~9세,"3,315",424,353,809,"1,151",167,230,181,0,0,0,0,0
2021년03월_계_10~19세,"3,708",476,253,987,"1,428",89,335,137,3,0,0,0,0
2021년03월_계_20~29세,"5,629",657,523,"1,588","1,761",386,437,275,2,0,0,0,0
2021년03월_계_30~39세,"4,623",561,445,"1,242","1,537",229,340,266,3,0,0,0,0
2021년03월_계_40~49세,"5,620",656,379,"1,613","2,052",188,530,194,8,0,0,0,0
2021년03월_계_50~59세,"7,048",881,467,"1,982","2,504",230,643,325,16,0,0,0,0
2021년03월_계_60~69세,"6,881",798,499,"1,907","2,372",277,593,415,20,0,0,0,0
2021년03월_계_70~79세,"4,683",587,360,"1,207","1,589",224,388,290,38,0,0,0,0
2021년03월_계_80~89세,"2,283",280,208,559,754,117,218,131,16,0,0,0,0
2021년03월_계_90~99세,364,40,34,90,128,19,34,18,1,0,0,0,0
2021년03월_계_100세 이상,17,0,2,5,6,2,1,1,0,0,0,0,0
2021년03월_남_총인구수,"22,963","2,737","1,884","6,434","7,683","1,073","1,898","1,202",52,0,0,0,0
2021년03월_남_연령구간인구수,"22,963","2,737","1,884","6,434","7,683","1,073","1,898","1,202",52,0,0,0,0
2021년03월_남_0~9세,"1,669",199,199,395,566,85,125,100,0,0,0,0,0
2021년03월_남_10~19세,"1,932",261,131,543,707,54,165,69,2,0,0,0,0
2021년03월_남_20~29세,"3,666",398,350,"1,082","1,063",285,282,205,1,0,0,0,0
2021년03월_남_30~39세,"2,547",311,246,717,803,139,177,152,2,0,0,0,0
2021년03월_남_40~49세,"3,013",354,212,865,"1,062",113,290,112,5,0,0,0,0
2021년03월_남_50~59세,"3,749",476,255,"1,048","1,329",123,337,170,11,0,0,0,0
2021년03월_남_60~69세,"3,387",379,261,977,"1,141",133,275,214,7,0,0,0,0
2021년03월_남_70~79세,"2,083",258,141,554,718,100,167,130,15,0,0,0,0
2021년03월_남_80~89세,828,93,82,228,258,36,77,45,9,0,0,0,0
2021년03월_남_90~99세,84,8,7,22,35,4,3,5,0,0,0,0,0
2021년03월_남_100세 이상,5,0,0,3,1,1,0,0,0,0,0,0,0
2021년03월_여_총인구수,"21,208","2,623","1,639","5,555","7,599",855,"1,851","1,031",55,0,0,0,0
2021년03월_여_연령구간인구수,"21,208","2,623","1,639","5,555","7,599",855,"1,851","1,031",55,0,0,0,0
2021년03월_여_0~9세,"1,646",225,154,414,585,82,105,81,0,0,0,0,0
2021년03월_여_10~19세,"1,776",215,122,444,721,35,170,68,1,0,0,0,0
2021년03월_여_20~29세,"1,963",259,173,506,698,101,155,70,1,0,0,0,0
2021년03월_여_30~39세,"2,076",250,199,525,734,90,163,114,1,0,0,0,0
2021년03월_여_40~49세,"2,607",302,167,748,990,75,240,82,3,0,0,0,0
2021년03월_여_50~59세,"3,299",405,212,934,"1,175",107,306,155,5,0,0,0,0
2021년03월_여_60~69세,"3,494",419,238,930,"1,231",144,318,201,13,0,0,0,0
2021년03월_여_70~79세,"2,600",329,219,653,871,124,221,160,23,0,0,0,0
2021년03월_여_80~89세,"1,455",187,126,331,496,81,141,86,7,0,0,0,0
2021년03월_여_90~99세,280,32,27,68,93,15,31,13,1,0,0,0,0
2021년03월_여_100세 이상,12,0,2,2,5,1,1,1,0,0,0,0,0
