카테고리,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2021년05월_계_총인구수,"41,718","6,188","4,442","5,838","13,345","3,820","3,437","2,600","2,048"
2021년05월_계_연령구간인구수,"41,718","6,188","4,442","5,838","13,345","3,820","3,437","2,600","2,048"
2021년05월_계_0~9세,"2,442",447,183,367,"1,063",149,132,63,38
2021년05월_계_10~19세,"3,746",557,305,506,"1,576",259,241,215,87
2021년05월_계_20~29세,"3,573",599,338,402,"1,401",267,284,153,129
2021년05월_계_30~39세,"3,552",576,272,499,"1,428",269,242,141,125
2021년05월_계_40~49세,"6,215",889,606,878,"2,549",480,363,271,179
2021년05월_계_50~59세,"7,134","1,083",778,910,"2,172",712,705,411,363
2021년05월_계_60~69세,"7,754","1,112","1,042","1,083","1,775",914,725,618,485
2021년05월_계_70~79세,"4,835",642,619,777,945,522,455,473,402
2021년05월_계_80~89세,"2,169",251,254,360,385,216,255,235,213
2021년05월_계_90~99세,275,30,44,49,49,27,29,20,27
2021년05월_계_100세 이상,23,2,1,7,2,5,6,0,0
2021년05월_남_총인구수,"21,160","3,088","2,269","2,979","6,774","1,926","1,691","1,371","1,062"
2021년05월_남_연령구간인구수,"21,160","3,088","2,269","2,979","6,774","1,926","1,691","1,371","1,062"
2021년05월_남_0~9세,"1,291",239,90,203,555,76,68,39,21
2021년05월_남_10~19세,"1,943",291,164,258,810,113,111,150,46
2021년05월_남_20~29세,"2,077",362,203,242,806,145,156,87,76
2021년05월_남_30~39세,"1,880",309,149,255,723,148,141,77,78
2021년05월_남_40~49세,"3,305",456,335,501,"1,289",267,195,162,100
2021년05월_남_50~59세,"3,837",534,421,521,"1,156",378,366,251,210
2021년05월_남_60~69세,"3,826",525,537,506,863,463,373,311,248
2021년05월_남_70~79세,"2,141",279,258,340,434,233,197,209,191
2021년05월_남_80~89세,790,87,102,136,130,95,78,80,82
2021년05월_남_90~99세,60,5,9,14,7,6,4,5,10
2021년05월_남_100세 이상,10,1,1,3,1,2,2,0,0
2021년05월_여_총인구수,"20,558","3,100","2,173","2,859","6,571","1,894","1,746","1,229",986
2021년05월_여_연령구간인구수,"20,558","3,100","2,173","2,859","6,571","1,894","1,746","1,229",986
2021년05월_여_0~9세,"1,151",208,93,164,508,73,64,24,17
2021년05월_여_10~19세,"1,803",266,141,248,766,146,130,65,41
2021년05월_여_20~29세,"1,496",237,135,160,595,122,128,66,53
2021년05월_여_30~39세,"1,672",267,123,244,705,121,101,64,47
2021년05월_여_40~49세,"2,910",433,271,377,"1,260",213,168,109,79
2021년05월_여_50~59세,"3,297",549,357,389,"1,016",334,339,160,153
2021년05월_여_60~69세,"3,928",587,505,577,912,451,352,307,237
2021년05월_여_70~79세,"2,694",363,361,437,511,289,258,264,211
2021년05월_여_80~89세,"1,379",164,152,224,255,121,177,155,131
2021년05월_여_90~99세,215,25,35,35,42,21,25,15,17
2021년05월_여_100세 이상,13,1,0,4,1,3,4,0,0
