카테고리,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2020년06월_계_총인구수,"36,721","11,180","6,310","2,391","1,150","1,485",539,946,"1,764","6,464","2,794","1,698"
2020년06월_계_연령구간인구수,"36,721","11,180","6,310","2,391","1,150","1,485",539,946,"1,764","6,464","2,794","1,698"
2020년06월_계_0~9세,"1,762",850,247,52,15,39,8,34,42,361,88,26
2020년06월_계_10~19세,"2,122",931,294,68,44,36,18,36,75,452,117,51
2020년06월_계_20~29세,"2,534",985,456,133,53,76,16,49,97,490,120,59
2020년06월_계_30~39세,"2,549","1,105",413,109,50,58,13,39,81,482,139,60
2020년06월_계_40~49세,"4,008","1,604",724,199,69,107,33,90,175,698,198,111
2020년06월_계_50~59세,"6,279","1,860","1,160",413,189,283,81,146,312,"1,120",456,259
2020년06월_계_60~69세,"7,248","1,780","1,354",552,272,357,140,184,415,"1,185",605,404
2020년06월_계_70~79세,"6,002","1,252","1,074",481,255,308,142,203,367,953,566,401
2020년06월_계_80~89세,"3,701",698,524,330,175,196,79,146,183,630,452,288
2020년06월_계_90~99세,490,106,63,53,26,24,9,17,17,92,51,32
2020년06월_계_100세 이상,26,9,1,1,2,1,0,2,0,1,2,7
2020년06월_남_총인구수,"17,423","5,347","2,985","1,162",509,732,254,452,837,"3,006","1,306",833
2020년06월_남_연령구간인구수,"17,423","5,347","2,985","1,162",509,732,254,452,837,"3,006","1,306",833
2020년06월_남_0~9세,873,407,132,28,9,23,3,19,26,168,44,14
2020년06월_남_10~19세,"1,094",466,164,41,22,19,9,20,41,232,56,24
2020년06월_남_20~29세,"1,474",564,264,85,28,47,10,29,53,281,77,36
2020년06월_남_30~39세,"1,311",536,223,61,30,30,8,20,45,246,77,35
2020년06월_남_40~49세,"2,256",834,408,131,34,72,26,57,106,372,139,77
2020년06월_남_50~59세,"3,298",987,585,233,102,159,45,84,160,561,243,139
2020년06월_남_60~69세,"3,456",821,633,285,139,180,65,87,196,549,289,212
2020년06월_남_70~79세,"2,391",494,408,183,91,128,57,87,149,390,228,176
2020년06월_남_80~89세,"1,169",214,162,103,49,65,30,43,54,195,142,112
2020년06월_남_90~99세,94,21,5,12,5,9,1,5,7,12,11,6
2020년06월_남_100세 이상,7,3,1,0,0,0,0,1,0,0,0,2
2020년06월_여_총인구수,"19,298","5,833","3,325","1,229",641,753,285,494,927,"3,458","1,488",865
2020년06월_여_연령구간인구수,"19,298","5,833","3,325","1,229",641,753,285,494,927,"3,458","1,488",865
2020년06월_여_0~9세,889,443,115,24,6,16,5,15,16,193,44,12
2020년06월_여_10~19세,"1,028",465,130,27,22,17,9,16,34,220,61,27
2020년06월_여_20~29세,"1,060",421,192,48,25,29,6,20,44,209,43,23
2020년06월_여_30~39세,"1,238",569,190,48,20,28,5,19,36,236,62,25
2020년06월_여_40~49세,"1,752",770,316,68,35,35,7,33,69,326,59,34
2020년06월_여_50~59세,"2,981",873,575,180,87,124,36,62,152,559,213,120
2020년06월_여_60~69세,"3,792",959,721,267,133,177,75,97,219,636,316,192
2020년06월_여_70~79세,"3,611",758,666,298,164,180,85,116,218,563,338,225
2020년06월_여_80~89세,"2,532",484,362,227,126,131,49,103,129,435,310,176
2020년06월_여_90~99세,396,85,58,41,21,15,8,12,10,80,40,26
2020년06월_여_100세 이상,19,6,0,1,2,1,0,1,0,1,2,5
