카테고리,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2021년03월_계_총인구수,"34,327","13,527","4,392","2,312","1,134","2,490","1,785","2,792","1,840","1,627",635,"1,793"
2021년03월_계_연령구간인구수,"34,327","13,527","4,392","2,312","1,134","2,490","1,785","2,792","1,840","1,627",635,"1,793"
2021년03월_계_0~9세,"1,695",960,249,64,25,49,69,103,41,47,14,74
2021년03월_계_10~19세,"2,489","1,336",349,123,43,134,95,127,66,82,46,88
2021년03월_계_20~29세,"2,840","1,519",367,142,64,120,73,185,111,93,37,129
2021년03월_계_30~39세,"2,358","1,251",330,102,50,104,83,154,85,69,22,108
2021년03월_계_40~49세,"3,707","1,845",473,190,98,192,160,244,126,145,49,185
2021년03월_계_50~59세,"5,603","2,219",708,387,183,375,297,434,312,263,104,321
2021년03월_계_60~69세,"6,279","2,045",756,478,258,568,398,606,373,328,107,362
2021년03월_계_70~79세,"5,178","1,412",601,454,240,507,321,511,378,303,129,322
2021년03월_계_80~89세,"3,586",813,487,318,140,370,257,363,302,249,106,181
2021년03월_계_90~99세,564,117,70,52,32,63,31,65,44,46,21,23
2021년03월_계_100세 이상,28,10,2,2,1,8,1,0,2,2,0,0
2021년03월_남_총인구수,"16,605","6,523","2,133","1,116",543,"1,207",848,"1,371",886,770,316,892
2021년03월_남_연령구간인구수,"16,605","6,523","2,133","1,116",543,"1,207",848,"1,371",886,770,316,892
2021년03월_남_0~9세,843,485,126,39,9,24,24,50,24,20,7,35
2021년03월_남_10~19세,"1,280",670,193,55,21,73,49,59,32,48,27,53
2021년03월_남_20~29세,"1,595",814,220,82,40,73,41,120,61,54,22,68
2021년03월_남_30~39세,"1,215",624,176,57,27,61,39,78,48,38,9,58
2021년03월_남_40~49세,"2,066",932,245,114,63,120,104,151,85,95,36,121
2021년03월_남_50~59세,"3,019","1,121",374,206,108,219,164,242,188,147,65,185
2021년03월_남_60~69세,"3,140",999,404,246,119,292,190,310,191,162,58,169
2021년03월_남_70~79세,"2,235",608,241,203,111,224,152,224,153,118,61,140
2021년03월_남_80~89세,"1,105",247,141,105,41,108,83,121,96,78,25,60
2021년03월_남_90~99세,102,22,13,8,4,12,2,16,7,9,6,3
2021년03월_남_100세 이상,5,1,0,1,0,1,0,0,1,1,0,0
2021년03월_여_총인구수,"17,722","7,004","2,259","1,196",591,"1,283",937,"1,421",954,857,319,901
2021년03월_여_연령구간인구수,"17,722","7,004","2,259","1,196",591,"1,283",937,"1,421",954,857,319,901
2021년03월_여_0~9세,852,475,123,25,16,25,45,53,17,27,7,39
2021년03월_여_10~19세,"1,209",666,156,68,22,61,46,68,34,34,19,35
2021년03월_여_20~29세,"1,245",705,147,60,24,47,32,65,50,39,15,61
2021년03월_여_30~39세,"1,143",627,154,45,23,43,44,76,37,31,13,50
2021년03월_여_40~49세,"1,641",913,228,76,35,72,56,93,41,50,13,64
2021년03월_여_50~59세,"2,584","1,098",334,181,75,156,133,192,124,116,39,136
2021년03월_여_60~69세,"3,139","1,046",352,232,139,276,208,296,182,166,49,193
2021년03월_여_70~79세,"2,943",804,360,251,129,283,169,287,225,185,68,182
2021년03월_여_80~89세,"2,481",566,346,213,99,262,174,242,206,171,81,121
2021년03월_여_90~99세,462,95,57,44,28,51,29,49,37,37,15,20
2021년03월_여_100세 이상,23,9,2,1,1,7,1,0,1,1,0,0
