,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2020년06월_계_총인구수,"68,998","34,810","4,582","2,412","2,376","3,777","3,938","6,148","3,775","3,928","3,252"
2020년06월_계_연령구간인구수,"68,998","34,810","4,582","2,412","2,376","3,777","3,938","6,148","3,775","3,928","3,252"
2020년06월_계_0~9세,"3,882","2,739",124,39,49,136,93,364,94,125,119
2020년06월_계_10~19세,"5,293","3,633",162,114,107,207,166,420,136,192,156
2020년06월_계_20~29세,"6,759","4,089",339,146,121,274,258,792,258,293,189
2020년06월_계_30~39세,"6,226","4,007",312,100,98,210,202,581,248,264,204
2020년06월_계_40~49세,"8,365","5,352",389,165,199,335,350,570,358,351,296
2020년06월_계_50~59세,"12,918","6,042",843,469,499,826,789,"1,036",762,863,789
2020년06월_계_60~69세,"13,314","4,851","1,200",659,671,926,"1,065","1,166","1,021",928,827
2020년06월_계_70~79세,"7,324","2,535",703,420,375,494,603,698,555,520,421
2020년06월_계_80~89세,"4,263","1,347",424,255,232,323,366,462,289,348,217
2020년06월_계_90~99세,612,199,81,45,25,42,39,58,51,39,33
2020년06월_계_100세 이상,42,16,5,0,0,4,7,1,3,5,1
2020년06월_남_총인구수,"35,452","17,534","2,393","1,213","1,248","1,927","2,033","3,315","1,985","2,075","1,729"
2020년06월_남_연령구간인구수,"35,452","17,534","2,393","1,213","1,248","1,927","2,033","3,315","1,985","2,075","1,729"
2020년06월_남_0~9세,"1,951","1,356",58,23,31,72,47,192,47,62,63
2020년06월_남_10~19세,"2,746","1,874",88,66,64,106,97,187,72,108,84
2020년06월_남_20~29세,"4,047","2,338",213,86,68,173,154,585,147,174,109
2020년06월_남_30~39세,"3,385","2,108",189,52,62,105,112,334,156,156,111
2020년06월_남_40~49세,"4,501","2,703",246,97,126,190,210,327,218,215,169
2020년06월_남_50~59세,"6,790","3,125",455,245,258,424,421,556,395,468,443
2020년06월_남_60~69세,"6,899","2,424",628,341,353,484,547,623,558,504,437
2020년06월_남_70~79세,"3,462","1,091",355,192,202,248,309,333,266,251,215
2020년06월_남_80~89세,"1,490",463,135,100,76,112,124,161,107,125,87
2020년06월_남_90~99세,172,51,23,11,8,12,11,17,19,10,10
2020년06월_남_100세 이상,9,1,3,0,0,1,1,0,0,2,1
2020년06월_여_총인구수,"33,546","17,276","2,189","1,199","1,128","1,850","1,905","2,833","1,790","1,853","1,523"
2020년06월_여_연령구간인구수,"33,546","17,276","2,189","1,199","1,128","1,850","1,905","2,833","1,790","1,853","1,523"
2020년06월_여_0~9세,"1,931","1,383",66,16,18,64,46,172,47,63,56
2020년06월_여_10~19세,"2,547","1,759",74,48,43,101,69,233,64,84,72
2020년06월_여_20~29세,"2,712","1,751",126,60,53,101,104,207,111,119,80
2020년06월_여_30~39세,"2,841","1,899",123,48,36,105,90,247,92,108,93
2020년06월_여_40~49세,"3,864","2,649",143,68,73,145,140,243,140,136,127
2020년06월_여_50~59세,"6,128","2,917",388,224,241,402,368,480,367,395,346
2020년06월_여_60~69세,"6,415","2,427",572,318,318,442,518,543,463,424,390
2020년06월_여_70~79세,"3,862","1,444",348,228,173,246,294,365,289,269,206
2020년06월_여_80~89세,"2,773",884,289,155,156,211,242,301,182,223,130
2020년06월_여_90~99세,440,148,58,34,17,30,28,41,32,29,23
2020년06월_여_100세 이상,33,15,2,0,0,3,6,1,3,3,0
