,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2021년06월_계_총인구수,"43,168","7,207","18,512","8,759","8,690"
2021년06월_계_연령구간인구수,"43,168","7,207","18,512","8,759","8,690"
2021년06월_계_0~9세,"3,864",609,"1,211","1,313",731
2021년06월_계_10~19세,"6,270",913,"2,328","1,944","1,085"
2021년06월_계_20~29세,"4,889",761,"2,317",819,992
2021년06월_계_30~39세,"4,630",689,"1,731","1,333",877
2021년06월_계_40~49세,"8,326","1,184","3,116","2,480","1,546"
2021년06월_계_50~59세,"7,072","1,326","3,520",710,"1,516"
2021년06월_계_60~69세,"4,705","1,053","2,334",86,"1,232"
2021년06월_계_70~79세,"2,088",434,"1,124",52,478
2021년06월_계_80~89세,"1,126",189,715,20,202
2021년06월_계_90~99세,195,48,114,2,31
2021년06월_계_100세 이상,3,1,2,0,0
2021년06월_남_총인구수,"21,504","3,536","9,047","4,565","4,356"
2021년06월_남_연령구간인구수,"21,504","3,536","9,047","4,565","4,356"
2021년06월_남_0~9세,"1,941",311,619,647,364
2021년06월_남_10~19세,"3,297",459,"1,244","1,023",571
2021년06월_남_20~29세,"2,722",406,"1,251",483,582
2021년06월_남_30~39세,"2,322",330,885,669,438
2021년06월_남_40~49세,"4,046",555,"1,490","1,272",729
2021년06월_남_50~59세,"3,547",665,"1,710",429,743
2021년06월_남_60~69세,"2,274",529,"1,124",22,599
2021년06월_남_70~79세,946,211,479,12,244
2021년06월_남_80~89세,367,64,220,7,76
2021년06월_남_90~99세,42,6,25,1,10
2021년06월_남_100세 이상,0,0,0,0,0
2021년06월_여_총인구수,"21,664","3,671","9,465","4,194","4,334"
2021년06월_여_연령구간인구수,"21,664","3,671","9,465","4,194","4,334"
2021년06월_여_0~9세,"1,923",298,592,666,367
2021년06월_여_10~19세,"2,973",454,"1,084",921,514
2021년06월_여_20~29세,"2,167",355,"1,066",336,410
2021년06월_여_30~39세,"2,308",359,846,664,439
2021년06월_여_40~49세,"4,280",629,"1,626","1,208",817
2021년06월_여_50~59세,"3,525",661,"1,810",281,773
2021년06월_여_60~69세,"2,431",524,"1,210",64,633
2021년06월_여_70~79세,"1,142",223,645,40,234
2021년06월_여_80~89세,759,125,495,13,126
2021년06월_여_90~99세,153,42,89,1,21
2021년06월_여_100세 이상,3,1,2,0,0
