카테고리,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2020년02월_계_총인구수,"217,993","7,540","7,212","9,347","14,970","29,712","5,566","7,854","9,112","6,766","12,830","6,222","19,985","8,643","47,163","19,388","5,683"
2020년02월_계_연령구간인구수,"217,993","7,540","7,212","9,347","14,970","29,712","5,566","7,854","9,112","6,766","12,830","6,222","19,985","8,643","47,163","19,388","5,683"
2020년02월_계_0~9세,"18,250",565,583,529,988,"3,099",321,389,411,282,"1,126",425,"1,485",556,"4,226","2,959",306
2020년02월_계_10~19세,"23,448",759,693,816,"1,491","5,000",302,453,672,396,"1,170",420,"2,141",664,"6,162","1,963",346
2020년02월_계_20~29세,"28,552",856,895,"1,262","2,134","3,520",657,936,"1,243",976,"1,568",948,"2,862","1,188","6,741","2,249",517
2020년02월_계_30~39세,"26,951",749,936,993,"1,728","3,098",704,881,"1,130",803,"1,681",865,"2,387",980,"5,791","3,774",451
2020년02월_계_40~49세,"34,520","1,147","1,149","1,288","2,370","5,614",781,"1,057","1,258",875,"1,954",863,"3,165","1,193","7,865","3,235",706
2020년02월_계_50~59세,"33,852","1,159","1,041","1,566","2,437","4,373",928,"1,330","1,607","1,296","1,956",939,"3,374","1,504","6,947","2,478",917
2020년02월_계_60~69세,"27,184","1,047",936,"1,380","1,927","2,802",847,"1,243","1,485","1,157","1,790",868,"2,546","1,372","5,093","1,640","1,051"
2020년02월_계_70~79세,"17,051",855,700,"1,028","1,187","1,418",722,"1,080",925,689,"1,069",623,"1,439",854,"2,948",710,804
2020년02월_계_80~89세,"7,004",342,241,408,612,658,260,412,333,252,443,237,510,288,"1,205",301,502
2020년02월_계_90~99세,"1,083",50,31,68,92,126,30,67,47,35,71,25,71,38,177,77,78
2020년02월_계_100세 이상,98,11,7,9,4,4,14,6,1,5,2,9,5,6,8,2,5
2020년02월_남_총인구수,"104,972","3,476","3,436","4,431","7,087","13,947","2,841","4,027","4,658","3,391","6,076","3,074","9,726","4,306","22,274","9,421","2,801"
2020년02월_남_연령구간인구수,"104,972","3,476","3,436","4,431","7,087","13,947","2,841","4,027","4,658","3,391","6,076","3,074","9,726","4,306","22,274","9,421","2,801"
2020년02월_남_0~9세,"9,308",294,308,272,519,"1,536",154,193,218,143,570,222,766,273,"2,137","1,546",157
2020년02월_남_10~19세,"11,823",364,339,422,754,"2,572",167,243,362,210,566,210,"1,109",346,"2,992",993,174
2020년02월_남_20~29세,"14,676",435,458,649,"1,109","1,789",343,529,665,524,810,444,"1,476",643,"3,345","1,152",305
2020년02월_남_30~39세,"13,359",364,447,513,863,"1,365",388,484,640,458,825,441,"1,203",538,"2,744","1,843",243
2020년02월_남_40~49세,"16,921",563,578,646,"1,126","2,497",449,625,702,481,957,496,"1,525",601,"3,699","1,576",400
2020년02월_남_50~59세,"15,974",518,489,718,"1,124","2,022",497,724,799,614,889,468,"1,588",713,"3,162","1,157",492
2020년02월_남_60~69세,"12,508",427,409,604,869,"1,289",401,581,708,555,800,386,"1,215",652,"2,342",735,535
2020년02월_남_70~79세,"7,647",363,306,444,497,614,329,487,437,320,465,299,649,412,"1,359",326,340
2020년02월_남_80~89세,"2,496",125,92,150,205,230,103,146,114,79,172,97,184,117,452,85,145
2020년02월_남_90~99세,247,20,8,13,20,33,7,15,13,6,22,9,11,11,42,8,9
2020년02월_남_100세 이상,13,3,2,0,1,0,3,0,0,1,0,2,0,0,0,0,1
2020년02월_여_총인구수,"113,021","4,064","3,776","4,916","7,883","15,765","2,725","3,827","4,454","3,375","6,754","3,148","10,259","4,337","24,889","9,967","2,882"
2020년02월_여_연령구간인구수,"113,021","4,064","3,776","4,916","7,883","15,765","2,725","3,827","4,454","3,375","6,754","3,148","10,259","4,337","24,889","9,967","2,882"
2020년02월_여_0~9세,"8,942",271,275,257,469,"1,563",167,196,193,139,556,203,719,283,"2,089","1,413",149
2020년02월_여_10~19세,"11,625",395,354,394,737,"2,428",135,210,310,186,604,210,"1,032",318,"3,170",970,172
2020년02월_여_20~29세,"13,876",421,437,613,"1,025","1,731",314,407,578,452,758,504,"1,386",545,"3,396","1,097",212
2020년02월_여_30~39세,"13,592",385,489,480,865,"1,733",316,397,490,345,856,424,"1,184",442,"3,047","1,931",208
2020년02월_여_40~49세,"17,599",584,571,642,"1,244","3,117",332,432,556,394,997,367,"1,640",592,"4,166","1,659",306
2020년02월_여_50~59세,"17,878",641,552,848,"1,313","2,351",431,606,808,682,"1,067",471,"1,786",791,"3,785","1,321",425
2020년02월_여_60~69세,"14,676",620,527,776,"1,058","1,513",446,662,777,602,990,482,"1,331",720,"2,751",905,516
2020년02월_여_70~79세,"9,404",492,394,584,690,804,393,593,488,369,604,324,790,442,"1,589",384,464
2020년02월_여_80~89세,"4,508",217,149,258,407,428,157,266,219,173,271,140,326,171,753,216,357
2020년02월_여_90~99세,836,30,23,55,72,93,23,52,34,29,49,16,60,27,135,69,69
2020년02월_여_100세 이상,85,8,5,9,3,4,11,6,1,4,2,7,5,6,8,2,4
