카테고리,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2021년10월_계_총인구수,"62,930","12,412","9,669",601,222,"3,101","2,914","4,291","3,814","4,854","1,867","2,634","3,293","2,271","3,071","2,228","2,980","1,248","1,460"
2021년10월_계_연령구간인구수,"62,930","12,412","9,669",601,222,"3,101","2,914","4,291","3,814","4,854","1,867","2,634","3,293","2,271","3,071","2,228","2,980","1,248","1,460"
2021년10월_계_0~9세,"2,446",976,496,26,1,62,77,117,81,116,52,37,87,56,97,57,57,26,25
2021년10월_계_10~19세,"3,692","1,401",743,23,12,90,116,184,158,214,87,92,108,97,113,70,94,36,54
2021년10월_계_20~29세,"3,905","1,216",720,16,9,125,149,207,187,228,72,109,204,116,190,101,122,54,80
2021년10월_계_30~39세,"3,451","1,109",672,27,15,129,133,159,148,193,62,86,147,111,158,92,93,49,68
2021년10월_계_40~49세,"5,995","1,828","1,115",31,31,220,217,320,293,412,149,193,236,147,261,128,206,84,124
2021년10월_계_50~59세,"9,924","1,989","1,652",30,41,456,461,667,617,802,279,400,551,334,446,350,422,197,230
2021년10월_계_60~69세,"13,007","1,842","1,941",93,33,703,614,950,868,"1,058",435,622,751,590,706,546,614,276,365
2021년10월_계_70~79세,"11,305","1,244","1,486",171,41,715,586,940,790,997,388,562,612,463,572,432,714,302,290
2021년10월_계_80~89세,"7,863",671,733,154,36,511,473,661,572,727,295,431,505,304,443,408,552,186,201
2021년10월_계_90~99세,"1,295",127,107,30,3,87,88,84,93,101,46,102,86,53,81,44,103,37,23
2021년10월_계_100세 이상,47,9,4,0,0,3,0,2,7,6,2,0,6,0,4,0,3,1,0
2021년10월_남_총인구수,"30,606","6,108","4,737",301,117,"1,535","1,400","2,085","1,840","2,339",917,"1,251","1,575","1,079","1,490","1,089","1,411",590,742
2021년10월_남_연령구간인구수,"30,606","6,108","4,737",301,117,"1,535","1,400","2,085","1,840","2,339",917,"1,251","1,575","1,079","1,490","1,089","1,411",590,742
2021년10월_남_0~9세,"1,216",489,241,12,1,34,33,61,30,49,28,14,46,30,50,36,34,13,15
2021년10월_남_10~19세,"1,984",753,390,11,4,45,59,97,78,118,40,50,68,55,63,41,53,24,35
2021년10월_남_20~29세,"2,288",685,410,6,8,84,80,131,111,144,43,76,111,73,108,68,71,29,50
2021년10월_남_30~39세,"1,877",532,352,16,12,82,87,89,90,111,34,48,87,54,91,59,59,33,41
2021년10월_남_40~49세,"3,459",912,587,15,26,159,129,184,189,255,105,129,155,90,161,95,132,52,84
2021년10월_남_50~59세,"5,617","1,068",900,16,25,293,272,388,341,457,170,233,305,199,265,195,249,112,129
2021년10월_남_60~69세,"6,485",849,937,53,18,361,338,470,427,520,219,318,383,302,353,293,312,137,195
2021년10월_남_70~79세,"4,940",574,650,86,15,295,244,407,381,413,175,254,249,183,256,188,307,128,135
2021년10월_남_80~89세,"2,462",224,252,75,8,162,139,235,178,246,89,117,149,90,116,108,173,51,50
2021년10월_남_90~99세,273,20,18,11,0,19,19,22,15,26,13,12,22,3,27,6,21,11,8
2021년10월_남_100세 이상,5,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"32,324","6,304","4,932",300,105,"1,566","1,514","2,206","1,974","2,515",950,"1,383","1,718","1,192","1,581","1,139","1,569",658,718
2021년10월_여_연령구간인구수,"32,324","6,304","4,932",300,105,"1,566","1,514","2,206","1,974","2,515",950,"1,383","1,718","1,192","1,581","1,139","1,569",658,718
2021년10월_여_0~9세,"1,230",487,255,14,0,28,44,56,51,67,24,23,41,26,47,21,23,13,10
2021년10월_여_10~19세,"1,708",648,353,12,8,45,57,87,80,96,47,42,40,42,50,29,41,12,19
2021년10월_여_20~29세,"1,617",531,310,10,1,41,69,76,76,84,29,33,93,43,82,33,51,25,30
2021년10월_여_30~39세,"1,574",577,320,11,3,47,46,70,58,82,28,38,60,57,67,33,34,16,27
2021년10월_여_40~49세,"2,536",916,528,16,5,61,88,136,104,157,44,64,81,57,100,33,74,32,40
2021년10월_여_50~59세,"4,307",921,752,14,16,163,189,279,276,345,109,167,246,135,181,155,173,85,101
2021년10월_여_60~69세,"6,522",993,"1,004",40,15,342,276,480,441,538,216,304,368,288,353,253,302,139,170
2021년10월_여_70~79세,"6,365",670,836,85,26,420,342,533,409,584,213,308,363,280,316,244,407,174,155
2021년10월_여_80~89세,"5,401",447,481,79,28,349,334,426,394,481,206,314,356,214,327,300,379,135,151
2021년10월_여_90~99세,"1,022",107,89,19,3,68,69,62,78,75,33,90,64,50,54,38,82,26,15
2021년10월_여_100세 이상,42,7,4,0,0,2,0,1,7,6,1,0,6,0,4,0,3,1,0
