카테고리,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2020년07월_계_총인구수,"26,902","9,511","1,716","1,182","1,040","1,543","1,593","1,450","1,846",755,"2,888","1,014","1,170","1,194"
2020년07월_계_연령구간인구수,"26,902","9,511","1,716","1,182","1,040","1,543","1,593","1,450","1,846",755,"2,888","1,014","1,170","1,194"
2020년07월_계_0~9세,"1,123",718,35,28,32,32,39,36,36,19,90,25,14,19
2020년07월_계_10~19세,"1,566",903,62,40,26,63,63,45,65,27,171,40,33,28
2020년07월_계_20~29세,"2,055",975,103,76,74,134,98,84,119,32,217,44,42,57
2020년07월_계_30~39세,"1,807",970,95,61,49,70,102,51,93,28,139,55,45,49
2020년07월_계_40~49세,"2,947","1,521",142,86,75,133,144,117,150,51,308,77,62,81
2020년07월_계_50~59세,"4,653","1,578",323,223,178,275,290,273,323,123,514,138,203,212
2020년07월_계_60~69세,"5,260","1,376",400,278,225,333,363,326,445,197,556,239,257,265
2020년07월_계_70~79세,"4,060",889,281,203,198,261,253,279,362,146,525,196,241,226
2020년07월_계_80~89세,"2,987",513,235,160,159,216,211,209,221,116,316,173,239,219
2020년07월_계_90~99세,435,65,39,27,23,26,30,30,31,15,52,27,34,36
2020년07월_계_100세 이상,9,3,1,0,1,0,0,0,1,1,0,0,0,2
2020년07월_남_총인구수,"13,154","4,688",853,577,496,752,777,703,938,354,"1,380",523,551,562
2020년07월_남_연령구간인구수,"13,154","4,688",853,577,496,752,777,703,938,354,"1,380",523,551,562
2020년07월_남_0~9세,570,373,18,15,12,17,16,16,18,13,41,16,8,7
2020년07월_남_10~19세,845,479,36,24,17,33,30,21,34,18,90,28,20,15
2020년07월_남_20~29세,"1,165",525,57,44,45,85,51,43,72,19,137,24,33,30
2020년07월_남_30~39세,957,456,56,39,30,33,65,34,48,15,85,39,22,35
2020년07월_남_40~49세,"1,710",817,89,57,45,77,84,73,98,37,185,58,39,51
2020년07월_남_50~59세,"2,545",844,182,111,99,155,160,156,174,65,279,78,113,129
2020년07월_남_60~69세,"2,758",659,232,149,122,178,207,178,249,100,263,145,142,134
2020년07월_남_70~79세,"1,651",381,111,81,80,99,103,111,167,51,211,74,96,86
2020년07월_남_80~89세,861,137,62,50,41,70,55,61,70,34,84,57,75,65
2020년07월_남_90~99세,90,17,10,7,5,5,6,10,7,2,5,4,3,9
2020년07월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년07월_여_총인구수,"13,748","4,823",863,605,544,791,816,747,908,401,"1,508",491,619,632
2020년07월_여_연령구간인구수,"13,748","4,823",863,605,544,791,816,747,908,401,"1,508",491,619,632
2020년07월_여_0~9세,553,345,17,13,20,15,23,20,18,6,49,9,6,12
2020년07월_여_10~19세,721,424,26,16,9,30,33,24,31,9,81,12,13,13
2020년07월_여_20~29세,890,450,46,32,29,49,47,41,47,13,80,20,9,27
2020년07월_여_30~39세,850,514,39,22,19,37,37,17,45,13,54,16,23,14
2020년07월_여_40~49세,"1,237",704,53,29,30,56,60,44,52,14,123,19,23,30
2020년07월_여_50~59세,"2,108",734,141,112,79,120,130,117,149,58,235,60,90,83
2020년07월_여_60~69세,"2,502",717,168,129,103,155,156,148,196,97,293,94,115,131
2020년07월_여_70~79세,"2,409",508,170,122,118,162,150,168,195,95,314,122,145,140
2020년07월_여_80~89세,"2,126",376,173,110,118,146,156,148,151,82,232,116,164,154
2020년07월_여_90~99세,345,48,29,20,18,21,24,20,24,13,47,23,31,27
2020년07월_여_100세 이상,7,3,1,0,1,0,0,0,0,1,0,0,0,1
