카테고리,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020년01월_계_총인구수,"102,163","11,147","4,259","3,971","3,287","2,191","3,108","1,183","4,276","6,210","4,447","3,068","30,004","8,821","4,929","6,946","4,316"
2020년01월_계_연령구간인구수,"102,163","11,147","4,259","3,971","3,287","2,191","3,108","1,183","4,276","6,210","4,447","3,068","30,004","8,821","4,929","6,946","4,316"
2020년01월_계_0~9세,"5,873",402,106,109,83,66,66,19,142,305,79,81,"2,816",608,171,556,264
2020년01월_계_10~19세,"6,928",529,162,190,91,88,89,34,171,243,154,91,"3,100",877,298,580,231
2020년01월_계_20~29세,"10,626","1,045",356,269,214,114,213,77,287,"1,088",264,221,"3,676","1,127",531,719,425
2020년01월_계_30~39세,"9,699",858,315,244,196,102,162,56,250,509,265,206,"3,876",888,420,881,471
2020년01월_계_40~49세,"13,019","1,362",371,354,305,170,258,66,416,537,418,262,"4,995","1,332",576,"1,078",519
2020년01월_계_50~59세,"18,410","2,296",840,705,600,413,595,267,724,920,819,594,"5,207","1,586",925,"1,125",794
2020년01월_계_60~69세,"17,871","2,232",983,931,758,542,780,272,945,"1,103","1,051",806,"3,575","1,213",947,979,754
2020년01월_계_70~79세,"12,252","1,559",698,700,617,394,579,214,829,932,833,484,"1,735",769,681,685,543
2020년01월_계_80~89세,"6,729",785,376,423,387,268,324,160,457,515,505,294,929,376,342,316,272
2020년01월_계_90~99세,717,76,50,45,36,33,37,17,54,55,56,28,90,40,37,21,42
2020년01월_계_100세 이상,39,3,2,1,0,1,5,1,1,3,3,1,5,5,1,6,1
2020년01월_남_총인구수,"51,918","5,836","2,206","1,948","1,708","1,092","1,577",598,"2,170","3,493","2,291","1,613","14,799","4,382","2,448","3,458","2,299"
2020년01월_남_연령구간인구수,"51,918","5,836","2,206","1,948","1,708","1,092","1,577",598,"2,170","3,493","2,291","1,613","14,799","4,382","2,448","3,458","2,299"
2020년01월_남_0~9세,"2,991",215,55,60,47,43,32,13,78,159,36,45,"1,419",304,88,265,132
2020년01월_남_10~19세,"3,749",308,93,94,53,50,51,17,96,130,84,46,"1,665",461,148,326,127
2020년01월_남_20~29세,"6,295",594,218,165,143,65,124,44,172,889,155,131,"2,062",607,296,379,251
2020년01월_남_30~39세,"5,295",480,194,143,115,55,98,29,133,296,165,134,"1,995",457,245,478,278
2020년01월_남_40~49세,"7,120",801,238,204,191,107,165,43,260,336,255,174,"2,448",704,324,556,314
2020년01월_남_50~59세,"9,734","1,313",438,381,350,225,329,147,400,484,467,338,"2,548",778,477,582,477
2020년01월_남_60~69세,"8,952","1,141",499,458,412,278,390,155,459,589,551,420,"1,694",623,455,458,370
2020년01월_남_70~79세,"5,391",693,329,297,268,180,270,87,384,424,391,224,694,305,301,290,254
2020년01월_남_80~89세,"2,215",270,130,138,121,84,107,59,169,174,175,92,248,138,108,113,89
2020년01월_남_90~99세,163,20,11,8,8,5,10,4,19,11,11,8,25,4,6,6,7
2020년01월_남_100세 이상,13,1,1,0,0,0,1,0,0,1,1,1,1,1,0,5,0
2020년01월_여_총인구수,"50,245","5,311","2,053","2,023","1,579","1,099","1,531",585,"2,106","2,717","2,156","1,455","15,205","4,439","2,481","3,488","2,017"
2020년01월_여_연령구간인구수,"50,245","5,311","2,053","2,023","1,579","1,099","1,531",585,"2,106","2,717","2,156","1,455","15,205","4,439","2,481","3,488","2,017"
2020년01월_여_0~9세,"2,882",187,51,49,36,23,34,6,64,146,43,36,"1,397",304,83,291,132
2020년01월_여_10~19세,"3,179",221,69,96,38,38,38,17,75,113,70,45,"1,435",416,150,254,104
2020년01월_여_20~29세,"4,331",451,138,104,71,49,89,33,115,199,109,90,"1,614",520,235,340,174
2020년01월_여_30~39세,"4,404",378,121,101,81,47,64,27,117,213,100,72,"1,881",431,175,403,193
2020년01월_여_40~49세,"5,899",561,133,150,114,63,93,23,156,201,163,88,"2,547",628,252,522,205
2020년01월_여_50~59세,"8,676",983,402,324,250,188,266,120,324,436,352,256,"2,659",808,448,543,317
2020년01월_여_60~69세,"8,919","1,091",484,473,346,264,390,117,486,514,500,386,"1,881",590,492,521,384
2020년01월_여_70~79세,"6,861",866,369,403,349,214,309,127,445,508,442,260,"1,041",464,380,395,289
2020년01월_여_80~89세,"4,514",515,246,285,266,184,217,101,288,341,330,202,681,238,234,203,183
2020년01월_여_90~99세,554,56,39,37,28,28,27,13,35,44,45,20,65,36,31,15,35
2020년01월_여_100세 이상,26,2,1,1,0,1,4,1,1,2,2,0,4,4,1,1,1
