카테고리,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2020년11월_계_총인구수,"1,187,153","274,148","23,646","43,305","29,837","30,101","42,897","20,310","19,689","28,877","19,153","16,333","369,150","10,469","23,626","19,421","41,064","38,283","24,816","45,906","46,529","24,876","49,666","27,551","16,943","174,709","5,987","10,721","9,130","23,319","26,859","11,336","20,518","17,301","38,606","10,932","369,146","18,456","15,172","36,345","22,047","39,197","36,063","26,816","32,931","31,753","28,353","53,312","28,701"
2020년11월_계_연령구간인구수,"1,187,153","274,148","23,646","43,305","29,837","30,101","42,897","20,310","19,689","28,877","19,153","16,333","369,150","10,469","23,626","19,421","41,064","38,283","24,816","45,906","46,529","24,876","49,666","27,551","16,943","174,709","5,987","10,721","9,130","23,319","26,859","11,336","20,518","17,301","38,606","10,932","369,146","18,456","15,172","36,345","22,047","39,197","36,063","26,816","32,931","31,753","28,353","53,312","28,701"
2020년11월_계_0~9세,"97,684","18,473","1,390","3,154","2,538","1,994","3,692",865,"1,158","1,540","1,448",694,"32,721",902,"1,118",962,"3,190","2,475","1,452","4,967","7,160","1,313","5,748","1,701","1,733","9,497",233,423,341,"1,528","2,016",426,901,"1,194","2,161",274,"36,993","1,178",927,"2,924","1,376","4,562","3,675","2,645","2,663","3,570","4,395","5,649","3,429"
2020년11월_계_10~19세,"118,729","28,804","1,878","4,248","3,547","3,180","7,001","1,224","1,747","2,828","2,076","1,075","33,554",615,"1,612","1,565","3,591","3,201","2,072","5,015","4,523","1,736","5,478","2,303","1,843","13,925",317,500,587,"2,196","3,049",720,"1,447","1,835","2,796",478,"42,446","1,950","1,526","4,482","2,293","3,571","4,939","2,173","4,331","4,106","3,231","6,877","2,967"
2020년11월_계_20~29세,"186,689","44,125","3,420","10,186","4,155","4,362","6,257","2,715","3,041","4,377","2,996","2,616","54,549","1,488","3,569","2,750","6,379","5,868","3,938","6,268","5,125","5,021","6,790","5,304","2,049","28,837",914,"1,902","1,163","3,204","4,126","1,359","3,227","3,657","7,773","1,512","59,178","3,169","2,501","6,498","3,765","6,524","4,963","5,688","6,459","4,578","3,413","8,483","3,137"
2020년11월_계_30~39세,"179,021","32,740","2,968","5,838","3,488","3,664","4,463","2,488","2,674","3,273","2,045","1,839","58,447","1,738","3,566","2,618","5,799","5,331","3,273","6,719","9,316","4,476","8,013","5,300","2,298","24,645",907,"1,675","1,100","2,673","3,476","1,208","2,921","2,232","7,143","1,310","63,189","2,405","1,958","5,486","3,215","7,539","5,524","6,792","4,472","5,051","5,820","9,561","5,366"
2020년11월_계_40~49세,"203,131","45,467","3,696","6,554","5,452","5,090","9,057","2,945","3,050","4,520","2,937","2,166","61,712","1,484","3,717","3,097","6,166","6,109","3,755","8,130","8,335","3,716","9,013","4,977","3,213","27,325",856,"1,451","1,310","3,895","4,559","1,661","3,036","2,756","6,307","1,494","68,627","3,040","2,456","6,827","3,758","7,274","7,202","4,285","6,148","5,893","5,471","10,817","5,456"
2020년11월_계_50~59세,"196,733","49,334","4,423","6,787","5,311","5,455","7,511","3,992","3,680","5,498","3,833","2,844","62,321","1,883","4,278","3,459","7,602","6,831","4,856","7,679","5,996","4,245","7,974","4,648","2,870","30,581","1,104","1,954","1,753","4,158","5,144","2,139","3,714","2,726","5,726","2,163","54,497","3,329","2,768","5,592","3,779","4,782","5,708","3,113","5,367","5,169","3,660","7,186","4,044"
2020년11월_계_60~69세,"119,555","30,598","3,316","3,759","3,009","3,377","2,765","3,485","2,514","3,729","2,028","2,616","39,675","1,327","3,353","2,821","5,014","4,987","3,270","4,150","3,743","2,750","4,398","2,063","1,799","22,333",904,"1,601","1,512","3,129","2,595","2,024","2,904","1,708","3,970","1,986","26,949","2,081","1,770","2,717","2,331","3,003","2,406","1,198","2,150","2,178","1,533","2,973","2,609"
2020년11월_계_70~79세,"56,498","15,779","1,684","1,738","1,486","1,982","1,345","1,774","1,200","1,985","1,022","1,563","17,453",682,"1,622","1,486","2,191","2,416","1,446","1,930","1,568","1,087","1,499",760,766,"11,875",506,824,950,"1,770","1,214","1,209","1,643",786,"1,824","1,149","11,391",903,856,"1,167",995,"1,300","1,038",600,809,818,543,"1,207","1,155"
