카테고리,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2021년01월_계_총인구수,"26,778","9,574","1,696","1,188","1,042","1,524","1,555","1,436","1,850",764,"2,827",996,"1,154","1,172"
2021년01월_계_연령구간인구수,"26,778","9,574","1,696","1,188","1,042","1,524","1,555","1,436","1,850",764,"2,827",996,"1,154","1,172"
2021년01월_계_0~9세,"1,060",683,33,19,27,25,35,40,40,19,87,24,10,18
2021년01월_계_10~19세,"1,505",911,52,33,28,51,60,36,60,29,155,33,32,25
2021년01월_계_20~29세,"2,037",993,106,79,68,132,91,87,119,29,202,45,39,47
2021년01월_계_30~39세,"1,736",947,86,57,49,62,100,48,82,32,136,51,40,46
2021년01월_계_40~49세,"2,869","1,504",136,86,70,125,132,110,151,55,294,74,54,78
2021년01월_계_50~59세,"4,622","1,603",315,221,189,278,291,256,320,108,511,132,202,196
2021년01월_계_60~69세,"5,460","1,453",409,303,233,349,359,338,462,214,553,236,265,286
2021년01월_계_70~79세,"3,985",889,280,202,196,258,243,270,347,142,512,200,230,216
2021년01월_계_80~89세,"3,051",526,241,156,161,217,212,218,239,119,320,174,245,223
2021년01월_계_90~99세,445,63,36,32,21,27,32,33,29,16,57,27,37,35
2021년01월_계_100세 이상,8,2,2,0,0,0,0,0,1,1,0,0,0,2
2021년01월_남_총인구수,"13,146","4,724",847,589,498,751,763,700,943,363,"1,349",520,540,559
2021년01월_남_연령구간인구수,"13,146","4,724",847,589,498,751,763,700,943,363,"1,349",520,540,559
2021년01월_남_0~9세,543,355,20,12,8,14,15,18,22,12,40,16,4,7
2021년01월_남_10~19세,803,485,29,19,19,26,26,15,30,19,81,21,19,14
2021년01월_남_20~29세,"1,155",528,57,51,45,88,45,46,73,17,123,26,31,25
2021년01월_남_30~39세,921,447,51,38,27,29,62,31,43,22,85,35,18,33
2021년01월_남_40~49세,"1,651",796,88,51,45,75,78,69,95,38,174,59,33,50
2021년01월_남_50~59세,"2,567",865,178,117,107,158,164,152,172,57,281,77,119,120
2021년01월_남_60~69세,"2,875",705,238,159,122,189,208,187,264,108,263,142,140,150
2021년01월_남_70~79세,"1,642",379,114,84,83,96,99,107,159,53,211,80,92,85
2021년01월_남_80~89세,893,148,63,49,39,72,61,63,77,35,85,59,78,64
2021년01월_남_90~99세,94,16,9,9,3,4,5,12,7,2,6,5,6,10
2021년01월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2021년01월_여_총인구수,"13,632","4,850",849,599,544,773,792,736,907,401,"1,478",476,614,613
2021년01월_여_연령구간인구수,"13,632","4,850",849,599,544,773,792,736,907,401,"1,478",476,614,613
2021년01월_여_0~9세,517,328,13,7,19,11,20,22,18,7,47,8,6,11
2021년01월_여_10~19세,702,426,23,14,9,25,34,21,30,10,74,12,13,11
2021년01월_여_20~29세,882,465,49,28,23,44,46,41,46,12,79,19,8,22
2021년01월_여_30~39세,815,500,35,19,22,33,38,17,39,10,51,16,22,13
2021년01월_여_40~49세,"1,218",708,48,35,25,50,54,41,56,17,120,15,21,28
2021년01월_여_50~59세,"2,055",738,137,104,82,120,127,104,148,51,230,55,83,76
2021년01월_여_60~69세,"2,585",748,171,144,111,160,151,151,198,106,290,94,125,136
2021년01월_여_70~79세,"2,343",510,166,118,113,162,144,163,188,89,301,120,138,131
2021년01월_여_80~89세,"2,158",378,178,107,122,145,151,155,162,84,235,115,167,159
2021년01월_여_90~99세,351,47,27,23,18,23,27,21,22,14,51,22,31,25
2021년01월_여_100세 이상,6,2,2,0,0,0,0,0,0,1,0,0,0,1
