,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2021년05월_계_총인구수,"81,593","2,623","2,482","2,491","3,529","3,767","1,320","2,509","1,751","1,792","2,626","4,989","2,218","1,864","4,549","1,343","11,142","12,748","11,346","6,504"
2021년05월_계_연령구간인구수,"81,593","2,623","2,482","2,491","3,529","3,767","1,320","2,509","1,751","1,792","2,626","4,989","2,218","1,864","4,549","1,343","11,142","12,748","11,346","6,504"
2021년05월_계_0~9세,"4,139",87,59,65,88,123,43,73,50,49,40,188,72,45,129,43,736,862,953,434
2021년05월_계_10~19세,"6,086",121,98,114,157,201,61,124,74,79,101,299,86,70,189,57,"1,016","1,401","1,338",500
2021년05월_계_20~29세,"7,036",155,121,148,265,257,82,183,84,103,125,416,123,138,313,79,"1,262","1,328","1,277",577
2021년05월_계_30~39세,"6,432",158,125,158,202,261,90,161,98,99,137,312,124,91,267,79,"1,116","1,184","1,152",618
2021년05월_계_40~49세,"9,767",242,216,238,320,372,104,205,166,179,237,548,182,172,415,133,"1,578","1,895","1,818",747
2021년05월_계_50~59세,"13,408",418,347,420,566,646,188,425,267,269,383,937,312,333,834,208,"1,808","2,140","1,852","1,055"
2021년05월_계_60~69세,"14,875",650,604,548,780,775,291,571,389,393,584,"1,017",495,397,"1,015",277,"1,734","1,801","1,455","1,099"
2021년05월_계_70~79세,"11,373",421,491,478,642,648,247,409,330,347,574,766,430,340,780,277,"1,142","1,280",910,861
2021년05월_계_80~89세,"7,215",314,364,271,421,411,184,302,245,225,377,443,347,244,506,159,626,760,492,524
2021년05월_계_90~99세,"1,223",57,56,48,86,72,30,53,47,47,67,61,44,32,94,31,120,97,99,82
2021년05월_계_100세 이상,39,0,1,3,2,1,0,3,1,2,1,2,3,2,7,0,4,0,0,7
2021년05월_남_총인구수,"40,518","1,328","1,224","1,332","1,796","1,841",624,"1,294",877,903,"1,263","2,550","1,092",948,"2,296",696,"5,502","6,192","5,511","3,249"
2021년05월_남_연령구간인구수,"40,518","1,328","1,224","1,332","1,796","1,841",624,"1,294",877,903,"1,263","2,550","1,092",948,"2,296",696,"5,502","6,192","5,511","3,249"
2021년05월_남_0~9세,"2,154",54,33,38,45,64,21,38,30,22,20,97,43,22,60,22,383,445,482,235
2021년05월_남_10~19세,"3,105",72,56,63,87,91,36,63,40,45,50,157,44,41,103,26,498,711,673,249
2021년05월_남_20~29세,"3,949",94,79,93,147,136,48,111,53,63,77,229,76,80,188,51,686,723,692,323
2021년05월_남_30~39세,"3,441",94,74,103,120,143,50,92,57,60,78,178,76,59,157,48,571,597,575,309
2021년05월_남_40~49세,"5,489",148,139,158,215,228,67,133,106,115,156,337,127,113,264,99,819,958,885,422
2021년05월_남_50~59세,"7,360",232,202,276,319,353,100,252,153,159,225,519,175,194,471,119,953,"1,087",985,586
2021년05월_남_60~69세,"7,509",333,303,285,422,397,142,308,192,216,295,535,254,216,528,142,822,866,690,563
2021년05월_남_70~79세,"4,969",199,227,219,291,286,100,190,147,146,229,338,177,145,340,121,524,539,370,381
2021년05월_남_80~89세,"2,270",91,104,87,125,120,54,91,90,67,122,143,113,70,158,57,217,242,147,172
2021년05월_남_90~99세,266,11,6,10,24,22,6,16,9,10,10,17,7,8,27,11,27,24,12,9
2021년05월_남_100세 이상,6,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0
2021년05월_여_총인구수,"41,075","1,295","1,258","1,159","1,733","1,926",696,"1,215",874,889,"1,363","2,439","1,126",916,"2,253",647,"5,640","6,556","5,835","3,255"
2021년05월_여_연령구간인구수,"41,075","1,295","1,258","1,159","1,733","1,926",696,"1,215",874,889,"1,363","2,439","1,126",916,"2,253",647,"5,640","6,556","5,835","3,255"
2021년05월_여_0~9세,"1,985",33,26,27,43,59,22,35,20,27,20,91,29,23,69,21,353,417,471,199
2021년05월_여_10~19세,"2,981",49,42,51,70,110,25,61,34,34,51,142,42,29,86,31,518,690,665,251
2021년05월_여_20~29세,"3,087",61,42,55,118,121,34,72,31,40,48,187,47,58,125,28,576,605,585,254
2021년05월_여_30~39세,"2,991",64,51,55,82,118,40,69,41,39,59,134,48,32,110,31,545,587,577,309
2021년05월_여_40~49세,"4,278",94,77,80,105,144,37,72,60,64,81,211,55,59,151,34,759,937,933,325
2021년05월_여_50~59세,"6,048",186,145,144,247,293,88,173,114,110,158,418,137,139,363,89,855,"1,053",867,469
2021년05월_여_60~69세,"7,366",317,301,263,358,378,149,263,197,177,289,482,241,181,487,135,912,935,765,536
2021년05월_여_70~79세,"6,404",222,264,259,351,362,147,219,183,201,345,428,253,195,440,156,618,741,540,480
2021년05월_여_80~89세,"4,945",223,260,184,296,291,130,211,155,158,255,300,234,174,348,102,409,518,345,352
2021년05월_여_90~99세,957,46,50,38,62,50,24,37,38,37,57,44,37,24,67,20,93,73,87,73
2021년05월_여_100세 이상,33,0,0,3,1,0,0,3,1,2,0,2,3,2,7,0,2,0,0,7
