,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2021년10월_계_총인구수,"30,110","10,784","2,946","3,549","3,433","3,404","3,071","2,277",263,383
2021년10월_계_연령구간인구수,"30,110","10,784","2,946","3,549","3,433","3,404","3,071","2,277",263,383
2021년10월_계_0~9세,"1,569",841,99,173,114,117,96,93,14,22
2021년10월_계_10~19세,"2,175","1,147",164,251,157,172,112,125,6,41
2021년10월_계_20~29세,"2,421","1,220",179,234,214,216,192,128,16,22
2021년10월_계_30~39세,"2,089","1,069",166,234,170,171,131,115,12,21
2021년10월_계_40~49세,"3,412","1,558",285,377,349,284,221,260,31,47
2021년10월_계_50~59세,"4,945","1,716",510,548,592,609,478,375,46,71
2021년10월_계_60~69세,"5,480","1,555",602,742,734,667,654,421,45,60
2021년10월_계_70~79세,"4,552","1,053",533,537,614,650,652,406,46,61
2021년10월_계_80~89세,"3,065",550,365,390,430,450,482,327,42,29
2021년10월_계_90~99세,391,73,43,60,58,68,51,24,5,9
2021년10월_계_100세 이상,11,2,0,3,1,0,2,3,0,0
2021년10월_남_총인구수,"14,920","5,302","1,491","1,734","1,755","1,649","1,475","1,180",139,195
2021년10월_남_연령구간인구수,"14,920","5,302","1,491","1,734","1,755","1,649","1,475","1,180",139,195
2021년10월_남_0~9세,769,404,52,92,62,58,46,40,7,8
2021년10월_남_10~19세,"1,103",593,79,120,83,82,54,63,6,23
2021년10월_남_20~29세,"1,419",694,113,136,123,121,121,87,7,17
2021년10월_남_30~39세,"1,110",531,99,129,101,91,73,68,8,10
2021년10월_남_40~49세,"1,976",797,169,227,232,176,152,169,22,32
2021년10월_남_50~59세,"2,800",890,295,303,353,354,283,247,28,47
2021년10월_남_60~69세,"2,792",743,327,370,379,346,328,245,28,26
2021년10월_남_70~79세,"1,964",469,235,226,266,281,274,166,23,24
2021년10월_남_80~89세,913,166,112,120,143,130,135,92,8,7
2021년10월_남_90~99세,74,15,10,11,13,10,9,3,2,1
2021년10월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"15,190","5,482","1,455","1,815","1,678","1,755","1,596","1,097",124,188
2021년10월_여_연령구간인구수,"15,190","5,482","1,455","1,815","1,678","1,755","1,596","1,097",124,188
2021년10월_여_0~9세,800,437,47,81,52,59,50,53,7,14
2021년10월_여_10~19세,"1,072",554,85,131,74,90,58,62,0,18
2021년10월_여_20~29세,"1,002",526,66,98,91,95,71,41,9,5
2021년10월_여_30~39세,979,538,67,105,69,80,58,47,4,11
2021년10월_여_40~49세,"1,436",761,116,150,117,108,69,91,9,15
2021년10월_여_50~59세,"2,145",826,215,245,239,255,195,128,18,24
2021년10월_여_60~69세,"2,688",812,275,372,355,321,326,176,17,34
2021년10월_여_70~79세,"2,588",584,298,311,348,369,378,240,23,37
2021년10월_여_80~89세,"2,152",384,253,270,287,320,347,235,34,22
2021년10월_여_90~99세,317,58,33,49,45,58,42,21,3,8
2021년10월_여_100세 이상,11,2,0,3,1,0,2,3,0,0
