,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2020년10월_계_총인구수,"425,639","16,439","15,972","16,497","19,088","23,313","11,541","20,537","18,885","12,203","15,299","24,458","11,228","11,682","16,940","12,964","14,331","22,737","19,275","11,760","16,184","31,752","28,047","34,507"
2020년10월_계_연령구간인구수,"425,639","16,439","15,972","16,497","19,088","23,313","11,541","20,537","18,885","12,203","15,299","24,458","11,228","11,682","16,940","12,964","14,331","22,737","19,275","11,760","16,184","31,752","28,047","34,507"
2020년10월_계_0~9세,"29,920","1,344","1,086","1,965","1,505","1,859",535,"1,397","1,310","1,125",877,"2,067",559,753,"1,057","1,022",943,"1,063","1,111",371,"1,136","2,267","2,015","2,553"
2020년10월_계_10~19세,"51,843","2,153","1,848","2,057","4,312","2,557","1,194","4,021","2,244","1,743","1,461","4,251",875,782,"1,328","1,004","1,160","1,930","1,875",705,"1,857","4,797","3,357","4,332"
2020년10월_계_20~29세,"55,807","2,056","2,349","2,088","1,893","2,990","1,900","2,503","2,262","1,260","2,167","2,735","1,780","1,492","2,128","1,254","2,247","3,310","2,581","1,401","2,017","4,491","3,912","4,991"
2020년10월_계_30~39세,"43,144","1,562","2,071","2,144","1,293","2,415","1,223","1,451","1,694","1,158","1,512","2,023","1,380","1,580","2,076","1,562","1,896","2,329","1,957",962,"1,587","2,843","2,956","3,470"
2020년10월_계_40~49세,"73,305","2,946","2,717","3,254","4,738","3,713","1,727","4,614","3,224","2,443","2,247","4,934","1,792","1,894","2,491","1,975","2,317","3,206","2,870","1,353","2,696","5,720","4,626","5,808"
2020년10월_계_50~59세,"75,348","2,918","2,653","2,587","2,740","4,094","2,106","3,390","3,208","1,828","2,944","4,208","1,947","1,997","2,919","2,042","2,754","4,286","3,645","2,218","2,976","5,919","5,160","6,809"
2020년10월_계_60~69세,"51,815","1,755","1,815","1,294","1,352","2,987","1,533","1,665","2,285","1,409","2,133","2,391","1,495","1,660","2,625","2,142","1,815","3,438","2,918","2,387","2,420","3,305","3,407","3,584"
2020년10월_계_70~79세,"28,701","1,100",958,726,837,"1,745",843,"1,015","1,673",842,"1,232","1,186",957,987,"1,516","1,322",806,"2,081","1,423","1,502",997,"1,510","1,648","1,795"
