카테고리,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2020년02월_계_총인구수,"50,903","29,223","3,220","1,440","1,951","2,341","3,095","4,272","2,298","3,063"
2020년02월_계_연령구간인구수,"50,903","29,223","3,220","1,440","1,951","2,341","3,095","4,272","2,298","3,063"
2020년02월_계_0~9세,"2,748","2,248",87,41,31,34,61,107,63,76
2020년02월_계_10~19세,"4,045","3,149",136,69,73,61,138,219,83,117
2020년02월_계_20~29세,"4,547","3,185",238,75,99,94,159,268,190,239
2020년02월_계_30~39세,"4,095","2,943",178,75,73,87,135,281,134,189
2020년02월_계_40~49세,"6,434","4,597",303,102,173,141,240,395,181,302
2020년02월_계_50~59세,"9,153","4,978",631,279,337,452,559,832,442,643
2020년02월_계_60~69세,"9,394","4,147",776,342,511,600,787,943,545,743
2020년02월_계_70~79세,"6,191","2,563",493,235,342,450,587,702,374,445
2020년02월_계_80~89세,"3,725","1,235",317,190,257,371,379,459,258,259
2020년02월_계_90~99세,544,171,60,31,50,48,46,63,28,47
2020년02월_계_100세 이상,27,7,1,1,5,3,4,3,0,3
2020년02월_남_총인구수,"25,665","14,660","1,662",727,979,"1,167","1,501","2,168","1,197","1,604"
2020년02월_남_연령구간인구수,"25,665","14,660","1,662",727,979,"1,167","1,501","2,168","1,197","1,604"
2020년02월_남_0~9세,"1,454","1,188",50,21,14,17,29,57,34,44
2020년02월_남_10~19세,"2,130","1,656",70,37,37,35,74,111,41,69
2020년02월_남_20~29세,"2,583","1,766",158,48,59,65,91,153,108,135
2020년02월_남_30~39세,"2,126","1,473",102,44,50,44,65,166,75,107
2020년02월_남_40~49세,"3,507","2,374",178,71,107,93,145,246,121,172
2020년02월_남_50~59세,"4,851","2,561",335,146,194,239,311,457,244,364
2020년02월_남_60~69세,"4,819","2,022",416,187,272,332,403,487,301,399
2020년02월_남_70~79세,"2,803","1,130",226,107,150,213,262,339,175,201
2020년02월_남_80~89세,"1,257",454,109,57,84,113,108,137,94,101
2020년02월_남_90~99세,128,35,18,9,9,16,12,13,4,12
2020년02월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년02월_여_총인구수,"25,238","14,563","1,558",713,972,"1,174","1,594","2,104","1,101","1,459"
2020년02월_여_연령구간인구수,"25,238","14,563","1,558",713,972,"1,174","1,594","2,104","1,101","1,459"
2020년02월_여_0~9세,"1,294","1,060",37,20,17,17,32,50,29,32
2020년02월_여_10~19세,"1,915","1,493",66,32,36,26,64,108,42,48
2020년02월_여_20~29세,"1,964","1,419",80,27,40,29,68,115,82,104
2020년02월_여_30~39세,"1,969","1,470",76,31,23,43,70,115,59,82
2020년02월_여_40~49세,"2,927","2,223",125,31,66,48,95,149,60,130
2020년02월_여_50~59세,"4,302","2,417",296,133,143,213,248,375,198,279
2020년02월_여_60~69세,"4,575","2,125",360,155,239,268,384,456,244,344
2020년02월_여_70~79세,"3,388","1,433",267,128,192,237,325,363,199,244
2020년02월_여_80~89세,"2,468",781,208,133,173,258,271,322,164,158
2020년02월_여_90~99세,416,136,42,22,41,32,34,50,24,35
2020년02월_여_100세 이상,20,6,1,1,2,3,3,1,0,3
