,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2020년05월_계_총인구수,"28,040","10,250","1,572","2,066","1,763","1,759","1,465","2,010","2,235","1,345","1,181","2,394"
2020년05월_계_연령구간인구수,"28,040","10,250","1,572","2,066","1,763","1,759","1,465","2,010","2,235","1,345","1,181","2,394"
2020년05월_계_0~9세,"1,582",880,58,79,73,51,68,74,130,47,55,67
2020년05월_계_10~19세,"2,260","1,326",95,109,97,70,74,120,137,45,60,127
2020년05월_계_20~29세,"2,135",994,109,109,101,113,85,144,135,113,89,143
2020년05월_계_30~39세,"2,105","1,062",100,117,114,108,108,101,134,79,72,110
2020년05월_계_40~49세,"3,397","1,641",146,215,199,147,124,202,231,130,128,234
2020년05월_계_50~59세,"4,594","1,541",290,350,262,320,251,374,412,211,163,420
2020년05월_계_60~69세,"4,647","1,257",284,386,321,395,267,414,422,243,205,453
2020년05월_계_70~79세,"4,204",949,256,405,331,292,260,345,401,261,217,487
2020년05월_계_80~89세,"2,726",515,202,258,236,234,205,208,200,186,177,305
2020년05월_계_90~99세,360,79,27,35,27,27,21,28,30,27,14,45
2020년05월_계_100세 이상,30,6,5,3,2,2,2,0,3,3,1,3
2020년05월_남_총인구수,"13,613","4,961",757,"1,016",864,866,717,997,"1,071",648,549,"1,167"
2020년05월_남_연령구간인구수,"13,613","4,961",757,"1,016",864,866,717,997,"1,071",648,549,"1,167"
2020년05월_남_0~9세,825,464,30,41,37,26,36,34,72,15,36,34
2020년05월_남_10~19세,"1,154",669,49,56,50,39,39,70,67,23,28,64
2020년05월_남_20~29세,"1,174",527,63,60,58,66,52,74,83,70,40,81
2020년05월_남_30~39세,"1,026",480,46,66,72,63,49,56,54,44,35,61
2020년05월_남_40~49세,"1,937",855,80,148,126,98,80,120,125,79,80,146
2020년05월_남_50~59세,"2,490",814,172,184,149,167,149,193,218,121,91,232
2020년05월_남_60~69세,"2,339",585,147,223,162,220,133,223,215,115,97,219
2020년05월_남_70~79세,"1,687",381,109,144,134,111,103,146,165,108,90,196
2020년05월_남_80~89세,884,163,55,88,70,68,72,72,59,65,52,120
2020년05월_남_90~99세,96,22,6,6,6,8,4,9,13,8,0,14
2020년05월_남_100세 이상,1,1,0,0,0,0,0,0,0,0,0,0
2020년05월_여_총인구수,"14,427","5,289",815,"1,050",899,893,748,"1,013","1,164",697,632,"1,227"
2020년05월_여_연령구간인구수,"14,427","5,289",815,"1,050",899,893,748,"1,013","1,164",697,632,"1,227"
2020년05월_여_0~9세,757,416,28,38,36,25,32,40,58,32,19,33
2020년05월_여_10~19세,"1,106",657,46,53,47,31,35,50,70,22,32,63
2020년05월_여_20~29세,961,467,46,49,43,47,33,70,52,43,49,62
2020년05월_여_30~39세,"1,079",582,54,51,42,45,59,45,80,35,37,49
2020년05월_여_40~49세,"1,460",786,66,67,73,49,44,82,106,51,48,88
2020년05월_여_50~59세,"2,104",727,118,166,113,153,102,181,194,90,72,188
2020년05월_여_60~69세,"2,308",672,137,163,159,175,134,191,207,128,108,234
2020년05월_여_70~79세,"2,517",568,147,261,197,181,157,199,236,153,127,291
2020년05월_여_80~89세,"1,842",352,147,170,166,166,133,136,141,121,125,185
2020년05월_여_90~99세,264,57,21,29,21,19,17,19,17,19,14,31
2020년05월_여_100세 이상,29,5,5,3,2,2,2,0,3,3,1,3
