카테고리,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2020년06월_계_총인구수,"1,076,996","473,812","15,392","23,863","44,996","21,881","11,610","11,116","22,211","20,432","30,762","36,622","15,853","38,401","33,767","19,509","22,441","32,883","46,612","22,843","2,618","299,323","34,423","47,846","24,005","39,503","31,184","20,971","24,667","16,744","10,670","26,513","22,797","303,861","28,113","18,964","36,356","52,741","28,402","29,579","35,907","21,809","51,990"
2020년06월_계_연령구간인구수,"1,076,996","473,812","15,392","23,863","44,996","21,881","11,610","11,116","22,211","20,432","30,762","36,622","15,853","38,401","33,767","19,509","22,441","32,883","46,612","22,843","2,618","299,323","34,423","47,846","24,005","39,503","31,184","20,971","24,667","16,744","10,670","26,513","22,797","303,861","28,113","18,964","36,356","52,741","28,402","29,579","35,907","21,809","51,990"
2020년06월_계_0~9세,"84,231","39,165",609,"3,254","5,617","1,355",678,"1,513","2,213","2,501","2,387","2,249",940,"2,160","2,825",777,"1,537","2,396","2,938","3,127",89,"21,468","3,430","3,577","1,297","3,395","2,137",957,"1,488","1,268","1,349","1,154","1,416","23,598","2,149","1,005","2,697","4,876","2,005","2,067","2,311","1,671","4,817"
2020년06월_계_10~19세,"106,865","42,033","1,297","1,887","3,792","1,938","1,115",773,"1,440","1,478","3,259","2,865","1,292","3,782","3,906","1,295","2,156","3,004","5,057","1,529",168,"30,214","4,650","4,694","2,215","4,626","2,914","1,383","3,333","2,254",931,"1,608","1,606","34,618","2,796","1,571","5,890","5,778","3,384","3,310","3,078","2,361","6,450"
2020년06월_계_20~29세,"151,111","62,969","2,184","2,347","5,091","2,962","1,457","1,502","2,692","2,357","3,567","4,362","2,151","6,316","4,689","2,968","3,188","5,066","7,040","2,574",456,"44,982","4,712","7,084","4,086","5,459","5,024","3,415","3,872","2,307","1,145","4,951","2,927","43,160","4,048","2,831","4,974","7,603","3,750","3,886","6,334","3,124","6,610"
2020년06월_계_30~39세,"142,921","67,309","1,511","4,205","7,958","2,527","1,332","2,381","4,271","4,566","3,481","4,275","1,818","4,272","4,332","2,298","2,791","4,972","5,230","4,823",266,"38,544","3,774","5,729","2,965","4,817","4,626","3,483","2,283","1,605","1,664","4,697","2,901","37,068","3,366","2,007","3,500","7,307","3,278","3,417","5,290","2,950","5,953"
2020년06월_계_40~49세,"184,635","79,058","2,294","4,287","8,266","3,609","1,827","1,793","3,562","3,525","5,425","5,768","2,356","6,162","6,471","2,915","3,687","5,166","7,828","3,802",315,"52,149","6,925","7,601","3,748","7,065","5,247","3,843","4,314","3,034","1,955","4,922","3,495","53,428","4,548","2,706","7,377","9,496","4,838","4,964","5,651","3,840","10,008"
2020년06월_계_50~59세,"193,639","82,213","3,230","3,300","6,274","4,261","2,109","1,501","3,231","2,570","5,053","6,924","3,216","7,587","5,761","4,134","4,277","6,054","9,261","2,990",480,"55,585","6,090","9,301","4,594","6,924","5,704","3,838","4,854","3,132","1,864","4,734","4,550","55,841","5,281","4,248","6,556","9,505","5,052","5,280","6,684","3,955","9,280"
2020년06월_계_60~69세,"115,408","54,381","2,309","2,695","4,468","2,782","1,567",908,"2,601","1,968","3,949","5,574","2,205","3,915","2,959","2,844","2,640","3,258","4,945","2,342",452,"31,052","2,771","5,324","2,840","4,025","3,188","2,171","2,470","1,513","1,119","2,321","3,310","29,975","3,106","2,593","3,019","4,350","2,962","3,057","3,660","2,173","5,055"
2020년06월_계_70~79세,"61,423","30,109","1,258","1,293","2,418","1,580",954,478,"1,507","1,009","2,437","3,070","1,216","2,556","1,711","1,449","1,361","1,855","2,613","1,082",262,"15,444","1,348","2,720","1,439","1,988","1,485","1,131","1,213",850,446,"1,222","1,602","15,870","1,805","1,248","1,361","2,306","1,751","1,979","1,841","1,098","2,481"
2020년06월_계_80~89세,"31,878","14,390",614,523,977,754,509,206,613,379,"1,055","1,290",564,"1,457",995,719,707,974,"1,474",471,109,"8,508",623,"1,536",712,"1,048",764,652,713,674,162,793,831,"8,980",884,660,839,"1,322","1,208","1,414",925,561,"1,167"
2020년06월_계_90~99세,"4,564","1,979",80,67,130,101,58,42,66,67,137,204,83,179,114,104,92,131,222,86,16,"1,317",96,263,103,152,89,93,119,106,32,108,156,"1,268",119,90,138,195,168,197,126,74,161
2020년06월_계_100세 이상,321,206,6,5,5,12,4,19,15,12,12,41,12,15,4,6,5,7,4,17,5,60,4,17,6,4,6,5,8,1,3,3,3,55,11,5,5,3,6,8,7,2,8
2020년06월_남_총인구수,"527,663","234,384","7,934","11,497","21,885","10,886","5,623","5,437","10,766","10,213","15,498","18,612","8,130","18,642","16,382","10,136","10,926","16,186","22,677","11,433","1,521","145,711","16,734","23,139","11,605","19,098","14,876","10,154","11,902","7,908","5,485","12,873","11,937","147,568","13,656","9,419","17,663","25,854","13,361","13,866","17,351","10,778","25,620"
