카테고리,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 국토정중앙면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2021년04월_계_총인구수,"22,114","14,006","3,363","2,117","1,321","1,307"
2021년04월_계_연령구간인구수,"22,114","14,006","3,363","2,117","1,321","1,307"
2021년04월_계_0~9세,"1,675","1,394",110,97,42,32
2021년04월_계_10~19세,"2,042","1,628",184,88,58,84
2021년04월_계_20~29세,"3,064","1,759",429,471,292,113
2021년04월_계_30~39세,"2,510","1,918",245,167,94,86
2021년04월_계_40~49세,"2,502","1,841",286,152,85,138
2021년04월_계_50~59세,"3,484","2,013",635,345,205,286
2021년04월_계_60~69세,"3,495","1,861",721,360,275,278
2021년04월_계_70~79세,"1,994",940,450,269,150,185
2021년04월_계_80~89세,"1,172",570,263,139,107,93
2021년04월_계_90~99세,161,71,36,29,13,12
2021년04월_계_100세 이상,15,11,4,0,0,0
2021년04월_남_총인구수,"11,701","7,148","1,862","1,203",781,707
2021년04월_남_연령구간인구수,"11,701","7,148","1,862","1,203",781,707
2021년04월_남_0~9세,840,685,61,54,20,20
2021년04월_남_10~19세,"1,022",798,98,44,32,50
2021년04월_남_20~29세,"2,052","1,057",337,341,248,69
2021년04월_남_30~39세,"1,395","1,017",157,110,63,48
2021년04월_남_40~49세,"1,347",959,168,88,47,85
2021년04월_남_50~59세,"1,860","1,047",359,182,115,157
2021년04월_남_60~69세,"1,866",971,385,203,152,155
2021년04월_남_70~79세,863,397,195,119,62,90
2021년04월_남_80~89세,412,193,93,54,40,32
2021년04월_남_90~99세,38,19,8,8,2,1
2021년04월_남_100세 이상,6,5,1,0,0,0
2021년04월_여_총인구수,"10,413","6,858","1,501",914,540,600
2021년04월_여_연령구간인구수,"10,413","6,858","1,501",914,540,600
2021년04월_여_0~9세,835,709,49,43,22,12
2021년04월_여_10~19세,"1,020",830,86,44,26,34
2021년04월_여_20~29세,"1,012",702,92,130,44,44
2021년04월_여_30~39세,"1,115",901,88,57,31,38
2021년04월_여_40~49세,"1,155",882,118,64,38,53
2021년04월_여_50~59세,"1,624",966,276,163,90,129
2021년04월_여_60~69세,"1,629",890,336,157,123,123
2021년04월_여_70~79세,"1,131",543,255,150,88,95
2021년04월_여_80~89세,760,377,170,85,67,61
2021년04월_여_90~99세,123,52,28,21,11,11
2021년04월_여_100세 이상,9,6,3,0,0,0
