카테고리,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2021년03월_계_총인구수,"62,289","38,931",929,428,"1,781","1,051","1,795","3,308","2,880","1,427",993,"1,601","1,618","2,147","3,400"
2021년03월_계_연령구간인구수,"62,289","38,931",929,428,"1,781","1,051","1,795","3,308","2,880","1,427",993,"1,601","1,618","2,147","3,400"
2021년03월_계_0~9세,"3,412","2,827",15,9,33,32,36,121,82,28,19,35,34,45,96
2021년03월_계_10~19세,"5,638","4,597",41,18,64,22,51,277,127,55,35,63,60,62,166
2021년03월_계_20~29세,"6,723","5,108",66,9,115,55,100,282,218,77,80,80,111,143,279
2021년03월_계_30~39세,"4,627","3,423",45,18,85,39,84,218,180,41,48,65,61,121,199
2021년03월_계_40~49세,"8,162","6,190",100,36,113,63,136,343,287,102,71,112,120,170,319
2021년03월_계_50~59세,"11,225","6,973",157,71,310,196,319,551,536,250,209,292,295,395,671
2021년03월_계_60~69세,"9,650","4,684",200,94,380,210,384,679,635,329,204,353,329,468,701
2021년03월_계_70~79세,"7,398","3,198",181,113,346,196,347,491,423,297,184,350,329,410,533
2021년03월_계_80~89세,"4,769","1,706",112,54,293,210,288,302,337,224,125,218,235,278,387
2021년03월_계_90~99세,656,213,11,6,42,27,47,44,54,23,16,32,43,52,46
2021년03월_계_100세 이상,29,12,1,0,0,1,3,0,1,1,2,1,1,3,3
2021년03월_남_총인구수,"30,820","19,139",478,202,915,510,875,"1,631","1,437",738,512,803,762,"1,092","1,726"
2021년03월_남_연령구간인구수,"30,820","19,139",478,202,915,510,875,"1,631","1,437",738,512,803,762,"1,092","1,726"
2021년03월_남_0~9세,"1,739","1,448",6,2,19,15,20,62,31,16,10,21,15,29,45
2021년03월_남_10~19세,"2,918","2,370",24,13,36,10,23,128,74,29,16,32,28,38,97
2021년03월_남_20~29세,"3,674","2,750",38,5,63,34,54,170,119,46,51,53,63,78,150
2021년03월_남_30~39세,"2,338","1,667",28,9,50,19,48,120,112,26,26,33,38,65,97
2021년03월_남_40~49세,"4,227","2,998",64,23,78,49,86,193,175,66,42,81,70,116,186
2021년03월_남_50~59세,"6,131","3,626",97,46,196,115,198,299,304,157,122,183,165,229,394
2021년03월_남_60~69세,"5,075","2,322",103,43,231,127,213,358,337,186,115,197,188,263,392
2021년03월_남_70~79세,"3,098","1,334",82,43,150,78,142,200,195,123,81,134,123,170,243
2021년03월_남_80~89세,"1,466",574,36,17,82,56,80,93,79,81,43,62,66,88,109
2021년03월_남_90~99세,151,49,0,1,10,7,9,8,11,8,6,7,6,16,13
2021년03월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"31,469","19,792",451,226,866,541,920,"1,677","1,443",689,481,798,856,"1,055","1,674"
2021년03월_여_연령구간인구수,"31,469","19,792",451,226,866,541,920,"1,677","1,443",689,481,798,856,"1,055","1,674"
2021년03월_여_0~9세,"1,673","1,379",9,7,14,17,16,59,51,12,9,14,19,16,51
2021년03월_여_10~19세,"2,720","2,227",17,5,28,12,28,149,53,26,19,31,32,24,69
2021년03월_여_20~29세,"3,049","2,358",28,4,52,21,46,112,99,31,29,27,48,65,129
2021년03월_여_30~39세,"2,289","1,756",17,9,35,20,36,98,68,15,22,32,23,56,102
2021년03월_여_40~49세,"3,935","3,192",36,13,35,14,50,150,112,36,29,31,50,54,133
2021년03월_여_50~59세,"5,094","3,347",60,25,114,81,121,252,232,93,87,109,130,166,277
2021년03월_여_60~69세,"4,575","2,362",97,51,149,83,171,321,298,143,89,156,141,205,309
2021년03월_여_70~79세,"4,300","1,864",99,70,196,118,205,291,228,174,103,216,206,240,290
2021년03월_여_80~89세,"3,303","1,132",76,37,211,154,208,209,258,143,82,156,169,190,278
2021년03월_여_90~99세,505,164,11,5,32,20,38,36,43,15,10,25,37,36,33
2021년03월_여_100세 이상,26,11,1,0,0,1,1,0,1,1,2,1,1,3,3
