카테고리,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 개항동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2021년11월_계_총인구수,"143,052","6,141","5,094","13,202","3,919","3,193","5,825","7,040","19,016","43,784","31,886","3,952"
2021년11월_계_연령구간인구수,"143,052","6,141","5,094","13,202","3,919","3,193","5,825","7,040","19,016","43,784","31,886","3,952"
2021년11월_계_0~9세,"11,683",221,230,802,117,80,188,247,"1,189","6,824","1,707",78
2021년11월_계_10~19세,"13,076",322,343,"1,102",255,179,284,443,"1,517","5,196","3,329",106
2021년11월_계_20~29세,"18,876",615,528,"1,596",425,330,587,744,"2,521","3,694","7,589",247
2021년11월_계_30~39세,"21,872",615,506,"1,553",347,276,648,675,"2,977","8,594","5,412",269
2021년11월_계_40~49세,"25,146",777,780,"2,012",528,455,737,935,"3,122","9,735","5,616",449
2021년11월_계_50~59세,"21,131","1,244",869,"2,249",699,611,"1,088","1,252","3,251","4,739","4,271",858
2021년11월_계_60~69세,"17,216","1,353",845,"2,098",765,620,"1,128","1,387","2,756","3,067","2,114","1,083"
2021년11월_계_70~79세,"9,358",639,616,"1,178",545,443,697,900,"1,086","1,416","1,251",587
2021년11월_계_80~89세,"4,020",302,320,536,203,167,384,407,493,441,546,221
2021년11월_계_90~99세,652,50,55,76,34,32,81,49,100,76,48,51
2021년11월_계_100세 이상,22,3,2,0,1,0,3,1,4,2,3,3
2021년11월_남_총인구수,"74,366","3,318","2,606","6,716","2,004","1,642","3,085","3,527","10,406","21,970","16,887","2,205"
2021년11월_남_연령구간인구수,"74,366","3,318","2,606","6,716","2,004","1,642","3,085","3,527","10,406","21,970","16,887","2,205"
2021년11월_남_0~9세,"6,035",118,134,404,54,48,99,133,601,"3,507",900,37
2021년11월_남_10~19세,"6,719",157,178,577,140,88,140,213,799,"2,615","1,757",55
2021년11월_남_20~29세,"9,717",354,285,853,254,188,325,405,"1,392","1,859","3,639",163
2021년11월_남_30~39세,"11,896",368,285,836,191,159,366,381,"1,765","4,147","3,230",168
2021년11월_남_40~49세,"13,698",470,433,"1,079",297,255,445,524,"1,785","5,103","3,017",290
2021년11월_남_50~59세,"11,727",727,468,"1,197",377,344,638,685,"1,841","2,457","2,474",519
2021년11월_남_60~69세,"8,642",707,429,"1,035",360,311,600,657,"1,476","1,410","1,085",572
2021년11월_남_70~79세,"4,317",301,267,521,248,191,321,383,540,691,544,310
2021년11월_남_80~89세,"1,459",104,116,200,75,53,130,129,181,163,226,82
2021년11월_남_90~99세,147,12,11,14,8,5,20,17,22,17,13,8
2021년11월_남_100세 이상,9,0,0,0,0,0,1,0,4,1,2,1
2021년11월_여_총인구수,"68,686","2,823","2,488","6,486","1,915","1,551","2,740","3,513","8,610","21,814","14,999","1,747"
2021년11월_여_연령구간인구수,"68,686","2,823","2,488","6,486","1,915","1,551","2,740","3,513","8,610","21,814","14,999","1,747"
2021년11월_여_0~9세,"5,648",103,96,398,63,32,89,114,588,"3,317",807,41
2021년11월_여_10~19세,"6,357",165,165,525,115,91,144,230,718,"2,581","1,572",51
2021년11월_여_20~29세,"9,159",261,243,743,171,142,262,339,"1,129","1,835","3,950",84
2021년11월_여_30~39세,"9,976",247,221,717,156,117,282,294,"1,212","4,447","2,182",101
2021년11월_여_40~49세,"11,448",307,347,933,231,200,292,411,"1,337","4,632","2,599",159
2021년11월_여_50~59세,"9,404",517,401,"1,052",322,267,450,567,"1,410","2,282","1,797",339
2021년11월_여_60~69세,"8,574",646,416,"1,063",405,309,528,730,"1,280","1,657","1,029",511
2021년11월_여_70~79세,"5,041",338,349,657,297,252,376,517,546,725,707,277
2021년11월_여_80~89세,"2,561",198,204,336,128,114,254,278,312,278,320,139
2021년11월_여_90~99세,505,38,44,62,26,27,61,32,78,59,35,43
2021년11월_여_100세 이상,13,3,2,0,1,0,2,1,0,1,1,2
