카테고리,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2021년05월_계_총인구수,"283,138","14,434","25,817","20,114","38,448","42,110","16,574","29,938","11,817","12,232","10,834","15,146","26,738","18,936"
2021년05월_계_연령구간인구수,"283,138","14,434","25,817","20,114","38,448","42,110","16,574","29,938","11,817","12,232","10,834","15,146","26,738","18,936"
2021년05월_계_0~9세,"18,695",691,"1,408",900,"2,062","3,971","1,177","2,523",415,428,426,"1,260","2,215","1,219"
2021년05월_계_10~19세,"22,782",683,"1,739","1,496","3,041","4,423","1,302","3,815",537,597,602,916,"2,320","1,311"
2021년05월_계_20~29세,"36,736","1,908","3,536","2,896","4,455","5,713","2,410","3,894","1,481","1,864","1,358","1,722","3,120","2,379"
2021년05월_계_30~39세,"33,579","1,957","3,204","1,974","3,747","5,345","1,968","3,110","1,372","1,529","1,117","2,639","3,305","2,312"
2021년05월_계_40~49세,"40,135","1,732","3,414","2,812","5,122","6,559","2,148","5,358","1,388","1,481","1,435","2,048","4,132","2,506"
2021년05월_계_50~59세,"52,846","2,797","5,059","4,216","7,404","8,139","3,342","5,401","2,140","2,210","1,940","2,419","4,439","3,340"
2021년05월_계_60~69세,"47,100","2,794","4,631","3,641","6,796","5,463","2,512","3,310","2,486","2,439","2,150","2,577","4,535","3,766"
2021년05월_계_70~79세,"21,648","1,300","2,025","1,610","3,656","1,806","1,166","1,716","1,315","1,158","1,274","1,146","1,945","1,531"
2021년05월_계_80~89세,"8,518",509,721,504,"1,956",598,478,721,603,461,478,373,626,490
2021년05월_계_90~99세,"1,062",61,74,62,206,91,68,88,74,64,53,44,98,79
2021년05월_계_100세 이상,37,2,6,3,3,2,3,2,6,1,1,2,3,3
2021년05월_남_총인구수,"140,032","7,315","13,240","10,355","18,645","20,705","8,097","14,667","5,815","6,097","5,303","7,444","13,123","9,226"
2021년05월_남_연령구간인구수,"140,032","7,315","13,240","10,355","18,645","20,705","8,097","14,667","5,815","6,097","5,303","7,444","13,123","9,226"
2021년05월_남_0~9세,"9,658",333,764,474,"1,063","2,067",622,"1,282",203,229,222,635,"1,140",624
2021년05월_남_10~19세,"11,862",326,929,814,"1,562","2,284",658,"1,999",299,301,315,467,"1,207",701
2021년05월_남_20~29세,"19,739","1,002","1,931","1,647","2,402","3,047","1,310","2,086",807,977,729,866,"1,647","1,288"
2021년05월_남_30~39세,"17,463","1,101","1,751","1,102","2,004","2,561","1,019","1,477",751,875,611,"1,375","1,652","1,184"
2021년05월_남_40~49세,"19,961",969,"1,784","1,460","2,494","3,050","1,023","2,458",716,803,795,"1,082","2,058","1,269"
2021년05월_남_50~59세,"25,076","1,379","2,520","2,090","3,502","3,745","1,519","2,667","1,060","1,067",934,"1,087","2,066","1,440"
2021년05월_남_60~69세,"23,176","1,390","2,300","1,821","3,451","2,850","1,251","1,615","1,156","1,160",995,"1,248","2,163","1,776"
2021년05월_남_70~79세,"9,984",624,986,747,"1,526",889,523,762,606,525,546,556,954,740
2021년05월_남_80~89세,"2,903",176,267,192,593,201,154,296,198,149,147,126,215,189
2021년05월_남_90~99세,206,14,8,8,48,11,16,25,19,11,9,2,20,15
2021년05월_남_100세 이상,4,1,0,0,0,0,2,0,0,0,0,0,1,0
2021년05월_여_총인구수,"143,106","7,119","12,577","9,759","19,803","21,405","8,477","15,271","6,002","6,135","5,531","7,702","13,615","9,710"
2021년05월_여_연령구간인구수,"143,106","7,119","12,577","9,759","19,803","21,405","8,477","15,271","6,002","6,135","5,531","7,702","13,615","9,710"
2021년05월_여_0~9세,"9,037",358,644,426,999,"1,904",555,"1,241",212,199,204,625,"1,075",595
2021년05월_여_10~19세,"10,920",357,810,682,"1,479","2,139",644,"1,816",238,296,287,449,"1,113",610
2021년05월_여_20~29세,"16,997",906,"1,605","1,249","2,053","2,666","1,100","1,808",674,887,629,856,"1,473","1,091"
2021년05월_여_30~39세,"16,116",856,"1,453",872,"1,743","2,784",949,"1,633",621,654,506,"1,264","1,653","1,128"
2021년05월_여_40~49세,"20,174",763,"1,630","1,352","2,628","3,509","1,125","2,900",672,678,640,966,"2,074","1,237"
2021년05월_여_50~59세,"27,770","1,418","2,539","2,126","3,902","4,394","1,823","2,734","1,080","1,143","1,006","1,332","2,373","1,900"
2021년05월_여_60~69세,"23,924","1,404","2,331","1,820","3,345","2,613","1,261","1,695","1,330","1,279","1,155","1,329","2,372","1,990"
2021년05월_여_70~79세,"11,664",676,"1,039",863,"2,130",917,643,954,709,633,728,590,991,791
2021년05월_여_80~89세,"5,615",333,454,312,"1,363",397,324,425,405,312,331,247,411,301
2021년05월_여_90~99세,856,47,66,54,158,80,52,63,55,53,44,42,78,64
2021년05월_여_100세 이상,33,1,6,3,3,2,1,2,6,1,1,2,2,3
