,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2021년12월_계_총인구수,"396,754","36,049","20,827","23,802","23,529","19,667","29,212","8,958","22,337","26,631","33,775","30,894","20,222","22,540","38,456","23,506","16,349"
2021년12월_계_연령구간인구수,"396,754","36,049","20,827","23,802","23,529","19,667","29,212","8,958","22,337","26,631","33,775","30,894","20,222","22,540","38,456","23,506","16,349"
2021년12월_계_0~9세,"25,967","3,444","1,740",802,"1,182",743,"1,708",236,"1,231","1,611","2,157","1,973","1,050","1,137","2,854","1,388","2,711"
2021년12월_계_10~19세,"29,191","3,565","1,929","1,346","1,348",997,"1,489",274,"1,825","2,159","2,271","2,228","1,363","1,188","4,007","1,919","1,283"
2021년12월_계_20~29세,"53,703","4,243","2,699","3,149","4,208","2,803","5,023","1,606","3,049","3,414","4,412","3,663","2,539","3,989","4,445","2,936","1,525"
2021년12월_계_30~39세,"61,071","6,112","3,705","2,820","4,852","2,858","5,565","1,285","2,792","3,106","5,034","4,241","2,598","4,415","4,929","3,218","3,541"
2021년12월_계_40~49세,"61,183","6,556","3,569","3,235","3,955","2,684","4,042","1,038","3,298","4,128","4,784","4,686","3,054","3,106","6,481","3,624","2,943"
2021년12월_계_50~59세,"62,294","5,120","2,970","4,574","3,074","3,406","4,474","1,717","3,812","4,677","5,708","4,837","3,394","3,035","5,757","3,930","1,809"
2021년12월_계_60~69세,"57,489","4,154","2,759","4,080","2,620","3,106","3,871","1,585","3,590","4,137","5,281","5,155","3,566","3,019","5,245","3,706","1,615"
2021년12월_계_70~79세,"31,972","2,000","1,002","2,595","1,580","2,093","2,123",813,"1,931","2,316","2,911","2,989","1,820","1,823","3,311","2,002",663
2021년12월_계_80~89세,"12,288",745,387,"1,077",640,887,816,361,713,971,"1,067",987,750,734,"1,244",691,218
2021년12월_계_90~99세,"1,554",106,64,121,69,90,98,39,94,108,146,129,86,93,182,90,39
2021년12월_계_100세 이상,42,4,3,3,1,0,3,4,2,4,4,6,2,1,1,2,2
2021년12월_남_총인구수,"195,537","17,517","10,196","12,016","12,087","9,534","14,185","4,900","11,119","13,205","16,854","15,051","9,831","10,945","18,495","11,591","8,011"
2021년12월_남_연령구간인구수,"195,537","17,517","10,196","12,016","12,087","9,534","14,185","4,900","11,119","13,205","16,854","15,051","9,831","10,945","18,495","11,591","8,011"
2021년12월_남_0~9세,"13,255","1,742",897,415,615,390,886,120,616,829,"1,068","1,020",513,563,"1,457",714,"1,410"
2021년12월_남_10~19세,"14,989","1,811","1,018",708,682,512,749,152,937,"1,092","1,150","1,119",700,600,"2,049","1,062",648
2021년12월_남_20~29세,"26,291","2,011","1,282","1,615","2,088","1,296","2,193",892,"1,598","1,764","2,277","1,814","1,297","1,704","2,210","1,528",722
2021년12월_남_30~39세,"31,131","2,913","1,833","1,579","2,686","1,510","2,799",764,"1,447","1,580","2,611","2,128","1,343","2,266","2,395","1,610","1,667"
2021년12월_남_40~49세,"31,333","3,196","1,793","1,709","2,176","1,382","2,085",582,"1,679","2,054","2,463","2,407","1,574","1,631","3,220","1,812","1,570"
2021년12월_남_50~59세,"30,859","2,524","1,418","2,395","1,635","1,719","2,230","1,005","1,885","2,328","2,826","2,309","1,589","1,537","2,761","1,864",834
2021년12월_남_60~69세,"27,124","1,977","1,282","1,954","1,215","1,389","1,893",866,"1,716","2,055","2,558","2,345","1,626","1,449","2,321","1,765",713
2021년12월_남_70~79세,"15,156","1,014",497,"1,161",721,950,985,380,949,"1,077","1,399","1,452",871,875,"1,527",943,355
2021년12월_남_80~89세,"5,002",307,154,454,249,364,339,130,269,394,460,415,295,306,513,271,82
2021년12월_남_90~99세,385,20,21,26,20,22,26,9,22,31,41,39,22,14,42,20,10
2021년12월_남_100세 이상,12,2,1,0,0,0,0,0,1,1,1,3,1,0,0,2,0
2021년12월_여_총인구수,"201,217","18,532","10,631","11,786","11,442","10,133","15,027","4,058","11,218","13,426","16,921","15,843","10,391","11,595","19,961","11,915","8,338"
2021년12월_여_연령구간인구수,"201,217","18,532","10,631","11,786","11,442","10,133","15,027","4,058","11,218","13,426","16,921","15,843","10,391","11,595","19,961","11,915","8,338"
