카테고리,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2020년07월_계_총인구수,"100,601","6,301","1,662","2,196","1,640","1,139","3,602","2,664","3,963","5,203","2,465","1,766","2,313","5,344","14,551","6,987","16,783","15,474","6,548"
2020년07월_계_연령구간인구수,"100,601","6,301","1,662","2,196","1,640","1,139","3,602","2,664","3,963","5,203","2,465","1,766","2,313","5,344","14,551","6,987","16,783","15,474","6,548"
2020년07월_계_0~9세,"6,344",146,39,48,60,30,125,72,135,140,51,55,70,191,"1,117",519,"1,736","1,553",257
2020년07월_계_10~19세,"8,454",337,119,126,99,68,197,109,219,276,95,60,124,351,"1,481",635,"1,979","1,779",400
2020년07월_계_20~29세,"9,598",444,192,124,136,63,226,150,275,390,117,100,173,473,"1,691",751,"2,019","1,728",546
2020년07월_계_30~39세,"9,657",359,84,132,127,67,230,148,213,291,109,85,159,414,"1,583",768,"2,383","1,925",580
2020년07월_계_40~49세,"14,127",637,171,267,220,108,355,221,379,489,205,143,259,705,"2,340","1,145","2,997","2,700",786
2020년07월_계_50~59세,"17,328","1,163",278,406,324,226,634,421,701,998,371,276,465,976,"2,485","1,173","2,613","2,528","1,290"
2020년07월_계_60~69세,"16,669","1,455",378,484,359,256,793,584,876,"1,137",547,413,514,"1,041","2,019",963,"1,710","1,765","1,375"
2020년07월_계_70~79세,"11,228","1,048",250,360,173,182,583,522,670,847,529,369,364,722,"1,232",654,892,977,854
2020년07월_계_80~89세,"6,247",603,126,210,126,121,414,382,437,525,377,224,162,413,535,342,405,445,400
2020년07월_계_90~99세,889,106,25,39,15,18,44,54,53,102,62,41,18,56,59,33,45,62,57
2020년07월_계_100세 이상,60,3,0,0,1,0,1,1,5,8,2,0,5,2,9,4,4,12,3
2020년07월_남_총인구수,"50,969","3,210",878,"1,159",879,608,"1,862","1,321","2,003","2,621","1,205",912,"1,156","2,789","7,347","3,495","8,441","7,668","3,415"
2020년07월_남_연령구간인구수,"50,969","3,210",878,"1,159",879,608,"1,862","1,321","2,003","2,621","1,205",912,"1,156","2,789","7,347","3,495","8,441","7,668","3,415"
2020년07월_남_0~9세,"3,194",74,18,18,33,13,60,42,73,81,38,30,40,97,567,250,865,773,122
2020년07월_남_10~19세,"4,395",175,67,62,52,41,106,65,116,134,44,36,69,182,747,329,"1,025",943,202
2020년07월_남_20~29세,"5,619",285,145,72,87,38,136,88,159,231,73,64,98,295,984,413,"1,160",948,343
2020년07월_남_30~39세,"5,215",220,44,83,71,45,144,87,127,166,62,47,92,249,851,421,"1,193",959,354
2020년07월_남_40~49세,"7,746",374,107,174,142,73,210,134,233,277,123,105,157,431,"1,205",591,"1,552","1,358",500
2020년07월_남_50~59세,"9,241",641,154,254,186,138,358,236,377,556,204,149,259,536,"1,266",618,"1,322","1,293",694
2020년07월_남_60~69세,"8,144",728,196,238,183,131,405,294,446,590,270,222,235,498,960,455,811,822,660
2020년07월_남_70~79세,"5,012",478,107,172,82,84,291,238,306,381,234,171,151,348,551,276,369,410,363
2020년07월_남_80~89세,"2,200",206,36,76,40,42,146,124,156,183,137,81,51,143,198,134,135,147,165
2020년07월_남_90~99세,190,27,4,10,3,3,6,13,9,21,19,7,4,10,16,7,8,11,12
2020년07월_남_100세 이상,13,2,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,4,0
2020년07월_여_총인구수,"49,632","3,091",784,"1,037",761,531,"1,740","1,343","1,960","2,582","1,260",854,"1,157","2,555","7,204","3,492","8,342","7,806","3,133"
2020년07월_여_연령구간인구수,"49,632","3,091",784,"1,037",761,531,"1,740","1,343","1,960","2,582","1,260",854,"1,157","2,555","7,204","3,492","8,342","7,806","3,133"
2020년07월_여_0~9세,"3,150",72,21,30,27,17,65,30,62,59,13,25,30,94,550,269,871,780,135
2020년07월_여_10~19세,"4,059",162,52,64,47,27,91,44,103,142,51,24,55,169,734,306,954,836,198
2020년07월_여_20~29세,"3,979",159,47,52,49,25,90,62,116,159,44,36,75,178,707,338,859,780,203
2020년07월_여_30~39세,"4,442",139,40,49,56,22,86,61,86,125,47,38,67,165,732,347,"1,190",966,226
2020년07월_여_40~49세,"6,381",263,64,93,78,35,145,87,146,212,82,38,102,274,"1,135",554,"1,445","1,342",286
2020년07월_여_50~59세,"8,087",522,124,152,138,88,276,185,324,442,167,127,206,440,"1,219",555,"1,291","1,235",596
2020년07월_여_60~69세,"8,525",727,182,246,176,125,388,290,430,547,277,191,279,543,"1,059",508,899,943,715
2020년07월_여_70~79세,"6,216",570,143,188,91,98,292,284,364,466,295,198,213,374,681,378,523,567,491
2020년07월_여_80~89세,"4,047",397,90,134,86,79,268,258,281,342,240,143,111,270,337,208,270,298,235
2020년07월_여_90~99세,699,79,21,29,12,15,38,41,44,81,43,34,14,46,43,26,37,51,45
2020년07월_여_100세 이상,47,1,0,0,1,0,1,1,4,7,1,0,5,2,7,3,3,8,3
