,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2021년05월_계_총인구수,"24,825","5,177","1,829","2,498","2,093","2,503","2,608","1,771","6,346"
2021년05월_계_연령구간인구수,"24,825","5,177","1,829","2,498","2,093","2,503","2,608","1,771","6,346"
2021년05월_계_0~9세,952,282,48,68,75,54,73,51,301
2021년05월_계_10~19세,"1,177",354,53,91,98,94,90,52,345
2021년05월_계_20~29세,"1,640",463,93,128,133,117,115,85,506
2021년05월_계_30~39세,"1,634",460,116,118,103,121,119,95,502
2021년05월_계_40~49세,"2,321",596,139,163,192,174,199,131,727
2021년05월_계_50~59세,"4,626","1,005",352,474,426,459,492,267,"1,151"
2021년05월_계_60~69세,"5,622",933,472,656,449,726,623,462,"1,301"
2021년05월_계_70~79세,"3,971",618,329,471,344,438,525,333,913
2021년05월_계_80~89세,"2,544",409,204,292,241,280,321,253,544
2021년05월_계_90~99세,322,52,23,36,30,39,48,42,52
2021년05월_계_100세 이상,16,5,0,1,2,1,3,0,4
2021년05월_남_총인구수,"12,380","2,561",907,"1,232","1,036","1,244","1,254",882,"3,264"
2021년05월_남_연령구간인구수,"12,380","2,561",907,"1,232","1,036","1,244","1,254",882,"3,264"
2021년05월_남_0~9세,491,154,23,33,35,30,39,23,154
2021년05월_남_10~19세,624,173,33,53,55,51,52,22,185
2021년05월_남_20~29세,995,268,53,76,80,67,71,52,328
2021년05월_남_30~39세,950,252,72,65,54,76,66,65,300
2021년05월_남_40~49세,"1,322",313,89,91,113,99,114,79,424
2021년05월_남_50~59세,"2,474",529,182,256,232,242,256,147,630
2021년05월_남_60~69세,"2,819",466,245,320,220,361,315,258,634
2021년05월_남_70~79세,"1,754",265,145,214,155,192,220,148,415
2021년05월_남_80~89세,889,135,62,117,85,119,110,78,183
2021년05월_남_90~99세,59,6,3,6,7,7,11,10,9
2021년05월_남_100세 이상,3,0,0,1,0,0,0,0,2
2021년05월_여_총인구수,"12,445","2,616",922,"1,266","1,057","1,259","1,354",889,"3,082"
2021년05월_여_연령구간인구수,"12,445","2,616",922,"1,266","1,057","1,259","1,354",889,"3,082"
2021년05월_여_0~9세,461,128,25,35,40,24,34,28,147
2021년05월_여_10~19세,553,181,20,38,43,43,38,30,160
2021년05월_여_20~29세,645,195,40,52,53,50,44,33,178
2021년05월_여_30~39세,684,208,44,53,49,45,53,30,202
2021년05월_여_40~49세,999,283,50,72,79,75,85,52,303
2021년05월_여_50~59세,"2,152",476,170,218,194,217,236,120,521
2021년05월_여_60~69세,"2,803",467,227,336,229,365,308,204,667
2021년05월_여_70~79세,"2,217",353,184,257,189,246,305,185,498
2021년05월_여_80~89세,"1,655",274,142,175,156,161,211,175,361
2021년05월_여_90~99세,263,46,20,30,23,32,37,32,43
2021년05월_여_100세 이상,13,5,0,0,2,1,3,0,2
