카테고리,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2021년11월_계_총인구수,"305,443","17,135","16,006","20,412","19,791","35,097","23,719","15,354","13,733","22,686","26,574","15,454","29,797","18,044","31,641"
2021년11월_계_연령구간인구수,"305,443","17,135","16,006","20,412","19,791","35,097","23,719","15,354","13,733","22,686","26,574","15,454","29,797","18,044","31,641"
2021년11월_계_0~9세,"18,992","1,155","1,401","1,188",673,"1,553","1,446",720,761,"1,446","1,189","2,040","2,634","1,315","1,471"
2021년11월_계_10~19세,"22,593","1,382","1,017","1,300",906,"2,314","1,824","1,027","1,001","1,687","2,076","1,474","2,343","1,936","2,306"
2021년11월_계_20~29세,"49,111","2,127","2,187","3,355","7,864","7,567","3,037","2,044","1,725","2,771","4,109","1,427","4,252","2,064","4,582"
2021년11월_계_30~39세,"44,269","2,314","2,821","3,337","3,498","5,520","3,316","1,918","1,868","3,016","3,508","2,278","4,464","2,273","4,138"
2021년11월_계_40~49세,"45,389","2,650","2,565","2,962","1,966","4,734","3,552","2,048","1,906","3,287","3,764","3,053","4,893","3,213","4,796"
2021년11월_계_50~59세,"48,671","3,009","2,732","3,271","1,969","5,141","4,057","2,651","2,455","3,951","4,550","2,149","4,417","2,971","5,348"
2021년11월_계_60~69세,"39,705","2,265","1,810","2,742","1,416","4,142","3,423","2,372","2,150","3,434","3,822","1,590","3,511","2,299","4,729"
2021년11월_계_70~79세,"23,314","1,345",957,"1,401",905,"2,565","1,940","1,612","1,191","1,927","2,203",929,"2,158","1,290","2,891"
2021년11월_계_80~89세,"11,747",789,452,719,517,"1,354","1,006",870,593,"1,025","1,156",451,990,606,"1,219"
2021년11월_계_90~99세,"1,554",94,59,128,72,198,114,89,78,133,167,59,128,76,159
2021년11월_계_100세 이상,98,5,5,9,5,9,4,3,5,9,30,4,7,1,2
2021년11월_남_총인구수,"145,990","8,129","7,684","9,844","8,749","16,820","11,118","7,427","6,493","10,935","12,829","7,413","14,415","8,696","15,438"
2021년11월_남_연령구간인구수,"145,990","8,129","7,684","9,844","8,749","16,820","11,118","7,427","6,493","10,935","12,829","7,413","14,415","8,696","15,438"
2021년11월_남_0~9세,"9,683",581,711,594,356,775,717,363,407,731,597,"1,049","1,338",683,781
2021년11월_남_10~19세,"11,270",683,495,629,398,"1,154",897,555,509,842,"1,071",704,"1,140","1,010","1,183"
2021년11월_남_20~29세,"23,338","1,015","1,002","1,613","3,026","3,799","1,488","1,019",859,"1,380","2,044",683,"2,095","1,007","2,308"
2021년11월_남_30~39세,"21,883","1,144","1,361","1,636","1,752","2,747","1,609",999,906,"1,511","1,863","1,003","2,169","1,062","2,121"
2021년11월_남_40~49세,"22,414","1,271","1,318","1,484",953,"2,272","1,687","1,035",915,"1,630","1,844","1,567","2,456","1,588","2,394"
2021년11월_남_50~59세,"23,710","1,505","1,359","1,616",982,"2,465","1,897","1,312","1,156","1,924","2,208","1,058","2,200","1,439","2,589"
2021년11월_남_60~69세,"18,745","1,092",856,"1,340",664,"1,915","1,556","1,110","1,020","1,663","1,753",745,"1,675","1,091","2,265"
2021년11월_남_70~79세,"9,989",544,405,627,390,"1,075",844,676,478,832,971,394,924,552,"1,277"
2021년11월_남_80~89세,"4,524",271,160,270,205,548,393,327,221,387,439,191,383,248,481
2021년11월_남_90~99세,410,21,16,32,21,68,30,31,20,34,32,18,32,16,39
2021년11월_남_100세 이상,24,2,1,3,2,2,0,0,2,1,7,1,3,0,0
2021년11월_여_총인구수,"159,453","9,006","8,322","10,568","11,042","18,277","12,601","7,927","7,240","11,751","13,745","8,041","15,382","9,348","16,203"
2021년11월_여_연령구간인구수,"159,453","9,006","8,322","10,568","11,042","18,277","12,601","7,927","7,240","11,751","13,745","8,041","15,382","9,348","16,203"
2021년11월_여_0~9세,"9,309",574,690,594,317,778,729,357,354,715,592,991,"1,296",632,690
2021년11월_여_10~19세,"11,323",699,522,671,508,"1,160",927,472,492,845,"1,005",770,"1,203",926,"1,123"
2021년11월_여_20~29세,"25,773","1,112","1,185","1,742","4,838","3,768","1,549","1,025",866,"1,391","2,065",744,"2,157","1,057","2,274"
2021년11월_여_30~39세,"22,386","1,170","1,460","1,701","1,746","2,773","1,707",919,962,"1,505","1,645","1,275","2,295","1,211","2,017"
2021년11월_여_40~49세,"22,975","1,379","1,247","1,478","1,013","2,462","1,865","1,013",991,"1,657","1,920","1,486","2,437","1,625","2,402"
2021년11월_여_50~59세,"24,961","1,504","1,373","1,655",987,"2,676","2,160","1,339","1,299","2,027","2,342","1,091","2,217","1,532","2,759"
2021년11월_여_60~69세,"20,960","1,173",954,"1,402",752,"2,227","1,867","1,262","1,130","1,771","2,069",845,"1,836","1,208","2,464"
2021년11월_여_70~79세,"13,325",801,552,774,515,"1,490","1,096",936,713,"1,095","1,232",535,"1,234",738,"1,614"
2021년11월_여_80~89세,"7,223",518,292,449,312,806,613,543,372,638,717,260,607,358,738
2021년11월_여_90~99세,"1,144",73,43,96,51,130,84,58,58,99,135,41,96,60,120
2021년11월_여_100세 이상,74,3,4,6,3,7,4,3,3,8,23,3,4,1,2
