,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년12월_계_총인구수,"1,074,176","257,498","33,300","26,202","20,265","23,547","8,252","8,461","19,084","24,635","44,675","35,949","13,128","440,835","38,844","30,729","17,623","42,070","13,432","33,685","21,332","25,962","39,372","32,392","33,055","27,235","23,521","24,970","36,613","375,843","36,762","41,680","38,172","56,882","18,533","49,521","48,649","34,092","51,552"
2020년12월_계_연령구간인구수,"1,074,176","257,498","33,300","26,202","20,265","23,547","8,252","8,461","19,084","24,635","44,675","35,949","13,128","440,835","38,844","30,729","17,623","42,070","13,432","33,685","21,332","25,962","39,372","32,392","33,055","27,235","23,521","24,970","36,613","375,843","36,762","41,680","38,172","56,882","18,533","49,521","48,649","34,092","51,552"
2020년12월_계_0~9세,"100,771","21,222","2,317","1,943","1,586","3,195",326,239,"1,308","1,567","4,897","3,159",685,"42,799","3,410","3,524","1,891","4,354",977,"3,068","1,839","3,189","3,332","2,696","3,507","2,652","2,979","1,995","3,386","36,750","2,760","4,726","3,548","5,098","1,528","5,761","4,816","3,387","5,126"
2020년12월_계_10~19세,"121,165","24,883","3,704","2,359","1,789","1,870",575,509,"1,946","2,199","4,435","4,355","1,142","50,832","3,604","3,548","1,270","3,390","1,288","4,352","2,160","2,472","4,848","3,109","5,724","4,699","2,977","2,817","4,574","45,450","3,704","5,762","5,319","7,094","1,619","5,354","6,183","4,234","6,181"
2020년12월_계_20~29세,"137,762","34,504","4,791","3,349","2,135","1,934",743,867,"2,383","4,388","7,184","4,852","1,878","56,781","5,138","3,839","2,480","6,708","1,960","4,045","2,509","5,064","4,309","4,116","3,552","3,165","2,225","3,440","4,231","46,477","5,439","4,936","4,078","7,879","2,765","5,553","6,338","3,913","5,576"
2020년12월_계_30~39세,"145,303","34,006","3,942","3,047","2,370","4,227",731,728,"2,408","3,150","7,418","4,569","1,416","59,526","6,238","4,721","3,259","7,827","1,888","3,936","2,762","4,562","4,230","4,117","3,438","2,394","3,147","2,820","4,187","51,771","6,239","6,278","4,074","6,999","3,303","7,957","6,785","4,306","5,830"
2020년12월_계_40~49세,"200,015","43,528","5,976","4,452","3,334","4,100","1,093","1,011","3,125","3,875","7,762","6,798","2,002","83,883","6,646","6,017","2,759","7,109","2,410","6,549","3,794","4,441","7,783","5,394","7,919","6,292","4,934","4,500","7,336","72,604","6,098","9,027","8,014","10,907","3,055","9,610","9,361","6,592","9,940"
2020년12월_계_50~59세,"165,072","43,270","5,904","4,664","3,696","3,112","1,616","1,602","3,388","4,209","6,374","6,108","2,597","66,733","6,236","4,824","2,761","6,516","2,277","5,179","3,486","3,194","5,843","5,104","4,613","4,257","2,696","4,406","5,341","55,069","5,413","5,747","5,728","8,712","2,876","6,990","7,030","5,066","7,507"
2020년12월_계_60~69세,"106,264","31,378","3,696","3,605","2,959","2,878","1,652","1,810","2,607","2,984","3,820","3,369","1,998","41,167","3,960","2,555","1,690","3,530","1,267","3,353","2,678","1,845","4,294","3,715","2,113","1,946","2,023","2,709","3,489","33,719","3,653","2,428","3,444","5,127","1,779","4,659","4,094","3,044","5,491"
2020년12월_계_70~79세,"65,624","16,025","1,916","1,862","1,512","1,494",950,939,"1,187","1,473","1,886","1,835",971,"26,278","2,404","1,158",755,"1,865",900,"2,198","1,443",813,"3,204","2,799","1,480","1,203","1,700","1,545","2,811","23,321","2,328","1,749","2,775","3,341","1,046","2,583","2,791","2,464","4,244"
