,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2021년12월_계_총인구수,"82,791","4,427","3,592","6,024","9,564","21,873","29,264","4,932","3,115"
2021년12월_계_연령구간인구수,"82,791","4,427","3,592","6,024","9,564","21,873","29,264","4,932","3,115"
2021년12월_계_0~9세,"5,621",175,227,210,482,"1,361","2,786",292,88
2021년12월_계_10~19세,"7,220",227,261,434,802,"2,181","2,949",255,111
2021년12월_계_20~29세,"8,958",399,289,583,"1,104","2,455","3,407",467,254
2021년12월_계_30~39세,"9,112",397,324,469,997,"2,246","3,912",562,205
2021년12월_계_40~49세,"12,149",481,490,719,"1,296","3,308","4,929",623,303
2021년12월_계_50~59세,"15,068",874,686,"1,161","1,712","4,141","4,967",894,633
2021년12월_계_60~69세,"13,878","1,049",681,"1,302","1,820","3,549","3,708",990,779
2021년12월_계_70~79세,"6,770",526,412,684,845,"1,624","1,707",494,478
2021년12월_계_80~89세,"3,395",259,191,380,432,848,774,291,220
2021년12월_계_90~99세,608,38,31,82,72,159,121,61,44
2021년12월_계_100세 이상,12,2,0,0,2,1,4,3,0
2021년12월_남_총인구수,"41,080","2,303","1,805","2,945","4,687","10,928","14,306","2,497","1,609"
2021년12월_남_연령구간인구수,"41,080","2,303","1,805","2,945","4,687","10,928","14,306","2,497","1,609"
2021년12월_남_0~9세,"2,850",90,121,109,240,692,"1,395",160,43
2021년12월_남_10~19세,"3,758",135,136,224,431,"1,109","1,524",126,73
2021년12월_남_20~29세,"5,067",244,164,340,626,"1,410","1,876",261,146
2021년12월_남_30~39세,"4,919",226,170,266,552,"1,209","2,038",321,137
2021년12월_남_40~49세,"6,073",282,258,381,648,"1,606","2,385",340,173
2021년12월_남_50~59세,"7,450",464,351,565,821,"2,064","2,371",481,333
2021년12월_남_60~69세,"6,729",521,342,614,854,"1,794","1,714",501,389
2021년12월_남_70~79세,"2,932",244,190,297,351,733,711,194,212
2021년12월_남_80~89세,"1,196",92,67,137,152,286,270,98,94
2021년12월_남_90~99세,105,5,6,12,12,25,22,14,9
2021년12월_남_100세 이상,1,0,0,0,0,0,0,1,0
2021년12월_여_총인구수,"41,711","2,124","1,787","3,079","4,877","10,945","14,958","2,435","1,506"
2021년12월_여_연령구간인구수,"41,711","2,124","1,787","3,079","4,877","10,945","14,958","2,435","1,506"
2021년12월_여_0~9세,"2,771",85,106,101,242,669,"1,391",132,45
2021년12월_여_10~19세,"3,462",92,125,210,371,"1,072","1,425",129,38
2021년12월_여_20~29세,"3,891",155,125,243,478,"1,045","1,531",206,108
2021년12월_여_30~39세,"4,193",171,154,203,445,"1,037","1,874",241,68
2021년12월_여_40~49세,"6,076",199,232,338,648,"1,702","2,544",283,130
2021년12월_여_50~59세,"7,618",410,335,596,891,"2,077","2,596",413,300
2021년12월_여_60~69세,"7,149",528,339,688,966,"1,755","1,994",489,390
2021년12월_여_70~79세,"3,838",282,222,387,494,891,996,300,266
2021년12월_여_80~89세,"2,199",167,124,243,280,562,504,193,126
2021년12월_여_90~99세,503,33,25,70,60,134,99,47,35
2021년12월_여_100세 이상,11,2,0,0,2,1,4,2,0
