카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년07월_계_총인구수,"340,426","7,481","10,490","9,856","11,711","6,422","13,027","12,041","7,378","13,907","13,506","4,073","21,545","14,569","15,714","18,584","15,312","42,837","11,146","21,201","29,264","18,677","21,685"
2021년07월_계_연령구간인구수,"340,426","7,481","10,490","9,856","11,711","6,422","13,027","12,041","7,378","13,907","13,506","4,073","21,545","14,569","15,714","18,584","15,312","42,837","11,146","21,201","29,264","18,677","21,685"
2021년07월_계_0~9세,"24,264",274,938,940,353,204,727,868,157,497,661,179,"2,182",627,801,864,736,"3,567",626,"2,347","2,428","2,976","1,312"
2021년07월_계_10~19세,"26,264",381,858,629,618,384,876,"1,021",336,799,952,214,"2,301",887,892,"1,266",928,"3,683",639,"2,686","2,926","1,527","1,461"
2021년07월_계_20~29세,"41,086",859,"1,004","1,050","1,722",765,"1,518","1,532","1,301","1,807","1,707",593,"2,226","1,892","2,115","2,392","1,893","5,114","1,344","2,165","3,812","1,863","2,412"
2021년07월_계_30~39세,"43,088",658,"1,342","1,581","1,374",555,"1,453","1,477","1,066","1,347","1,466",455,"2,712","1,485","1,859","1,743","1,598","5,482","1,330","2,984","4,041","4,456","2,624"
2021년07월_계_40~49세,"50,848",918,"1,821","1,385","1,527",806,"1,851","1,863",926,"1,664","1,902",440,"3,997","1,732","2,011","2,294","1,933","6,679","1,421","4,188","4,883","3,577","3,030"
2021년07월_계_50~59세,"56,321","1,286","1,545","1,503","2,240","1,204","2,188","2,120","1,244","2,511","2,265",722,"3,260","2,830","2,864","3,563","2,789","6,904","2,134","2,889","4,672","1,757","3,831"
2021년07월_계_60~69세,"53,036","1,462","1,436","1,466","2,120","1,289","2,177","1,693","1,238","2,722","2,432",755,"2,786","2,914","2,817","3,481","2,857","6,469","2,038","2,019","3,732","1,538","3,595"
2021년07월_계_70~79세,"30,328","1,022","1,004",872,"1,212",801,"1,448",931,736,"1,714","1,408",460,"1,423","1,512","1,584","1,952","1,757","3,267","1,102","1,314","1,924",704,"2,181"
