,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2020년12월_계_총인구수,"111,105","18,003","12,968","15,549","7,584","1,615","3,443","2,839","3,545","6,167","5,155","6,434","15,438","6,775","5,322",268
2020년12월_계_연령구간인구수,"111,105","18,003","12,968","15,549","7,584","1,615","3,443","2,839","3,545","6,167","5,155","6,434","15,438","6,775","5,322",268
2020년12월_계_0~9세,"8,130","1,394","1,368","1,927",643,39,90,69,72,169,238,444,"1,042",336,296,3
2020년12월_계_10~19세,"10,281","1,859","1,512","2,043",617,49,145,88,138,312,303,490,"1,667",625,425,8
2020년12월_계_20~29세,"10,769","2,316","1,441","1,543",519,117,272,152,253,398,474,548,"1,606",684,437,9
2020년12월_계_30~39세,"11,891","2,336","1,830","2,353",864,93,186,135,164,443,449,695,"1,359",529,441,14
2020년12월_계_40~49세,"17,752","3,165","2,394","3,092","1,228",163,341,264,334,706,685,960,"2,520","1,138",728,34
2020년12월_계_50~59세,"18,502","3,078","1,938","1,887","1,204",286,613,538,691,"1,087",969,"1,108","2,898","1,274",888,43
2020년12월_계_60~69세,"16,534","1,995","1,258","1,341","1,230",405,754,676,783,"1,445","1,020","1,107","2,306","1,140","1,010",64
2020년12월_계_70~79세,"10,642","1,114",733,826,775,243,602,509,628,"1,078",659,751,"1,342",660,656,66
2020년12월_계_80~89세,"5,766",644,423,468,429,197,390,359,417,462,321,291,639,327,372,27
2020년12월_계_90~99세,806,93,70,68,74,23,47,46,63,65,37,34,58,61,67,0
2020년12월_계_100세 이상,32,9,1,1,1,0,3,3,2,2,0,6,1,1,2,0
2020년12월_남_총인구수,"56,010","9,328","6,533","8,126","3,783",856,"1,760","1,405","1,741","3,006","2,571","3,151","7,516","3,479","2,616",139
2020년12월_남_연령구간인구수,"56,010","9,328","6,533","8,126","3,783",856,"1,760","1,405","1,741","3,006","2,571","3,151","7,516","3,479","2,616",139
2020년12월_남_0~9세,"4,231",724,700,"1,036",304,25,56,42,38,94,121,222,548,158,161,2
2020년12월_남_10~19세,"5,300",901,799,"1,033",334,27,82,52,72,161,170,270,858,325,211,5
2020년12월_남_20~29세,"6,423","1,356",818,971,297,70,173,95,157,240,310,310,923,423,273,7
2020년12월_남_30~39세,"6,389","1,319",949,"1,242",441,59,108,72,93,273,247,361,685,303,229,8
2020년12월_남_40~49세,"9,454","1,707","1,199","1,644",687,102,207,171,215,406,388,516,"1,203",595,387,27
2020년12월_남_50~59세,"9,786","1,642","1,014","1,058",631,177,342,313,390,568,485,556,"1,444",694,446,26
2020년12월_남_60~69세,"7,965",988,621,640,590,216,383,330,373,663,474,489,"1,098",574,495,31
2020년12월_남_70~79세,"4,544",467,292,355,345,111,272,214,279,445,275,323,553,296,290,27
2020년12월_남_80~89세,"1,781",205,129,136,141,63,124,107,118,148,96,96,197,101,114,6
2020년12월_남_90~99세,128,18,12,11,13,6,12,7,5,8,5,6,7,9,9,0
2020년12월_남_100세 이상,9,1,0,0,0,0,1,2,1,0,0,2,0,1,1,0
2020년12월_여_총인구수,"55,095","8,675","6,435","7,423","3,801",759,"1,683","1,434","1,804","3,161","2,584","3,283","7,922","3,296","2,706",129
2020년12월_여_연령구간인구수,"55,095","8,675","6,435","7,423","3,801",759,"1,683","1,434","1,804","3,161","2,584","3,283","7,922","3,296","2,706",129
2020년12월_여_0~9세,"3,899",670,668,891,339,14,34,27,34,75,117,222,494,178,135,1
2020년12월_여_10~19세,"4,981",958,713,"1,010",283,22,63,36,66,151,133,220,809,300,214,3
2020년12월_여_20~29세,"4,346",960,623,572,222,47,99,57,96,158,164,238,683,261,164,2
2020년12월_여_30~39세,"5,502","1,017",881,"1,111",423,34,78,63,71,170,202,334,674,226,212,6
2020년12월_여_40~49세,"8,298","1,458","1,195","1,448",541,61,134,93,119,300,297,444,"1,317",543,341,7
2020년12월_여_50~59세,"8,716","1,436",924,829,573,109,271,225,301,519,484,552,"1,454",580,442,17
2020년12월_여_60~69세,"8,569","1,007",637,701,640,189,371,346,410,782,546,618,"1,208",566,515,33
2020년12월_여_70~79세,"6,098",647,441,471,430,132,330,295,349,633,384,428,789,364,366,39
2020년12월_여_80~89세,"3,985",439,294,332,288,134,266,252,299,314,225,195,442,226,258,21
2020년12월_여_90~99세,678,75,58,57,61,17,35,39,58,57,32,28,51,52,58,0
2020년12월_여_100세 이상,23,8,1,1,1,0,2,1,1,2,0,4,1,0,1,0
