카테고리,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2021년03월_계_총인구수,"42,249","6,336","4,444","5,980","13,417","3,889","3,514","2,601","2,068"
2021년03월_계_연령구간인구수,"42,249","6,336","4,444","5,980","13,417","3,889","3,514","2,601","2,068"
2021년03월_계_0~9세,"2,495",461,180,381,"1,080",152,135,66,40
2021년03월_계_10~19세,"3,764",562,303,500,"1,591",261,242,216,89
2021년03월_계_20~29세,"3,621",619,346,406,"1,394",275,292,155,134
2021년03월_계_30~39세,"3,629",563,280,534,"1,449",279,257,144,123
2021년03월_계_40~49세,"6,325",907,612,912,"2,564",490,388,267,185
2021년03월_계_50~59세,"7,246","1,108",780,952,"2,170",740,709,420,367
2021년03월_계_60~69세,"7,801","1,116","1,030","1,116","1,778",928,741,604,488
2021년03월_계_70~79세,"4,886",682,625,770,950,521,460,475,403
2021년03월_계_80~89세,"2,168",273,245,352,388,210,253,234,213
2021년03월_계_90~99세,291,43,43,50,51,28,30,20,26
2021년03월_계_100세 이상,23,2,0,7,2,5,7,0,0
2021년03월_남_총인구수,"21,398","3,157","2,270","3,050","6,797","1,948","1,728","1,373","1,075"
2021년03월_남_연령구간인구수,"21,398","3,157","2,270","3,050","6,797","1,948","1,728","1,373","1,075"
2021년03월_남_0~9세,"1,308",244,90,213,552,78,69,41,21
2021년03월_남_10~19세,"1,959",293,162,255,824,113,113,151,48
2021년03월_남_20~29세,"2,085",371,205,245,796,145,160,86,77
2021년03월_남_30~39세,"1,923",302,156,270,735,150,151,81,78
2021년03월_남_40~49세,"3,358",468,336,516,"1,295",272,202,163,106
2021년03월_남_50~59세,"3,880",537,430,548,"1,152",390,365,248,210
2021년03월_남_60~69세,"3,846",530,522,517,868,466,384,306,253
2021년03월_남_70~79세,"2,174",302,266,338,434,235,202,209,188
2021년03월_남_80~89세,790,98,94,131,132,92,76,83,84
2021년03월_남_90~99세,66,11,9,14,8,5,4,5,10
2021년03월_남_100세 이상,9,1,0,3,1,2,2,0,0
2021년03월_여_총인구수,"20,851","3,179","2,174","2,930","6,620","1,941","1,786","1,228",993
2021년03월_여_연령구간인구수,"20,851","3,179","2,174","2,930","6,620","1,941","1,786","1,228",993
2021년03월_여_0~9세,"1,187",217,90,168,528,74,66,25,19
2021년03월_여_10~19세,"1,805",269,141,245,767,148,129,65,41
2021년03월_여_20~29세,"1,536",248,141,161,598,130,132,69,57
2021년03월_여_30~39세,"1,706",261,124,264,714,129,106,63,45
2021년03월_여_40~49세,"2,967",439,276,396,"1,269",218,186,104,79
2021년03월_여_50~59세,"3,366",571,350,404,"1,018",350,344,172,157
2021년03월_여_60~69세,"3,955",586,508,599,910,462,357,298,235
2021년03월_여_70~79세,"2,712",380,359,432,516,286,258,266,215
2021년03월_여_80~89세,"1,378",175,151,221,256,118,177,151,129
2021년03월_여_90~99세,225,32,34,36,43,23,26,15,16
2021년03월_여_100세 이상,14,1,0,4,1,3,5,0,0
