카테고리,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2020년04월_계_총인구수,"83,391","2,717","2,543","2,578","3,713","3,898","1,370","2,594","1,783","1,867","2,709","4,999","2,243","1,908","4,680","1,371","11,313","12,868","11,651","6,586"
2020년04월_계_연령구간인구수,"83,391","2,717","2,543","2,578","3,713","3,898","1,370","2,594","1,783","1,867","2,709","4,999","2,243","1,908","4,680","1,371","11,313","12,868","11,651","6,586"
2020년04월_계_0~9세,"4,554",107,68,70,105,133,50,81,56,50,43,187,57,46,152,45,796,965,"1,086",457
2020년04월_계_10~19세,"6,392",132,113,126,170,227,65,135,79,80,108,315,97,78,209,66,"1,043","1,382","1,455",512
2020년04월_계_20~29세,"7,355",173,128,171,288,285,97,195,95,114,135,417,133,142,344,89,"1,314","1,372","1,279",584
2020년04월_계_30~39세,"6,927",187,150,165,233,269,94,172,106,113,158,343,140,100,288,80,"1,157","1,280","1,247",645
2020년04월_계_40~49세,"10,277",262,221,258,360,415,110,232,182,203,245,573,193,186,451,149,"1,610","1,909","1,943",775
2020년04월_계_50~59세,"14,135",451,391,450,631,717,212,465,267,291,423,944,358,357,905,218,"1,923","2,170","1,851","1,111"
2020년04월_계_60~69세,"14,214",634,582,546,776,747,285,550,377,386,584,975,455,385,939,263,"1,649","1,668","1,358","1,055"
2020년04월_계_70~79세,"11,157",411,480,467,641,633,247,399,338,356,563,759,431,345,790,279,"1,079","1,257",852,830
2020년04월_계_80~89세,"7,197",310,360,274,419,405,186,316,242,229,378,427,339,237,512,157,628,761,499,518
2020년04월_계_90~99세,"1,117",49,46,44,85,67,22,48,39,42,71,57,39,31,80,25,106,103,80,83
2020년04월_계_100세 이상,66,1,4,7,5,0,2,1,2,3,1,2,1,1,10,0,8,1,1,16
2020년04월_남_총인구수,"41,337","1,377","1,273","1,343","1,851","1,936",655,"1,302",892,942,"1,300","2,553","1,090",971,"2,350",714,"5,543","6,314","5,646","3,285"
2020년04월_남_연령구간인구수,"41,337","1,377","1,273","1,343","1,851","1,936",655,"1,302",892,942,"1,300","2,553","1,090",971,"2,350",714,"5,543","6,314","5,646","3,285"
2020년04월_남_0~9세,"2,350",65,38,39,47,69,27,40,34,24,23,97,33,24,79,24,396,517,536,238
2020년04월_남_10~19세,"3,292",74,68,70,89,107,38,63,42,45,53,171,48,47,119,31,504,723,734,266
2020년04월_남_20~29세,"4,073",105,81,99,161,150,55,114,59,65,73,228,74,75,198,55,700,755,691,335
2020년04월_남_30~39세,"3,707",121,84,104,133,154,56,98,63,67,101,194,87,61,165,50,595,652,607,315
2020년04월_남_40~49세,"5,807",159,145,172,241,256,75,145,117,135,158,349,140,129,279,108,840,968,951,440
2020년04월_남_50~59세,"7,662",240,227,276,337,398,114,258,143,167,247,529,201,203,507,130,984,"1,098",989,614
2020년04월_남_60~69세,"7,091",335,300,274,405,378,133,295,188,204,292,497,212,199,486,134,782,798,648,531
2020년04월_남_70~79세,"4,830",182,216,216,292,279,95,177,148,155,223,337,175,158,330,116,495,521,347,368
2020년04월_남_80~89세,"2,256",86,105,84,118,121,55,98,88,70,121,135,114,65,161,59,222,259,131,164
2020년04월_남_90~99세,257,10,8,8,26,24,7,14,9,10,8,16,6,10,26,7,21,23,12,12
2020년04월_남_100세 이상,12,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,4,0,0,2
2020년04월_여_총인구수,"42,054","1,340","1,270","1,235","1,862","1,962",715,"1,292",891,925,"1,409","2,446","1,153",937,"2,330",657,"5,770","6,554","6,005","3,301"
2020년04월_여_연령구간인구수,"42,054","1,340","1,270","1,235","1,862","1,962",715,"1,292",891,925,"1,409","2,446","1,153",937,"2,330",657,"5,770","6,554","6,005","3,301"
2020년04월_여_0~9세,"2,204",42,30,31,58,64,23,41,22,26,20,90,24,22,73,21,400,448,550,219
2020년04월_여_10~19세,"3,100",58,45,56,81,120,27,72,37,35,55,144,49,31,90,35,539,659,721,246
2020년04월_여_20~29세,"3,282",68,47,72,127,135,42,81,36,49,62,189,59,67,146,34,614,617,588,249
2020년04월_여_30~39세,"3,220",66,66,61,100,115,38,74,43,46,57,149,53,39,123,30,562,628,640,330
2020년04월_여_40~49세,"4,470",103,76,86,119,159,35,87,65,68,87,224,53,57,172,41,770,941,992,335
2020년04월_여_50~59세,"6,473",211,164,174,294,319,98,207,124,124,176,415,157,154,398,88,939,"1,072",862,497
2020년04월_여_60~69세,"7,123",299,282,272,371,369,152,255,189,182,292,478,243,186,453,129,867,870,710,524
2020년04월_여_70~79세,"6,327",229,264,251,349,354,152,222,190,201,340,422,256,187,460,163,584,736,505,462
2020년04월_여_80~89세,"4,941",224,255,190,301,284,131,218,154,159,257,292,225,172,351,98,406,502,368,354
2020년04월_여_90~99세,860,39,38,36,59,43,15,34,30,32,63,41,33,21,54,18,85,80,68,71
2020년04월_여_100세 이상,54,1,3,6,3,0,2,1,1,3,0,2,1,1,10,0,4,1,1,14
