카테고리,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020년07월_계_총인구수,"35,097","6,882","1,442","1,070","2,054","2,935","1,847","4,178","5,636","5,777","1,200","2,076"
2020년07월_계_연령구간인구수,"35,097","6,882","1,442","1,070","2,054","2,935","1,847","4,178","5,636","5,777","1,200","2,076"
2020년07월_계_0~9세,"1,418",420,48,39,54,91,39,140,174,335,39,39
2020년07월_계_10~19세,"2,142",532,45,52,97,163,84,287,210,517,46,109
2020년07월_계_20~29세,"2,492",635,79,38,98,176,107,320,368,522,55,94
2020년07월_계_30~39세,"2,255",655,59,46,96,196,77,224,323,444,60,75
2020년07월_계_40~49세,"3,561",832,112,96,138,282,156,478,518,672,99,178
2020년07월_계_50~59세,"6,671","1,184",238,172,331,562,418,896,"1,200","1,114",180,376
2020년07월_계_60~69세,"7,062","1,129",339,200,433,560,411,871,"1,298","1,058",303,460
2020년07월_계_70~79세,"5,333",857,262,209,445,513,338,576,909,588,237,399
2020년07월_계_80~89세,"3,620",542,230,192,313,332,189,336,562,466,148,310
2020년07월_계_90~99세,524,92,30,26,46,58,27,48,70,59,33,35
2020년07월_계_100세 이상,19,4,0,0,3,2,1,2,4,2,0,1
2020년07월_남_총인구수,"17,216","3,334",706,512,985,"1,441",913,"2,067","2,813","2,849",574,"1,022"
2020년07월_남_연령구간인구수,"17,216","3,334",706,512,985,"1,441",913,"2,067","2,813","2,849",574,"1,022"
2020년07월_남_0~9세,746,218,26,19,37,47,24,68,106,166,18,17
2020년07월_남_10~19세,"1,157",273,28,33,54,91,50,160,117,267,23,61
2020년07월_남_20~29세,"1,422",370,45,15,60,95,63,169,208,304,36,57
2020년07월_남_30~39세,"1,224",334,38,25,57,113,49,114,181,238,33,42
2020년07월_남_40~49세,"1,978",431,64,60,95,162,84,250,310,347,61,114
2020년07월_남_50~59세,"3,576",620,144,104,185,301,217,484,624,564,112,221
2020년07월_남_60~69세,"3,639",555,175,107,223,294,214,428,676,568,156,243
2020년07월_남_70~79세,"2,307",366,115,82,173,218,146,261,431,248,91,176
2020년07월_남_80~89세,"1,056",148,60,64,93,105,60,120,151,136,37,82
2020년07월_남_90~99세,109,19,11,3,7,15,6,12,9,11,7,9
2020년07월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2020년07월_여_총인구수,"17,881","3,548",736,558,"1,069","1,494",934,"2,111","2,823","2,928",626,"1,054"
2020년07월_여_연령구간인구수,"17,881","3,548",736,558,"1,069","1,494",934,"2,111","2,823","2,928",626,"1,054"
2020년07월_여_0~9세,672,202,22,20,17,44,15,72,68,169,21,22
2020년07월_여_10~19세,985,259,17,19,43,72,34,127,93,250,23,48
2020년07월_여_20~29세,"1,070",265,34,23,38,81,44,151,160,218,19,37
2020년07월_여_30~39세,"1,031",321,21,21,39,83,28,110,142,206,27,33
2020년07월_여_40~49세,"1,583",401,48,36,43,120,72,228,208,325,38,64
2020년07월_여_50~59세,"3,095",564,94,68,146,261,201,412,576,550,68,155
2020년07월_여_60~69세,"3,423",574,164,93,210,266,197,443,622,490,147,217
2020년07월_여_70~79세,"3,026",491,147,127,272,295,192,315,478,340,146,223
2020년07월_여_80~89세,"2,564",394,170,128,220,227,129,216,411,330,111,228
2020년07월_여_90~99세,415,73,19,23,39,43,21,36,61,48,26,26
2020년07월_여_100세 이상,17,4,0,0,2,2,1,1,4,2,0,1
