,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2020년06월_계_총인구수,"91,841","14,104","26,081","7,189","4,486","14,505","6,204","5,845","4,753","1,924","1,950","2,747","1,081",972
2020년06월_계_연령구간인구수,"91,841","14,104","26,081","7,189","4,486","14,505","6,204","5,845","4,753","1,924","1,950","2,747","1,081",972
2020년06월_계_0~9세,"7,246",725,"3,103",414,319,"1,742",246,203,236,65,55,76,39,23
2020년06월_계_10~19세,"8,355","1,220","3,343",535,402,"1,354",336,395,285,124,64,214,41,42
2020년06월_계_20~29세,"8,960","1,628","2,637",721,399,"1,453",579,559,405,126,106,223,78,46
2020년06월_계_30~39세,"9,742","1,200","3,568",614,390,"2,354",443,374,362,111,84,132,57,53
2020년06월_계_40~49세,"13,617","2,081","4,701",962,660,"2,521",625,614,560,206,198,312,97,80
2020년06월_계_50~59세,"15,372","2,453","3,605","1,320",801,"2,171","1,263","1,234",888,333,394,475,262,173
2020년06월_계_60~69세,"13,464","2,255","2,503","1,244",721,"1,500","1,311","1,207",861,383,442,546,254,237
2020년06월_계_70~79세,"9,057","1,489","1,617",845,509,899,841,752,674,322,362,417,148,182
2020년06월_계_80~89세,"5,223",924,856,460,234,452,493,440,421,206,216,301,94,126
2020년06월_계_90~99세,760,123,142,67,45,55,61,63,60,45,29,50,11,9
2020년06월_계_100세 이상,45,6,6,7,6,4,6,4,1,3,0,1,0,1
2020년06월_남_총인구수,"47,126","7,250","13,565","3,722","2,290","7,275","3,201","2,932","2,448",971,970,"1,454",557,491
2020년06월_남_연령구간인구수,"47,126","7,250","13,565","3,722","2,290","7,275","3,201","2,932","2,448",971,970,"1,454",557,491
2020년06월_남_0~9세,"3,662",350,"1,609",198,166,886,118,87,119,36,25,39,21,8
2020년06월_남_10~19세,"4,381",623,"1,758",295,205,672,189,204,174,61,41,115,20,24
2020년06월_남_20~29세,"4,974",920,"1,508",423,230,715,319,287,241,71,55,129,44,32
2020년06월_남_30~39세,"4,981",671,"1,754",330,195,"1,147",248,189,201,56,56,78,27,29
2020년06월_남_40~49세,"7,574","1,150","2,594",544,348,"1,373",367,331,327,116,120,192,60,52
2020년06월_남_50~59세,"8,552","1,404","2,029",756,450,"1,135",690,667,494,191,209,296,136,95
2020년06월_남_60~69세,"6,953","1,139","1,267",619,354,769,689,660,450,206,232,295,149,124
2020년06월_남_70~79세,"4,139",663,738,380,254,411,402,351,291,156,156,191,69,77
2020년06월_남_80~89세,"1,740",301,276,154,82,152,168,143,139,67,71,110,29,48
2020년06월_남_90~99세,160,27,30,22,6,15,9,13,11,9,5,9,2,2
2020년06월_남_100세 이상,10,2,2,1,0,0,2,0,1,2,0,0,0,0
2020년06월_여_총인구수,"44,715","6,854","12,516","3,467","2,196","7,230","3,003","2,913","2,305",953,980,"1,293",524,481
2020년06월_여_연령구간인구수,"44,715","6,854","12,516","3,467","2,196","7,230","3,003","2,913","2,305",953,980,"1,293",524,481
2020년06월_여_0~9세,"3,584",375,"1,494",216,153,856,128,116,117,29,30,37,18,15
2020년06월_여_10~19세,"3,974",597,"1,585",240,197,682,147,191,111,63,23,99,21,18
2020년06월_여_20~29세,"3,986",708,"1,129",298,169,738,260,272,164,55,51,94,34,14
2020년06월_여_30~39세,"4,761",529,"1,814",284,195,"1,207",195,185,161,55,28,54,30,24
2020년06월_여_40~49세,"6,043",931,"2,107",418,312,"1,148",258,283,233,90,78,120,37,28
2020년06월_여_50~59세,"6,820","1,049","1,576",564,351,"1,036",573,567,394,142,185,179,126,78
2020년06월_여_60~69세,"6,511","1,116","1,236",625,367,731,622,547,411,177,210,251,105,113
2020년06월_여_70~79세,"4,918",826,879,465,255,488,439,401,383,166,206,226,79,105
2020년06월_여_80~89세,"3,483",623,580,306,152,300,325,297,282,139,145,191,65,78
2020년06월_여_90~99세,600,96,112,45,39,40,52,50,49,36,24,41,9,7
2020년06월_여_100세 이상,35,4,4,6,6,4,4,4,0,1,0,1,0,1
