카테고리,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2021년02월_계_총인구수,"92,733","16,894","19,769","2,886","3,046","13,082","15,646","6,920","4,517","9,973"
2021년02월_계_연령구간인구수,"92,733","16,894","19,769","2,886","3,046","13,082","15,646","6,920","4,517","9,973"
2021년02월_계_0~9세,"5,756",892,"1,249",50,62,"1,555","1,047",234,171,496
2021년02월_계_10~19세,"7,574","1,369","1,972",114,132,"1,036","1,558",424,225,744
2021년02월_계_20~29세,"9,368","1,710","2,194",149,165,"1,397","1,799",610,335,"1,009"
2021년02월_계_30~39세,"9,481","1,492","1,921",170,171,"2,360","1,662",555,307,843
2021년02월_계_40~49세,"13,614","2,287","3,281",217,221,"2,194","2,811",871,473,"1,259"
2021년02월_계_50~59세,"17,640","3,207","3,918",524,535,"1,824","3,238","1,544",913,"1,937"
2021년02월_계_60~69세,"15,530","3,146","2,868",707,808,"1,529","2,042","1,438","1,049","1,943"
2021년02월_계_70~79세,"8,247","1,743","1,437",535,530,715,898,737,589,"1,063"
2021년02월_계_80~89세,"4,720",898,806,363,357,380,516,438,385,577
2021년02월_계_90~99세,743,143,108,54,61,75,75,65,65,97
2021년02월_계_100세 이상,60,7,15,3,4,17,0,4,5,5
2021년02월_남_총인구수,"49,129","8,640","10,540","1,472","1,586","6,971","8,545","3,844","2,448","5,083"
2021년02월_남_연령구간인구수,"49,129","8,640","10,540","1,472","1,586","6,971","8,545","3,844","2,448","5,083"
2021년02월_남_0~9세,"3,002",465,650,26,27,819,545,140,89,241
2021년02월_남_10~19세,"3,918",688,"1,058",63,84,519,811,227,114,354
2021년02월_남_20~29세,"5,472",979,"1,322",86,96,735,"1,086",375,220,573
2021년02월_남_30~39세,"5,322",819,"1,074",110,96,"1,268",959,343,192,461
2021년02월_남_40~49세,"7,636","1,239","1,796",140,150,"1,218","1,547",555,290,701
2021년02월_남_50~59세,"9,828","1,698","2,220",287,291,"1,004","1,876",890,530,"1,032"
2021년02월_남_60~69세,"8,229","1,607","1,472",372,448,874,"1,112",798,557,989
2021년02월_남_70~79세,"3,902",803,631,245,264,355,422,365,299,518
2021년02월_남_80~89세,"1,613",300,283,133,115,148,166,137,140,191
2021년02월_남_90~99세,180,39,30,10,14,17,21,12,15,22
2021년02월_남_100세 이상,27,3,4,0,1,14,0,2,2,1
2021년02월_여_총인구수,"43,604","8,254","9,229","1,414","1,460","6,111","7,101","3,076","2,069","4,890"
2021년02월_여_연령구간인구수,"43,604","8,254","9,229","1,414","1,460","6,111","7,101","3,076","2,069","4,890"
2021년02월_여_0~9세,"2,754",427,599,24,35,736,502,94,82,255
2021년02월_여_10~19세,"3,656",681,914,51,48,517,747,197,111,390
2021년02월_여_20~29세,"3,896",731,872,63,69,662,713,235,115,436
2021년02월_여_30~39세,"4,159",673,847,60,75,"1,092",703,212,115,382
2021년02월_여_40~49세,"5,978","1,048","1,485",77,71,976,"1,264",316,183,558
2021년02월_여_50~59세,"7,812","1,509","1,698",237,244,820,"1,362",654,383,905
2021년02월_여_60~69세,"7,301","1,539","1,396",335,360,655,930,640,492,954
2021년02월_여_70~79세,"4,345",940,806,290,266,360,476,372,290,545
2021년02월_여_80~89세,"3,107",598,523,230,242,232,350,301,245,386
2021년02월_여_90~99세,563,104,78,44,47,58,54,53,50,75
2021년02월_여_100세 이상,33,4,11,3,3,3,0,2,3,4
