,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2021년06월_계_총인구수,"282,511","7,589","19,698","1,454","2,566","1,073","3,756","2,509",949,"17,359","3,452","3,540","2,749","2,156","8,654","9,486","11,685","14,849","21,160","4,506","11,969","4,410","35,096","49,745","19,074","23,027"
2021년06월_계_연령구간인구수,"282,511","7,589","19,698","1,454","2,566","1,073","3,756","2,509",949,"17,359","3,452","3,540","2,749","2,156","8,654","9,486","11,685","14,849","21,160","4,506","11,969","4,410","35,096","49,745","19,074","23,027"
2021년06월_계_0~9세,"21,109",320,"2,094",26,100,23,102,64,13,"1,400",79,98,83,77,916,741,493,"1,294","1,763",333,406,144,"2,388","4,354","1,527","2,271"
2021년06월_계_10~19세,"26,624",450,"2,459",58,129,29,182,141,22,"1,716",154,174,118,115,657,767,846,"1,415","1,925",374,665,228,"4,293","5,850","1,570","2,287"
2021년06월_계_20~29세,"37,309",731,"1,964",119,252,42,225,177,34,"2,161",230,888,348,257,"1,014","1,213","1,835","2,170","2,634",537,"2,726",963,"5,099","6,414","2,415","2,861"
2021년06월_계_30~39세,"33,944",651,"2,338",93,184,53,221,115,36,"2,325",241,396,293,192,"1,414","1,192","1,355","2,104","2,803",474,"1,325",584,"3,673","6,181","2,604","3,097"
2021년06월_계_40~49세,"42,006",867,"3,610",112,245,82,334,209,57,"2,855",356,380,346,243,"1,172","1,343","1,490","2,145","3,085",674,"1,382",469,"5,772","8,357","2,812","3,609"
2021년06월_계_50~59세,"46,509","1,392","3,029",241,498,207,671,453,189,"2,792",653,496,473,377,"1,202","1,630","1,934","2,347","3,431",750,"1,785",659,"6,242","8,369","3,185","3,504"
2021년06월_계_60~69세,"40,172","1,537","2,555",422,623,289,973,683,301,"2,361",923,513,498,393,"1,126","1,350","1,947","1,766","3,007",700,"1,774",675,"4,165","5,902","2,815","2,874"
2021년06월_계_70~79세,"20,706",919,994,203,280,195,573,379,189,"1,027",492,365,334,291,676,766,"1,077",947,"1,505",388,"1,148",398,"2,096","2,557","1,367","1,540"
2021년06월_계_80~89세,"12,174",630,536,166,226,131,397,243,96,617,276,204,212,175,416,412,611,564,869,241,673,251,"1,204","1,525",651,848
2021년06월_계_90~99세,"1,892",90,116,13,29,21,73,45,12,100,44,24,44,34,57,68,96,92,135,34,83,38,159,232,119,134
2021년06월_계_100세 이상,66,2,3,1,0,1,5,0,0,5,4,2,0,2,4,4,1,5,3,1,2,1,5,4,9,2
2021년06월_남_총인구수,"139,505","3,802","9,754",790,"1,325",585,"1,925","1,242",521,"8,672","1,825","1,816","1,332","1,046","4,387","4,625","5,815","7,081","10,082","2,243","6,358","2,229","17,169","23,975","9,321","11,585"
2021년06월_남_연령구간인구수,"139,505","3,802","9,754",790,"1,325",585,"1,925","1,242",521,"8,672","1,825","1,816","1,332","1,046","4,387","4,625","5,815","7,081","10,082","2,243","6,358","2,229","17,169","23,975","9,321","11,585"
2021년06월_남_0~9세,"10,856",157,"1,077",10,54,17,44,33,7,741,45,60,44,38,488,363,257,657,895,162,206,77,"1,199","2,229",785,"1,211"
2021년06월_남_10~19세,"13,844",235,"1,265",38,57,15,111,80,10,892,85,94,64,63,370,408,435,731,973,211,341,119,"2,190","3,021",813,"1,223"
2021년06월_남_20~29세,"19,904",406,"1,067",68,153,27,126,107,20,"1,107",124,482,175,151,521,636,970,"1,096","1,343",290,"1,633",480,"2,671","3,356","1,269","1,626"
2021년06월_남_30~39세,"17,356",350,"1,100",56,101,31,115,65,23,"1,216",142,220,157,100,746,619,760,"1,053","1,434",250,787,319,"1,882","2,997","1,315","1,518"
2021년06월_남_40~49세,"20,767",463,"1,782",75,138,48,194,103,34,"1,453",212,206,196,125,609,681,774,"1,014","1,477",347,783,271,"2,719","3,872","1,379","1,812"
2021년06월_남_50~59세,"23,383",737,"1,546",140,282,130,373,223,104,"1,414",373,259,250,205,680,800,974,"1,107","1,621",372,999,346,"3,136","4,020","1,499","1,793"
2021년06월_남_60~69세,"19,458",789,"1,261",242,313,160,531,353,187,"1,164",474,237,235,188,552,641,928,812,"1,391",331,864,325,"2,009","2,791","1,313","1,367"
2021년06월_남_70~79세,"9,101",422,447,96,141,98,291,178,91,438,254,182,136,112,251,306,475,395,639,165,477,172,877,"1,086",678,694
2021년06월_남_80~89세,"4,355",215,188,61,80,54,127,92,42,219,101,67,66,58,144,150,221,186,276,104,254,110,447,543,239,311
2021년06월_남_90~99세,462,27,21,4,6,5,13,8,3,27,13,8,9,5,24,19,21,30,31,11,12,10,38,59,28,30
2021년06월_남_100세 이상,19,1,0,0,0,0,0,0,0,1,2,1,0,1,2,2,0,0,2,0,2,0,1,1,3,0
2021년06월_여_총인구수,"143,006","3,787","9,944",664,"1,241",488,"1,831","1,267",428,"8,687","1,627","1,724","1,417","1,110","4,267","4,861","5,870","7,768","11,078","2,263","5,611","2,181","17,927","25,770","9,753","11,442"
2021년06월_여_연령구간인구수,"143,006","3,787","9,944",664,"1,241",488,"1,831","1,267",428,"8,687","1,627","1,724","1,417","1,110","4,267","4,861","5,870","7,768","11,078","2,263","5,611","2,181","17,927","25,770","9,753","11,442"
2021년06월_여_0~9세,"10,253",163,"1,017",16,46,6,58,31,6,659,34,38,39,39,428,378,236,637,868,171,200,67,"1,189","2,125",742,"1,060"
2021년06월_여_10~19세,"12,780",215,"1,194",20,72,14,71,61,12,824,69,80,54,52,287,359,411,684,952,163,324,109,"2,103","2,829",757,"1,064"
2021년06월_여_20~29세,"17,405",325,897,51,99,15,99,70,14,"1,054",106,406,173,106,493,577,865,"1,074","1,291",247,"1,093",483,"2,428","3,058","1,146","1,235"
2021년06월_여_30~39세,"16,588",301,"1,238",37,83,22,106,50,13,"1,109",99,176,136,92,668,573,595,"1,051","1,369",224,538,265,"1,791","3,184","1,289","1,579"
2021년06월_여_40~49세,"21,239",404,"1,828",37,107,34,140,106,23,"1,402",144,174,150,118,563,662,716,"1,131","1,608",327,599,198,"3,053","4,485","1,433","1,797"
2021년06월_여_50~59세,"23,126",655,"1,483",101,216,77,298,230,85,"1,378",280,237,223,172,522,830,960,"1,240","1,810",378,786,313,"3,106","4,349","1,686","1,711"
2021년06월_여_60~69세,"20,714",748,"1,294",180,310,129,442,330,114,"1,197",449,276,263,205,574,709,"1,019",954,"1,616",369,910,350,"2,156","3,111","1,502","1,507"
2021년06월_여_70~79세,"11,605",497,547,107,139,97,282,201,98,589,238,183,198,179,425,460,602,552,866,223,671,226,"1,219","1,471",689,846
2021년06월_여_80~89세,"7,819",415,348,105,146,77,270,151,54,398,175,137,146,117,272,262,390,378,593,137,419,141,757,982,412,537
2021년06월_여_90~99세,"1,430",63,95,9,23,16,60,37,9,73,31,16,35,29,33,49,75,62,104,23,71,28,121,173,91,104
2021년06월_여_100세 이상,47,1,3,1,0,1,5,0,0,4,2,1,0,1,2,2,1,5,1,1,0,1,4,3,6,2
