,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2021년05월_계_총인구수,"482,578","27,389","47,571","29,052","9,788","5,484","8,192","61,588","39,090","22,806","62,056","41,337","43,571","34,926","49,728"
2021년05월_계_연령구간인구수,"482,578","27,389","47,571","29,052","9,788","5,484","8,192","61,588","39,090","22,806","62,056","41,337","43,571","34,926","49,728"
2021년05월_계_0~9세,"55,201","1,653","6,456","2,302",322,139,257,"5,987","4,841","1,532","6,678","5,585","6,499","5,468","7,482"
2021년05월_계_10~19세,"48,741","2,280","4,533","2,500",525,247,443,"6,362","5,548","2,069","6,960","5,069","3,839","3,043","5,323"
2021년05월_계_20~29세,"53,055","3,340","4,392","2,978",901,517,823,"7,801","3,957","3,170","7,824","3,998","5,655","3,101","4,598"
2021년05월_계_30~39세,"76,518","2,982","8,711","3,836",862,404,661,"8,280","5,500","2,827","9,131","6,658","10,079","7,658","8,929"
2021년05월_계_40~49세,"90,606","4,031","9,102","4,837","1,250",597,857,"10,758","8,381","3,764","11,640","9,127","8,433","6,832","10,997"
2021년05월_계_50~59세,"68,056","5,262","6,012","5,015","2,127","1,137","1,672","10,352","5,110","4,235","8,973","4,901","4,077","3,460","5,723"
2021년05월_계_60~69세,"51,698","4,451","5,159","4,344","2,131","1,295","1,804","6,878","3,224","2,927","6,066","3,389","3,032","3,045","3,953"
2021년05월_계_70~79세,"26,155","2,155","2,220","2,156","1,052",704,"1,040","3,385","1,764","1,502","3,265","1,838","1,421","1,703","1,950"
2021년05월_계_80~89세,"10,904","1,065",837,925,527,363,552,"1,580",673,686,"1,352",677,467,529,671
2021년05월_계_90~99세,"1,589",164,140,154,89,78,79,200,90,88,160,92,67,86,102
2021년05월_계_100세 이상,55,6,9,5,2,3,4,5,2,6,7,3,2,1,0
2021년05월_남_총인구수,"241,645","14,622","23,741","15,340","5,747","3,017","4,459","30,334","19,047","11,448","30,293","20,262","21,700","17,290","24,345"
2021년05월_남_연령구간인구수,"241,645","14,622","23,741","15,340","5,747","3,017","4,459","30,334","19,047","11,448","30,293","20,262","21,700","17,290","24,345"
2021년05월_남_0~9세,"28,131",851,"3,364","1,156",176,63,133,"2,996","2,409",818,"3,391","2,856","3,275","2,807","3,836"
2021년05월_남_10~19세,"24,853","1,229","2,353","1,292",289,121,244,"3,242","2,818","1,089","3,562","2,470","1,899","1,514","2,731"
2021년05월_남_20~29세,"27,326","2,009","2,195","1,624",566,315,501,"4,148","1,993","1,679","3,776","2,045","2,721","1,529","2,225"
2021년05월_남_30~39세,"37,568","1,687","4,158","2,135",559,239,394,"3,994","2,536","1,469","4,370","3,140","5,065","3,782","4,040"
2021년05월_남_40~49세,"47,088","2,254","4,719","2,739",791,370,527,"5,281","4,126","1,921","5,754","4,664","4,558","3,668","5,716"
2021년05월_남_50~59세,"34,770","2,848","2,996","2,757","1,359",656,962,"5,136","2,587","2,104","4,451","2,470","1,978","1,648","2,818"
2021년05월_남_60~69세,"25,171","2,340","2,477","2,247","1,238",715,976,"3,406","1,474","1,418","2,863","1,537","1,368","1,330","1,782"
2021년05월_남_70~79세,"12,227",983,"1,129","1,016",538,385,492,"1,489",813,679,"1,545",816,647,790,905
2021년05월_남_80~89세,"4,124",374,318,340,212,137,209,588,266,254,539,248,174,199,266
2021년05월_남_90~99세,375,45,30,32,19,16,21,53,24,17,40,15,14,23,26
2021년05월_남_100세 이상,12,2,2,2,0,0,0,1,1,0,2,1,1,0,0
2021년05월_여_총인구수,"240,933","12,767","23,830","13,712","4,041","2,467","3,733","31,254","20,043","11,358","31,763","21,075","21,871","17,636","25,383"
2021년05월_여_연령구간인구수,"240,933","12,767","23,830","13,712","4,041","2,467","3,733","31,254","20,043","11,358","31,763","21,075","21,871","17,636","25,383"
2021년05월_여_0~9세,"27,070",802,"3,092","1,146",146,76,124,"2,991","2,432",714,"3,287","2,729","3,224","2,661","3,646"
2021년05월_여_10~19세,"23,888","1,051","2,180","1,208",236,126,199,"3,120","2,730",980,"3,398","2,599","1,940","1,529","2,592"
2021년05월_여_20~29세,"25,729","1,331","2,197","1,354",335,202,322,"3,653","1,964","1,491","4,048","1,953","2,934","1,572","2,373"
2021년05월_여_30~39세,"38,950","1,295","4,553","1,701",303,165,267,"4,286","2,964","1,358","4,761","3,518","5,014","3,876","4,889"
2021년05월_여_40~49세,"43,518","1,777","4,383","2,098",459,227,330,"5,477","4,255","1,843","5,886","4,463","3,875","3,164","5,281"
2021년05월_여_50~59세,"33,286","2,414","3,016","2,258",768,481,710,"5,216","2,523","2,131","4,522","2,431","2,099","1,812","2,905"
2021년05월_여_60~69세,"26,527","2,111","2,682","2,097",893,580,828,"3,472","1,750","1,509","3,203","1,852","1,664","1,715","2,171"
2021년05월_여_70~79세,"13,928","1,172","1,091","1,140",514,319,548,"1,896",951,823,"1,720","1,022",774,913,"1,045"
2021년05월_여_80~89세,"6,780",691,519,585,315,226,343,992,407,432,813,429,293,330,405
2021년05월_여_90~99세,"1,214",119,110,122,70,62,58,147,66,71,120,77,53,63,76
2021년05월_여_100세 이상,43,4,7,3,2,3,4,4,1,6,5,2,1,1,0
