카테고리,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2021년12월_계_총인구수,"48,631","17,987","3,629","4,277",761,"3,137","3,312","4,151","2,279","2,059",221,"2,436",969,"2,603",810
2021년12월_계_연령구간인구수,"48,631","17,987","3,629","4,277",761,"3,137","3,312","4,151","2,279","2,059",221,"2,436",969,"2,603",810
2021년12월_계_0~9세,"2,887","1,375",195,287,43,82,120,170,108,60,4,128,40,236,39
2021년12월_계_10~19세,"3,490","1,682",188,395,49,117,185,261,97,86,9,131,47,218,25
2021년12월_계_20~29세,"3,562","1,804",195,266,40,174,188,244,128,123,8,126,66,140,60
2021년12월_계_30~39세,"3,611","1,663",271,330,64,142,195,224,104,118,5,164,57,222,52
2021년12월_계_40~49세,"5,916","2,613",410,563,113,305,333,397,197,188,24,266,91,328,88
2021년12월_계_50~59세,"7,871","3,063",553,631,117,525,572,618,379,344,37,341,159,398,134
2021년12월_계_60~69세,"8,737","2,903",737,664,158,717,645,707,486,429,39,467,168,461,156
2021년12월_계_70~79세,"7,319","1,873",609,636,137,623,587,840,449,370,47,477,176,349,146
2021년12월_계_80~89세,"4,589",878,423,442,39,400,427,608,291,288,39,294,143,222,95
2021년12월_계_90~99세,633,128,48,62,1,51,59,79,39,52,8,41,22,29,14
2021년12월_계_100세 이상,16,5,0,1,0,1,1,3,1,1,1,1,0,0,1
2021년12월_남_총인구수,"24,475","9,059","1,835","2,137",418,"1,572","1,687","2,030","1,158","1,008",118,"1,211",482,"1,328",432
2021년12월_남_연령구간인구수,"24,475","9,059","1,835","2,137",418,"1,572","1,687","2,030","1,158","1,008",118,"1,211",482,"1,328",432
2021년12월_남_0~9세,"1,497",738,96,137,21,47,55,85,66,29,3,59,18,121,22
2021년12월_남_10~19세,"1,815",868,96,215,27,58,89,127,46,51,5,71,28,118,16
2021년12월_남_20~29세,"2,096","1,030",120,159,24,96,129,150,80,72,8,73,38,79,38
2021년12월_남_30~39세,"1,947",824,156,187,44,89,111,130,58,72,3,93,33,118,29
2021년12월_남_40~49세,"3,451","1,365",268,330,83,198,207,235,131,110,18,180,57,203,66
2021년12월_남_50~59세,"4,432","1,639",323,354,64,300,337,368,225,207,23,201,93,222,76
2021년12월_남_60~69세,"4,365","1,417",366,339,77,358,336,355,241,219,23,228,91,233,82
2021년12월_남_70~79세,"3,276",865,272,274,66,296,257,357,208,151,25,188,78,170,69
2021년12월_남_80~89세,"1,470",282,131,136,12,123,151,207,94,84,10,107,41,60,32
2021년12월_남_90~99세,124,31,7,6,0,7,15,16,9,12,0,10,5,4,2
2021년12월_남_100세 이상,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021년12월_여_총인구수,"24,156","8,928","1,794","2,140",343,"1,565","1,625","2,121","1,121","1,051",103,"1,225",487,"1,275",378
2021년12월_여_연령구간인구수,"24,156","8,928","1,794","2,140",343,"1,565","1,625","2,121","1,121","1,051",103,"1,225",487,"1,275",378
2021년12월_여_0~9세,"1,390",637,99,150,22,35,65,85,42,31,1,69,22,115,17
2021년12월_여_10~19세,"1,675",814,92,180,22,59,96,134,51,35,4,60,19,100,9
2021년12월_여_20~29세,"1,466",774,75,107,16,78,59,94,48,51,0,53,28,61,22
2021년12월_여_30~39세,"1,664",839,115,143,20,53,84,94,46,46,2,71,24,104,23
2021년12월_여_40~49세,"2,465","1,248",142,233,30,107,126,162,66,78,6,86,34,125,22
2021년12월_여_50~59세,"3,439","1,424",230,277,53,225,235,250,154,137,14,140,66,176,58
2021년12월_여_60~69세,"4,372","1,486",371,325,81,359,309,352,245,210,16,239,77,228,74
2021년12월_여_70~79세,"4,043","1,008",337,362,71,327,330,483,241,219,22,289,98,179,77
2021년12월_여_80~89세,"3,119",596,292,306,27,277,276,401,197,204,29,187,102,162,63
2021년12월_여_90~99세,509,97,41,56,1,44,44,63,30,40,8,31,17,25,12
2021년12월_여_100세 이상,14,5,0,1,0,1,1,3,1,0,1,0,0,0,1
