카테고리,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2020년07월_계_총인구수,"93,985","6,895","11,440","5,173","3,132","27,623","25,718","8,673","5,331"
2020년07월_계_연령구간인구수,"93,985","6,895","11,440","5,173","3,132","27,623","25,718","8,673","5,331"
2020년07월_계_0~9세,"6,534",483,754,146,167,"2,045","2,328",388,223
2020년07월_계_10~19세,"8,699",558,"1,193",226,200,"2,730","3,008",497,287
2020년07월_계_20~29세,"11,199",763,"1,270",499,351,"3,474","3,331",918,593
2020년07월_계_30~39세,"10,295",773,"1,123",454,300,"3,100","3,185",792,568
2020년07월_계_40~49세,"14,445",948,"1,847",605,397,"4,248","4,628","1,136",636
2020년07월_계_50~59세,"16,338","1,241","1,943","1,084",582,"4,860","3,986","1,612","1,030"
2020년07월_계_60~69세,"12,840","1,079","1,516","1,066",526,"3,640","2,461","1,603",949
2020년07월_계_70~79세,"8,778",659,"1,153",657,406,"2,306","1,828","1,109",660
2020년07월_계_80~89세,"4,187",347,575,339,178,"1,070",837,522,319
2020년07월_계_90~99세,589,41,59,74,23,138,122,75,57
2020년07월_계_100세 이상,81,3,7,23,2,12,4,21,9
2020년07월_남_총인구수,"46,904","3,413","5,646","2,679","1,478","13,649","12,695","4,511","2,833"
2020년07월_남_연령구간인구수,"46,904","3,413","5,646","2,679","1,478","13,649","12,695","4,511","2,833"
2020년07월_남_0~9세,"3,398",254,418,85,83,"1,024","1,209",198,127
2020년07월_남_10~19세,"4,366",262,604,120,87,"1,365","1,509",275,144
2020년07월_남_20~29세,"6,092",424,715,264,206,"1,880","1,724",525,354
2020년07월_남_30~39세,"5,318",393,555,267,153,"1,576","1,617",429,328
2020년07월_남_40~49세,"7,443",499,945,352,204,"2,115","2,302",653,373
2020년07월_남_50~59세,"8,629",638,"1,017",615,293,"2,507","2,098",878,583
2020년07월_남_60~69세,"6,262",531,704,560,250,"1,793","1,124",807,493
2020년07월_남_70~79세,"3,669",272,448,277,148,954,745,522,303
2020년07월_남_80~89세,"1,542",128,224,105,49,395,335,197,109
2020년07월_남_90~99세,167,12,14,29,5,37,31,23,16
2020년07월_남_100세 이상,18,0,2,5,0,3,1,4,3
2020년07월_여_총인구수,"47,081","3,482","5,794","2,494","1,654","13,974","13,023","4,162","2,498"
2020년07월_여_연령구간인구수,"47,081","3,482","5,794","2,494","1,654","13,974","13,023","4,162","2,498"
2020년07월_여_0~9세,"3,136",229,336,61,84,"1,021","1,119",190,96
2020년07월_여_10~19세,"4,333",296,589,106,113,"1,365","1,499",222,143
2020년07월_여_20~29세,"5,107",339,555,235,145,"1,594","1,607",393,239
2020년07월_여_30~39세,"4,977",380,568,187,147,"1,524","1,568",363,240
2020년07월_여_40~49세,"7,002",449,902,253,193,"2,133","2,326",483,263
2020년07월_여_50~59세,"7,709",603,926,469,289,"2,353","1,888",734,447
2020년07월_여_60~69세,"6,578",548,812,506,276,"1,847","1,337",796,456
2020년07월_여_70~79세,"5,109",387,705,380,258,"1,352","1,083",587,357
2020년07월_여_80~89세,"2,645",219,351,234,129,675,502,325,210
2020년07월_여_90~99세,422,29,45,45,18,101,91,52,41
2020년07월_여_100세 이상,63,3,5,18,2,9,3,17,6
