카테고리,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2020년06월_계_총인구수,"40,939","9,239","12,090","1,118","1,425","1,179","1,206","1,713",890,"3,813","2,826","1,278","3,061","1,101"
2020년06월_계_연령구간인구수,"40,939","9,239","12,090","1,118","1,425","1,179","1,206","1,713",890,"3,813","2,826","1,278","3,061","1,101"
2020년06월_계_0~9세,"1,837",684,551,32,44,30,45,69,19,125,66,57,90,25
2020년06월_계_10~19세,"2,665",853,861,51,59,53,67,82,50,183,129,74,166,37
2020년06월_계_20~29세,"3,061",992,854,57,92,64,66,108,45,256,144,96,200,87
2020년06월_계_30~39세,"2,650",847,792,56,78,60,55,79,29,217,160,95,132,50
2020년06월_계_40~49세,"4,287","1,254","1,310",89,114,97,112,141,88,349,251,132,272,78
2020년06월_계_50~59세,"6,809","1,539","1,980",172,245,181,196,262,164,585,485,213,602,185
2020년06월_계_60~69세,"7,521","1,347","2,259",226,280,214,203,341,177,776,588,253,650,207
2020년06월_계_70~79세,"6,674",996,"2,013",201,261,228,237,325,180,734,533,206,537,223
2020년06월_계_80~89세,"4,706",643,"1,266",201,222,220,201,268,118,510,398,136,352,171
2020년06월_계_90~99세,689,78,188,33,29,31,23,37,19,77,67,16,55,36
2020년06월_계_100세 이상,40,6,16,0,1,1,1,1,1,1,5,0,5,2
2020년06월_남_총인구수,"19,855","4,528","5,868",535,702,560,579,807,457,"1,820","1,359",609,"1,501",530
2020년06월_남_연령구간인구수,"19,855","4,528","5,868",535,702,560,579,807,457,"1,820","1,359",609,"1,501",530
2020년06월_남_0~9세,957,357,294,17,24,11,25,28,9,69,30,33,47,13
2020년06월_남_10~19세,"1,356",410,449,30,34,30,37,46,26,99,64,33,79,19
2020년06월_남_20~29세,"1,721",556,468,31,46,35,37,60,27,149,87,58,122,45
2020년06월_남_30~39세,"1,419",423,440,31,50,24,32,43,19,116,82,54,70,35
2020년06월_남_40~49세,"2,430",631,739,59,69,57,74,81,58,215,157,76,165,49
2020년06월_남_50~59세,"3,792",822,"1,101",101,146,113,115,139,108,338,300,96,312,101
2020년06월_남_60~69세,"3,756",661,"1,087",125,155,109,108,191,91,373,282,131,337,106
2020년06월_남_70~79세,"2,809",434,851,86,104,105,86,136,77,293,219,86,236,96
2020년06월_남_80~89세,"1,466",217,397,47,71,65,61,72,39,155,121,42,121,58
2020년06월_남_90~99세,143,17,37,8,3,11,4,11,3,13,16,0,12,8
2020년06월_남_100세 이상,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2020년06월_여_총인구수,"21,084","4,711","6,222",583,723,619,627,906,433,"1,993","1,467",669,"1,560",571
2020년06월_여_연령구간인구수,"21,084","4,711","6,222",583,723,619,627,906,433,"1,993","1,467",669,"1,560",571
2020년06월_여_0~9세,880,327,257,15,20,19,20,41,10,56,36,24,43,12
2020년06월_여_10~19세,"1,309",443,412,21,25,23,30,36,24,84,65,41,87,18
2020년06월_여_20~29세,"1,340",436,386,26,46,29,29,48,18,107,57,38,78,42
2020년06월_여_30~39세,"1,231",424,352,25,28,36,23,36,10,101,78,41,62,15
2020년06월_여_40~49세,"1,857",623,571,30,45,40,38,60,30,134,94,56,107,29
2020년06월_여_50~59세,"3,017",717,879,71,99,68,81,123,56,247,185,117,290,84
2020년06월_여_60~69세,"3,765",686,"1,172",101,125,105,95,150,86,403,306,122,313,101
2020년06월_여_70~79세,"3,865",562,"1,162",115,157,123,151,189,103,441,314,120,301,127
2020년06월_여_80~89세,"3,240",426,869,154,151,155,140,196,79,355,277,94,231,113
2020년06월_여_90~99세,546,61,151,25,26,20,19,26,16,64,51,16,43,28
2020년06월_여_100세 이상,34,6,11,0,1,1,1,1,1,1,4,0,5,2
