카테고리,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2021년04월_계_총인구수,"845,534","193,472","2,242","4,919","3,898","6,777","3,976","6,914","6,826","8,718","10,542","30,969","13,494","54,251","39,946","193,334","10,087","3,279","7,535","14,193","14,730","14,422","26,409","30,456","13,378","14,913","43,932","265,263","23,808","10,748","18,013","16,914","51,090","15,952","53,194","9,693","24,132","28,353","13,366","193,465","19,249","69,721","4,588","12,164","8,533","13,436","47,514","18,260"
2021년04월_계_연령구간인구수,"845,534","193,472","2,242","4,919","3,898","6,777","3,976","6,914","6,826","8,718","10,542","30,969","13,494","54,251","39,946","193,334","10,087","3,279","7,535","14,193","14,730","14,422","26,409","30,456","13,378","14,913","43,932","265,263","23,808","10,748","18,013","16,914","51,090","15,952","53,194","9,693","24,132","28,353","13,366","193,465","19,249","69,721","4,588","12,164","8,533","13,436","47,514","18,260"
2021년04월_계_0~9세,"73,119","16,287",50,105,98,403,95,344,229,396,611,"2,562","1,535","5,416","4,443","13,351",602,82,296,"1,377",636,647,"2,330","2,475",525,807,"3,574","23,835","2,269",667,"2,301",869,"5,803",635,"4,585",454,"1,697","2,025","2,530","19,646","1,447","9,888",96,501,330,849,"4,168","2,367"
2021년04월_계_10~19세,"85,311","19,819",55,189,118,436,185,531,394,662,885,"3,767","1,974","6,316","4,307","19,936",658,118,509,"1,407",955,994,"3,936","4,042",940,"1,261","5,116","26,273","2,332","1,036","1,264","1,465","6,495","1,055","6,575",569,"2,284","2,255",943,"19,283","1,844","7,451",162,723,545,"1,102","5,098","2,358"
2021년04월_계_20~29세,"119,699","24,934",168,312,318,705,304,"1,067",947,"1,038","1,286","4,105","1,494","7,526","5,664","28,124","1,119",179,897,"1,637","3,426","2,268","3,619","4,469","2,005","1,867","6,638","40,755","3,228","1,411","1,930","2,478","7,332","3,310","7,607","2,055","4,205","5,339","1,860","25,886","2,254","8,904",362,"2,039","1,101","2,027","7,313","1,886"
2021년04월_계_30~39세,"117,926","23,522",121,284,217,668,226,813,669,786,"1,120","3,439","1,589","7,557","6,033","22,221","1,060",210,751,"1,883","1,960","1,516","3,083","3,321","1,286","1,511","5,640","40,961","3,908","1,105","3,482","1,869","8,434","1,858","6,582","1,597","3,891","4,692","3,543","31,222","2,001","15,360",283,"1,463",788,"1,613","6,812","2,902"
2021년04월_계_40~49세,"136,198","30,726",169,395,354,787,387,947,827,"1,195","1,533","5,416","2,531","9,457","6,728","30,229","1,241",322,994,"2,065","1,864","1,844","5,078","5,479","1,728","1,946","7,668","43,109","4,161","1,554","2,626","2,416","9,995","2,005","8,973","1,327","3,865","4,286","1,901","32,134","3,065","12,617",415,"1,499","1,124","2,056","7,829","3,529"
2021년04월_계_50~59세,"136,994","33,207",447,879,850,"1,314",749,"1,105","1,152","1,556","1,843","5,227","2,124","9,126","6,835","33,793","2,143",590,"1,489","2,320","2,114","2,572","4,488","5,537","2,448","2,951","7,141","42,583","3,274","2,017","2,680","3,408","7,286","2,825","9,846","1,527","4,003","4,494","1,223","27,411","3,482","7,306",872,"1,998","1,526","2,238","7,715","2,274"
2021년04월_계_60~69세,"101,278","25,208",618,"1,314",967,"1,318",873,"1,030","1,306","1,563","1,772","3,665","1,284","5,646","3,852","26,105","1,847",798,"1,392","2,069","2,049","2,625","2,297","2,907","2,418","2,599","5,104","28,781","2,528","1,602","2,119","2,661","3,613","2,506","5,918","1,284","2,645","3,132",773,"21,184","2,746","4,789","1,151","1,985","1,615","1,870","5,363","1,665"
2021년04월_계_70~79세,"47,375","12,355",336,794,569,619,611,655,804,976,"1,003","1,898",632,"2,072","1,386","12,475",832,534,748,900,"1,202","1,279","1,007","1,372","1,333","1,245","2,023","12,160","1,321",813,979,"1,098","1,400","1,219","2,061",613,"1,016","1,316",324,"10,385","1,442","2,123",682,"1,221",971,"1,117","2,054",775
