,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2020년11월_계_총인구수,"171,060","8,656","10,189","17,001","9,826","9,660","10,076","6,401","7,879","11,139","7,975","8,199","10,162","18,289","1,845","5,305","20,570","7,888"
2020년11월_계_연령구간인구수,"171,060","8,656","10,189","17,001","9,826","9,660","10,076","6,401","7,879","11,139","7,975","8,199","10,162","18,289","1,845","5,305","20,570","7,888"
2020년11월_계_0~9세,"7,618",329,321,729,307,288,393,192,225,401,294,633,366,"1,334",77,158,"1,301",270
2020년11월_계_10~19세,"10,940",500,544,"1,249",634,489,610,349,504,602,476,590,610,"1,225",110,337,"1,695",416
2020년11월_계_20~29세,"21,749","1,334","1,291","2,433","1,161","1,045","1,317",670,"1,038","1,348","1,037",921,"1,302","2,330",226,634,"2,680",982
2020년11월_계_30~39세,"17,566",951,966,"1,990",862,804,972,617,695,"1,063",749,987,990,"2,299",188,484,"2,225",724
2020년11월_계_40~49세,"22,956","1,086","1,308","2,282","1,343","1,141","1,306",779,"1,026","1,466","1,038","1,242","1,341","2,605",241,672,"3,011","1,069"
2020년11월_계_50~59세,"34,442","1,687","1,998","3,149","2,126","1,948","2,025","1,307","1,696","2,454","1,650","1,474","2,213","3,542",386,"1,169","4,005","1,613"
2020년11월_계_60~69세,"30,920","1,544","1,955","2,907","1,804","1,905","1,920","1,279","1,489","2,102","1,479","1,353","1,882","2,938",346,"1,097","3,450","1,470"
2020년11월_계_70~79세,"17,175",836,"1,242","1,565","1,112","1,370","1,039",833,821,"1,236",834,707,"1,019","1,399",201,514,"1,531",916
2020년11월_계_80~89세,"6,834",348,511,614,419,589,441,342,348,429,373,265,391,529,59,220,565,391
2020년11월_계_90~99세,758,32,46,81,50,61,42,32,30,34,39,26,45,84,5,20,94,37
2020년11월_계_100세 이상,102,9,7,2,8,20,11,1,7,4,6,1,3,4,6,0,13,0
2020년11월_남_총인구수,"85,757","4,285","4,971","8,225","5,008","4,800","4,958","3,271","3,883","5,908","4,053","4,000","5,130","9,095",976,"2,812","10,374","4,008"
2020년11월_남_연령구간인구수,"85,757","4,285","4,971","8,225","5,008","4,800","4,958","3,271","3,883","5,908","4,053","4,000","5,130","9,095",976,"2,812","10,374","4,008"
2020년11월_남_0~9세,"3,931",181,161,365,152,158,196,103,117,216,148,330,193,671,43,80,694,123
2020년11월_남_10~19세,"5,701",271,287,646,339,268,318,180,264,303,266,283,337,624,62,170,882,201
2020년11월_남_20~29세,"11,997",713,677,"1,302",663,579,715,368,571,801,597,492,694,"1,289",135,374,"1,473",554
2020년11월_남_30~39세,"9,965",530,572,"1,125",508,468,575,380,400,591,444,512,588,"1,226",104,304,"1,219",419
2020년11월_남_40~49세,"12,305",565,734,"1,113",757,654,701,434,521,875,583,639,734,"1,352",138,391,"1,512",602
2020년11월_남_50~59세,"17,317",797,992,"1,436","1,104","1,020",968,720,861,"1,372",853,714,"1,107","1,721",201,614,"1,994",843
2020년11월_남_60~69세,"14,492",700,876,"1,299",865,899,873,591,668,"1,041",691,623,904,"1,373",167,574,"1,649",699
2020년11월_남_70~79세,"7,531",394,496,705,463,548,453,364,351,558,338,309,440,648,94,228,729,413
2020년11월_남_80~89세,"2,353",124,165,212,149,195,151,121,123,146,124,93,125,178,30,71,199,147
2020년11월_남_90~99세,141,8,9,22,5,11,5,10,5,4,6,4,8,13,1,6,17,7
2020년11월_남_100세 이상,24,2,2,0,3,0,3,0,2,1,3,1,0,0,1,0,6,0
2020년11월_여_총인구수,"85,303","4,371","5,218","8,776","4,818","4,860","5,118","3,130","3,996","5,231","3,922","4,199","5,032","9,194",869,"2,493","10,196","3,880"
2020년11월_여_연령구간인구수,"85,303","4,371","5,218","8,776","4,818","4,860","5,118","3,130","3,996","5,231","3,922","4,199","5,032","9,194",869,"2,493","10,196","3,880"
2020년11월_여_0~9세,"3,687",148,160,364,155,130,197,89,108,185,146,303,173,663,34,78,607,147
2020년11월_여_10~19세,"5,239",229,257,603,295,221,292,169,240,299,210,307,273,601,48,167,813,215
2020년11월_여_20~29세,"9,752",621,614,"1,131",498,466,602,302,467,547,440,429,608,"1,041",91,260,"1,207",428
2020년11월_여_30~39세,"7,601",421,394,865,354,336,397,237,295,472,305,475,402,"1,073",84,180,"1,006",305
2020년11월_여_40~49세,"10,651",521,574,"1,169",586,487,605,345,505,591,455,603,607,"1,253",103,281,"1,499",467
2020년11월_여_50~59세,"17,125",890,"1,006","1,713","1,022",928,"1,057",587,835,"1,082",797,760,"1,106","1,821",185,555,"2,011",770
2020년11월_여_60~69세,"16,428",844,"1,079","1,608",939,"1,006","1,047",688,821,"1,061",788,730,978,"1,565",179,523,"1,801",771
2020년11월_여_70~79세,"9,644",442,746,860,649,822,586,469,470,678,496,398,579,751,107,286,802,503
2020년11월_여_80~89세,"4,481",224,346,402,270,394,290,221,225,283,249,172,266,351,29,149,366,244
2020년11월_여_90~99세,617,24,37,59,45,50,37,22,25,30,33,22,37,71,4,14,77,30
2020년11월_여_100세 이상,78,7,5,2,5,20,8,1,5,3,3,0,3,4,5,0,7,0
