,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2021년01월_계_총인구수,"212,173","5,995","28,194","10,986","8,881","13,156","22,082","13,807","15,505","23,338","13,390","28,952","27,887"
2021년01월_계_연령구간인구수,"212,173","5,995","28,194","10,986","8,881","13,156","22,082","13,807","15,505","23,338","13,390","28,952","27,887"
2021년01월_계_0~9세,"12,249",231,"1,581",280,506,708,"1,071",527,961,"1,457",749,"1,895","2,283"
2021년01월_계_10~19세,"15,012",296,"2,011",476,655,930,"1,070",705,"1,104","1,810","1,069","2,275","2,611"
2021년01월_계_20~29세,"28,755",649,"3,613",879,"1,054","1,723","4,028","1,702","2,143","4,060","1,796","3,459","3,649"
2021년01월_계_30~39세,"25,081",592,"3,258",820,"1,007","1,453","3,224","1,620","1,811","3,001","1,511","3,456","3,328"
2021년01월_계_40~49세,"29,277",720,"3,763","1,266","1,220","1,734","2,730","1,795","2,003","3,427","1,806","4,317","4,496"
2021년01월_계_50~59세,"40,984","1,307","5,551","2,207","1,797","2,707","4,240","2,835","3,146","3,938","2,467","5,371","5,418"
2021년01월_계_60~69세,"36,944","1,263","5,199","2,532","1,510","2,484","3,656","2,757","2,757","3,331","2,389","5,098","3,968"
2021년01월_계_70~79세,"17,231",683,"2,346","1,701",818,"1,042","1,559","1,378","1,152","1,638","1,109","2,238","1,567"
2021년01월_계_80~89세,"5,893",224,771,746,286,328,442,423,375,600,446,750,502
2021년01월_계_90~99세,677,25,85,75,24,45,48,57,51,69,48,87,63
2021년01월_계_100세 이상,70,5,16,4,4,2,14,8,2,7,0,6,2
2021년01월_남_총인구수,"107,191","3,220","14,144","5,254","4,533","6,667","11,463","7,323","7,946","11,660","6,559","14,491","13,931"
2021년01월_남_연령구간인구수,"107,191","3,220","14,144","5,254","4,533","6,667","11,463","7,323","7,946","11,660","6,559","14,491","13,931"
2021년01월_남_0~9세,"6,235",127,779,143,261,369,538,275,495,723,379,974,"1,172"
2021년01월_남_10~19세,"7,844",159,"1,052",249,340,483,567,375,590,938,558,"1,206","1,327"
2021년01월_남_20~29세,"15,408",383,"1,984",510,610,926,"1,989",913,"1,171","2,074",937,"1,896","2,015"
2021년01월_남_30~39세,"13,457",320,"1,756",450,541,771,"1,790",954,974,"1,595",811,"1,823","1,672"
2021년01월_남_40~49세,"15,366",422,"1,934",759,643,923,"1,505","1,042","1,016","1,780",931,"2,212","2,199"
2021년01월_남_50~59세,"20,433",746,"2,691","1,158",954,"1,303","2,220","1,526","1,540","1,882","1,114","2,619","2,680"
2021년01월_남_60~69세,"18,369",668,"2,541","1,151",722,"1,255","1,913","1,424","1,443","1,669","1,144","2,489","1,950"
2021년01월_남_70~79세,"7,978",314,"1,119",626,364,516,764,642,569,778,516,"1,009",761
2021년01월_남_80~89세,"1,978",78,271,194,92,115,172,162,141,209,157,239,148
2021년01월_남_90~99세,114,3,17,13,5,5,4,8,6,11,12,23,7
2021년01월_남_100세 이상,9,0,0,1,1,1,1,2,1,1,0,1,0
2021년01월_여_총인구수,"104,982","2,775","14,050","5,732","4,348","6,489","10,619","6,484","7,559","11,678","6,831","14,461","13,956"
2021년01월_여_연령구간인구수,"104,982","2,775","14,050","5,732","4,348","6,489","10,619","6,484","7,559","11,678","6,831","14,461","13,956"
2021년01월_여_0~9세,"6,014",104,802,137,245,339,533,252,466,734,370,921,"1,111"
2021년01월_여_10~19세,"7,168",137,959,227,315,447,503,330,514,872,511,"1,069","1,284"
2021년01월_여_20~29세,"13,347",266,"1,629",369,444,797,"2,039",789,972,"1,986",859,"1,563","1,634"
2021년01월_여_30~39세,"11,624",272,"1,502",370,466,682,"1,434",666,837,"1,406",700,"1,633","1,656"
2021년01월_여_40~49세,"13,911",298,"1,829",507,577,811,"1,225",753,987,"1,647",875,"2,105","2,297"
2021년01월_여_50~59세,"20,551",561,"2,860","1,049",843,"1,404","2,020","1,309","1,606","2,056","1,353","2,752","2,738"
2021년01월_여_60~69세,"18,575",595,"2,658","1,381",788,"1,229","1,743","1,333","1,314","1,662","1,245","2,609","2,018"
2021년01월_여_70~79세,"9,253",369,"1,227","1,075",454,526,795,736,583,860,593,"1,229",806
2021년01월_여_80~89세,"3,915",146,500,552,194,213,270,261,234,391,289,511,354
2021년01월_여_90~99세,563,22,68,62,19,40,44,49,45,58,36,64,56
2021년01월_여_100세 이상,61,5,16,3,3,1,13,6,1,6,0,5,2
