,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동
2020년03월_계_총인구수,"370,796","20,227","21,362","17,856","20,860","22,069","17,169","25,715","26,171","19,182","19,154","36,637","36,716","48,299","39,379"
2020년03월_계_연령구간인구수,"370,796","20,227","21,362","17,856","20,860","22,069","17,169","25,715","26,171","19,182","19,154","36,637","36,716","48,299","39,379"
2020년03월_계_0~9세,"36,894","1,505","1,617",987,"1,125","1,518","1,138","1,420","2,374","1,537","1,678","3,259","4,941","7,294","6,501"
2020년03월_계_10~19세,"41,589","2,011","2,326","1,145","1,724","1,856","1,379","1,881","2,794","2,113","2,898","5,430","6,303","5,774","3,955"
2020년03월_계_20~29세,"50,839","2,863","3,153","2,709","3,368","3,535","2,349","3,658","3,791","2,831","2,628","5,886","3,679","5,998","4,391"
2020년03월_계_30~39세,"55,096","2,461","2,585","2,423","2,813","3,335","2,429","3,170","4,005","2,662","1,892","4,259","4,614","9,666","8,782"
2020년03월_계_40~49세,"65,903","3,281","3,484","2,386","3,493","3,201","2,393","3,929","4,338","3,177","3,511","6,713","8,570","9,808","7,619"
2020년03월_계_50~59세,"62,435","3,866","4,108","3,618","4,170","4,095","3,179","5,378","4,777","3,610","3,410","6,168","5,350","5,783","4,923"
2020년03월_계_60~69세,"34,874","2,281","2,308","2,734","2,468","2,626","2,327","3,617","2,624","1,998","1,832","3,144","2,072","2,593","2,250"
2020년03월_계_70~79세,"14,919","1,284","1,144","1,229","1,148","1,155","1,132","1,712",902,789,844,"1,172",765,983,660
2020년03월_계_80~89세,"6,983",590,539,526,473,640,694,822,461,408,379,497,355,344,255
2020년03월_계_90~99세,"1,209",82,93,95,74,105,142,118,93,55,81,108,66,56,41
2020년03월_계_100세 이상,55,3,5,4,4,3,7,10,12,2,1,1,1,0,2
2020년03월_남_총인구수,"184,450","10,049","10,582","9,234","11,315","10,796","8,196","13,300","12,874","9,408","9,332","18,089","18,000","23,759","19,516"
2020년03월_남_연령구간인구수,"184,450","10,049","10,582","9,234","11,315","10,796","8,196","13,300","12,874","9,408","9,332","18,089","18,000","23,759","19,516"
2020년03월_남_0~9세,"18,845",785,821,510,586,782,587,727,"1,210",791,842,"1,685","2,506","3,710","3,303"
2020년03월_남_10~19세,"21,364","1,061","1,189",595,932,950,724,977,"1,403","1,081","1,495","2,781","3,236","2,936","2,004"
2020년03월_남_20~29세,"26,374","1,537","1,668","1,509","1,882","1,849","1,153","2,033","1,941","1,466","1,349","2,985","1,874","2,937","2,191"
2020년03월_남_30~39세,"27,218","1,248","1,293","1,387","1,656","1,725","1,262","1,826","2,006","1,352",835,"1,993","1,926","4,544","4,165"
2020년03월_남_40~49세,"32,370","1,612","1,694","1,336","1,981","1,551","1,146","2,065","2,065","1,468","1,611","3,099","4,024","4,834","3,884"
2020년03월_남_50~59세,"30,990","1,893","1,991","1,701","2,231","1,930","1,478","2,754","2,270","1,725","1,699","3,115","2,873","2,909","2,421"
2020년03월_남_60~69세,"17,983","1,131","1,175","1,433","1,331","1,336","1,160","1,847","1,375","1,034",962,"1,669","1,084","1,306","1,140"
2020년03월_남_70~79세,"6,788",559,543,561,550,472,472,763,433,350,394,576,343,449,323
2020년03월_남_80~89세,"2,222",199,183,180,149,177,191,274,144,126,125,161,119,116,78
2020년03월_남_90~99세,280,24,23,22,17,23,20,28,24,14,20,25,15,18,7
2020년03월_남_100세 이상,16,0,2,0,0,1,3,6,3,1,0,0,0,0,0
2020년03월_여_총인구수,"186,346","10,178","10,780","8,622","9,545","11,273","8,973","12,415","13,297","9,774","9,822","18,548","18,716","24,540","19,863"
2020년03월_여_연령구간인구수,"186,346","10,178","10,780","8,622","9,545","11,273","8,973","12,415","13,297","9,774","9,822","18,548","18,716","24,540","19,863"
2020년03월_여_0~9세,"18,049",720,796,477,539,736,551,693,"1,164",746,836,"1,574","2,435","3,584","3,198"
2020년03월_여_10~19세,"20,225",950,"1,137",550,792,906,655,904,"1,391","1,032","1,403","2,649","3,067","2,838","1,951"
2020년03월_여_20~29세,"24,465","1,326","1,485","1,200","1,486","1,686","1,196","1,625","1,850","1,365","1,279","2,901","1,805","3,061","2,200"
2020년03월_여_30~39세,"27,878","1,213","1,292","1,036","1,157","1,610","1,167","1,344","1,999","1,310","1,057","2,266","2,688","5,122","4,617"
2020년03월_여_40~49세,"33,533","1,669","1,790","1,050","1,512","1,650","1,247","1,864","2,273","1,709","1,900","3,614","4,546","4,974","3,735"
2020년03월_여_50~59세,"31,445","1,973","2,117","1,917","1,939","2,165","1,701","2,624","2,507","1,885","1,711","3,053","2,477","2,874","2,502"
2020년03월_여_60~69세,"16,891","1,150","1,133","1,301","1,137","1,290","1,167","1,770","1,249",964,870,"1,475",988,"1,287","1,110"
2020년03월_여_70~79세,"8,131",725,601,668,598,683,660,949,469,439,450,596,422,534,337
2020년03월_여_80~89세,"4,761",391,356,346,324,463,503,548,317,282,254,336,236,228,177
2020년03월_여_90~99세,929,58,70,73,57,82,122,90,69,41,61,83,51,38,34
2020년03월_여_100세 이상,39,3,3,4,4,2,4,4,9,1,1,1,1,0,2
