,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2020년05월_계_총인구수,"478,029","37,885","40,188","28,859","23,820","29,456","33,268","27,431","25,528","27,267","25,557","47,443","27,973","21,343","15,722","8,667","57,622"
2020년05월_계_연령구간인구수,"478,029","37,885","40,188","28,859","23,820","29,456","33,268","27,431","25,528","27,267","25,557","47,443","27,973","21,343","15,722","8,667","57,622"
2020년05월_계_0~9세,"30,614","2,631","2,530","1,245","1,087","1,732","1,991","1,263","1,628","3,239","1,057","2,981","1,721","1,211",788,453,"5,057"
2020년05월_계_10~19세,"39,616","2,478","2,801","1,944","1,742","2,537","2,916","1,790","2,391","2,275","1,725","3,732","2,187","1,781","1,281",557,"7,479"
2020년05월_계_20~29세,"66,251","5,071","5,473","4,341","3,801","4,434","4,491","4,705","3,468","2,761","3,633","6,594","3,995","3,005","2,113","1,184","7,182"
2020년05월_계_30~39세,"68,701","6,240","5,599","3,994","3,218","4,111","4,259","4,279","3,806","5,109","3,445","7,017","4,211","2,926","2,094","1,163","7,230"
2020년05월_계_40~49세,"77,244","5,850","6,233","4,130","3,532","4,831","5,290","4,243","4,420","5,114","3,749","7,794","4,324","3,308","2,319","1,141","10,966"
2020년05월_계_50~59세,"77,058","6,049","6,808","5,031","4,081","4,872","5,720","4,213","3,907","3,540","4,332","7,727","4,574","3,576","2,683","1,593","8,352"
2020년05월_계_60~69세,"62,297","4,968","5,464","4,266","3,409","3,656","4,567","3,485","3,032","2,783","3,742","6,160","3,759","3,088","2,392","1,415","6,111"
2020년05월_계_70~79세,"38,614","3,188","3,520","2,745","2,142","2,264","2,762","2,371","1,977","1,676","2,624","3,805","2,253","1,671","1,447",776,"3,393"
2020년05월_계_80~89세,"15,162","1,208","1,534","1,023",686,888,"1,093",950,769,662,"1,098","1,432",841,679,522,334,"1,443"
2020년05월_계_90~99세,"2,059",179,193,128,108,112,159,110,121,88,133,176,98,86,74,46,248
2020년05월_계_100세 이상,413,23,33,12,14,19,20,22,9,20,19,25,10,12,9,5,161
2020년05월_남_총인구수,"230,062","18,123","19,039","14,072","11,621","14,025","16,568","12,838","12,150","13,272","12,522","22,510","13,565","10,681","7,703","4,328","27,045"
2020년05월_남_연령구간인구수,"230,062","18,123","19,039","14,072","11,621","14,025","16,568","12,838","12,150","13,272","12,522","22,510","13,565","10,681","7,703","4,328","27,045"
2020년05월_남_0~9세,"15,701","1,325","1,296",625,581,894,"1,006",654,862,"1,676",553,"1,499",845,631,390,240,"2,624"
2020년05월_남_10~19세,"20,216","1,250","1,460",999,890,"1,265","1,386",842,"1,261","1,180",896,"1,870","1,143",991,678,304,"3,801"
2020년05월_남_20~29세,"32,093","2,405","2,701","2,189","1,934","2,133","2,239","2,095","1,562","1,379","1,871","3,187","2,053","1,565","1,059",622,"3,099"
2020년05월_남_30~39세,"34,181","3,135","2,730","2,134","1,670","2,051","2,180","2,138","1,896","2,442","1,815","3,428","2,146","1,545","1,070",620,"3,181"
2020년05월_남_40~49세,"38,209","2,940","3,027","2,128","1,778","2,333","2,648","2,075","2,171","2,619","1,922","3,862","2,136","1,676","1,150",587,"5,157"
2020년05월_남_50~59세,"37,077","2,898","3,168","2,335","1,906","2,278","2,894","2,035","1,894","1,725","2,165","3,622","2,150","1,722","1,316",797,"4,172"
2020년05월_남_60~69세,"28,767","2,231","2,476","1,981","1,583","1,671","2,310","1,547","1,322","1,265","1,729","2,751","1,727","1,489","1,143",692,"2,850"
2020년05월_남_70~79세,"17,088","1,399","1,506","1,228",956,983,"1,373","1,014",853,709,"1,106","1,688","1,010",753,657,332,"1,521"
2020년05월_남_80~89세,"6,072",490,604,415,287,380,482,401,290,243,423,560,329,274,220,120,554
2020년05월_남_90~99세,580,45,60,34,35,29,41,30,39,27,37,39,25,31,17,12,79
2020년05월_남_100세 이상,78,5,11,4,1,8,9,7,0,7,5,4,1,4,3,2,7
2020년05월_여_총인구수,"247,967","19,762","21,149","14,787","12,199","15,431","16,700","14,593","13,378","13,995","13,035","24,933","14,408","10,662","8,019","4,339","30,577"
2020년05월_여_연령구간인구수,"247,967","19,762","21,149","14,787","12,199","15,431","16,700","14,593","13,378","13,995","13,035","24,933","14,408","10,662","8,019","4,339","30,577"
2020년05월_여_0~9세,"14,913","1,306","1,234",620,506,838,985,609,766,"1,563",504,"1,482",876,580,398,213,"2,433"
2020년05월_여_10~19세,"19,400","1,228","1,341",945,852,"1,272","1,530",948,"1,130","1,095",829,"1,862","1,044",790,603,253,"3,678"
2020년05월_여_20~29세,"34,158","2,666","2,772","2,152","1,867","2,301","2,252","2,610","1,906","1,382","1,762","3,407","1,942","1,440","1,054",562,"4,083"
2020년05월_여_30~39세,"34,520","3,105","2,869","1,860","1,548","2,060","2,079","2,141","1,910","2,667","1,630","3,589","2,065","1,381","1,024",543,"4,049"
2020년05월_여_40~49세,"39,035","2,910","3,206","2,002","1,754","2,498","2,642","2,168","2,249","2,495","1,827","3,932","2,188","1,632","1,169",554,"5,809"
2020년05월_여_50~59세,"39,981","3,151","3,640","2,696","2,175","2,594","2,826","2,178","2,013","1,815","2,167","4,105","2,424","1,854","1,367",796,"4,180"
2020년05월_여_60~69세,"33,530","2,737","2,988","2,285","1,826","1,985","2,257","1,938","1,710","1,518","2,013","3,409","2,032","1,599","1,249",723,"3,261"
2020년05월_여_70~79세,"21,526","1,789","2,014","1,517","1,186","1,281","1,389","1,357","1,124",967,"1,518","2,117","1,243",918,790,444,"1,872"
2020년05월_여_80~89세,"9,090",718,930,608,399,508,611,549,479,419,675,872,512,405,302,214,889
2020년05월_여_90~99세,"1,479",134,133,94,73,83,118,80,82,61,96,137,73,55,57,34,169
2020년05월_여_100세 이상,335,18,22,8,13,11,11,15,9,13,14,21,9,8,6,3,154
