,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2021년05월_계_총인구수,"176,031","13,695","7,326","5,333","3,344","8,114","15,495","9,350","5,068","7,289","6,157","19,236","18,703","8,805","15,918","32,198"
2021년05월_계_연령구간인구수,"176,031","13,695","7,326","5,333","3,344","8,114","15,495","9,350","5,068","7,289","6,157","19,236","18,703","8,805","15,918","32,198"
2021년05월_계_0~9세,"15,113",686,486,120,64,572,"2,891",489,127,241,348,"1,655","1,616",546,"1,331","3,941"
2021년05월_계_10~19세,"17,192","1,021",688,205,111,762,"1,236",746,260,444,446,"2,019","2,292",881,"1,935","4,146"
2021년05월_계_20~29세,"19,055","1,792",609,281,160,645,"1,612",844,285,683,561,"2,578","2,119","1,087","2,006","3,793"
2021년05월_계_30~39세,"21,883","1,471",606,262,146,923,"3,833",822,258,470,527,"2,708","2,100",843,"1,891","5,023"
2021년05월_계_40~49세,"27,820","1,947","1,096",476,283,"1,229","2,403","1,318",526,824,827,"3,255","3,345","1,433","2,822","6,036"
2021년05월_계_50~59세,"28,429","3,092","1,319",855,575,"1,372","1,629","1,687",837,"1,313",800,"3,164","3,243","1,523","2,506","4,514"
2021년05월_계_60~69세,"22,982","2,006","1,144","1,334",875,"1,261","1,016","1,589","1,153","1,456","1,126","2,104","2,130","1,329","1,849","2,610"
2021년05월_계_70~79세,"13,943",980,763,"1,003",687,794,511,"1,034",924,"1,121",827,"1,077","1,168",755,989,"1,310"
2021년05월_계_80~89세,"8,315",602,542,698,390,472,314,721,614,639,614,577,582,347,508,695
2021년05월_계_90~99세,"1,259",96,68,98,51,83,49,98,80,97,74,96,103,59,80,127
2021년05월_계_100세 이상,40,2,5,1,2,1,1,2,4,1,7,3,5,2,1,3
2021년05월_남_총인구수,"91,809","7,984","3,748","2,717","1,707","4,372","8,131","4,833","2,581","3,778","3,187","9,987","9,773","4,471","8,048","16,492"
2021년05월_남_연령구간인구수,"91,809","7,984","3,748","2,717","1,707","4,372","8,131","4,833","2,581","3,778","3,187","9,987","9,773","4,471","8,048","16,492"
2021년05월_남_0~9세,"7,724",354,251,58,39,279,"1,491",255,70,124,177,879,846,289,654,"1,958"
2021년05월_남_10~19세,"9,125",551,363,112,57,400,627,399,141,250,228,"1,064","1,351",463,923,"2,196"
2021년05월_남_20~29세,"11,374","1,230",370,179,97,410,909,513,171,428,382,"1,473","1,278",623,"1,145","2,166"
2021년05월_남_30~39세,"12,145",997,324,165,89,588,"2,057",453,143,272,307,"1,504","1,117",464,"1,062","2,603"
2021년05월_남_40~49세,"14,881","1,187",568,301,174,725,"1,329",735,323,486,483,"1,675","1,674",751,"1,423","3,047"
2021년05월_남_50~59세,"15,284","1,879",740,465,328,748,837,905,471,712,435,"1,651","1,668",787,"1,298","2,360"
2021년05월_남_60~69세,"11,532","1,103",582,672,435,666,533,804,565,738,551,"1,019","1,036",619,918,"1,291"
2021년05월_남_70~79세,"6,551",468,352,479,346,379,238,494,451,528,382,496,559,329,445,605
2021년05월_남_80~89세,"2,934",188,184,265,134,161,101,258,230,222,224,210,221,131,162,243
2021년05월_남_90~99세,256,27,14,21,8,16,9,17,15,18,17,16,22,15,18,23
2021년05월_남_100세 이상,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2021년05월_여_총인구수,"84,222","5,711","3,578","2,616","1,637","3,742","7,364","4,517","2,487","3,511","2,970","9,249","8,930","4,334","7,870","15,706"
2021년05월_여_연령구간인구수,"84,222","5,711","3,578","2,616","1,637","3,742","7,364","4,517","2,487","3,511","2,970","9,249","8,930","4,334","7,870","15,706"
2021년05월_여_0~9세,"7,389",332,235,62,25,293,"1,400",234,57,117,171,776,770,257,677,"1,983"
2021년05월_여_10~19세,"8,067",470,325,93,54,362,609,347,119,194,218,955,941,418,"1,012","1,950"
2021년05월_여_20~29세,"7,681",562,239,102,63,235,703,331,114,255,179,"1,105",841,464,861,"1,627"
2021년05월_여_30~39세,"9,738",474,282,97,57,335,"1,776",369,115,198,220,"1,204",983,379,829,"2,420"
2021년05월_여_40~49세,"12,939",760,528,175,109,504,"1,074",583,203,338,344,"1,580","1,671",682,"1,399","2,989"
2021년05월_여_50~59세,"13,145","1,213",579,390,247,624,792,782,366,601,365,"1,513","1,575",736,"1,208","2,154"
2021년05월_여_60~69세,"11,450",903,562,662,440,595,483,785,588,718,575,"1,085","1,094",710,931,"1,319"
2021년05월_여_70~79세,"7,392",512,411,524,341,415,273,540,473,593,445,581,609,426,544,705
2021년05월_여_80~89세,"5,381",414,358,433,256,311,213,463,384,417,390,367,361,216,346,452
2021년05월_여_90~99세,"1,003",69,54,77,43,67,40,81,65,79,57,80,81,44,62,104
2021년05월_여_100세 이상,37,2,5,1,2,1,1,2,3,1,6,3,4,2,1,3
