,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2021년12월_계_총인구수,"61,526","29,393","8,417","2,330","4,197","5,347","5,300","4,348","2,194"
2021년12월_계_연령구간인구수,"61,526","29,393","8,417","2,330","4,197","5,347","5,300","4,348","2,194"
2021년12월_계_0~9세,"2,828","2,032",286,65,106,108,90,101,40
2021년12월_계_10~19세,"4,256","2,850",527,117,159,187,172,163,81
2021년12월_계_20~29세,"4,727","2,918",506,91,336,246,235,287,108
2021년12월_계_30~39세,"4,655","3,028",488,107,229,269,212,230,92
2021년12월_계_40~49세,"7,381","4,310",961,234,398,451,501,350,176
2021년12월_계_50~59세,"10,543","4,969","1,470",400,705,970,915,767,347
2021년12월_계_60~69세,"12,825","4,671","1,988",563,"1,048","1,486","1,443","1,068",558
2021년12월_계_70~79세,"8,862","2,980","1,434",442,720,997,"1,051",798,440
2021년12월_계_80~89세,"4,737","1,436",641,280,426,550,605,491,308
2021년12월_계_90~99세,697,197,109,30,70,80,76,91,44
2021년12월_계_100세 이상,15,2,7,1,0,3,0,2,0
2021년12월_남_총인구수,"31,033","14,857","4,177","1,118","2,161","2,742","2,623","2,228","1,127"
2021년12월_남_연령구간인구수,"31,033","14,857","4,177","1,118","2,161","2,742","2,623","2,228","1,127"
2021년12월_남_0~9세,"1,422","1,034",146,23,46,51,50,51,21
2021년12월_남_10~19세,"2,199","1,452",278,47,93,101,95,89,44
2021년12월_남_20~29세,"2,789","1,697",298,53,225,153,122,182,59
2021년12월_남_30~39세,"2,560","1,614",255,57,138,177,120,145,54
2021년12월_남_40~49세,"4,141","2,261",549,146,244,292,314,210,125
2021년12월_남_50~59세,"5,638","2,580",786,218,378,531,503,428,214
2021년12월_남_60~69세,"6,229","2,265",938,273,516,725,706,531,275
2021년12월_남_70~79세,"4,235","1,414",678,199,354,481,490,398,221
2021년12월_남_80~89세,"1,671",489,227,96,152,212,209,177,109
2021년12월_남_90~99세,144,51,17,6,15,19,14,17,5
2021년12월_남_100세 이상,5,0,5,0,0,0,0,0,0
2021년12월_여_총인구수,"30,493","14,536","4,240","1,212","2,036","2,605","2,677","2,120","1,067"
2021년12월_여_연령구간인구수,"30,493","14,536","4,240","1,212","2,036","2,605","2,677","2,120","1,067"
2021년12월_여_0~9세,"1,406",998,140,42,60,57,40,50,19
2021년12월_여_10~19세,"2,057","1,398",249,70,66,86,77,74,37
2021년12월_여_20~29세,"1,938","1,221",208,38,111,93,113,105,49
2021년12월_여_30~39세,"2,095","1,414",233,50,91,92,92,85,38
2021년12월_여_40~49세,"3,240","2,049",412,88,154,159,187,140,51
2021년12월_여_50~59세,"4,905","2,389",684,182,327,439,412,339,133
2021년12월_여_60~69세,"6,596","2,406","1,050",290,532,761,737,537,283
2021년12월_여_70~79세,"4,627","1,566",756,243,366,516,561,400,219
2021년12월_여_80~89세,"3,066",947,414,184,274,338,396,314,199
2021년12월_여_90~99세,553,146,92,24,55,61,62,74,39
2021년12월_여_100세 이상,10,2,2,1,0,3,0,2,0
