,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2021년04월_계_총인구수,"282,326","7,611","19,706","1,464","2,560","1,081","3,764","2,528",954,"17,311","3,471","3,544","2,773","2,171","8,672","9,507","11,725","14,866","21,215","4,514","11,946","4,453","35,113","49,648","19,062","22,667"
2021년04월_계_연령구간인구수,"282,326","7,611","19,706","1,464","2,560","1,081","3,764","2,528",954,"17,311","3,471","3,544","2,773","2,171","8,672","9,507","11,725","14,866","21,215","4,514","11,946","4,453","35,113","49,648","19,062","22,667"
2021년04월_계_0~9세,"21,317",322,"2,133",27,104,25,102,63,13,"1,416",81,99,84,78,920,753,503,"1,297","1,781",337,412,155,"2,420","4,409","1,524","2,259"
2021년04월_계_10~19세,"26,743",464,"2,461",57,131,29,185,144,23,"1,711",156,185,126,114,659,759,853,"1,423","1,925",373,673,230,"4,333","5,869","1,577","2,283"
2021년04월_계_20~29세,"37,239",750,"1,927",121,255,41,226,182,36,"2,169",231,867,354,258,"1,000","1,224","1,863","2,162","2,633",535,"2,722",977,"5,065","6,401","2,431","2,809"
2021년04월_계_30~39세,"34,006",649,"2,363",99,183,54,219,114,37,"2,327",244,406,295,188,"1,433","1,210","1,343","2,121","2,852",469,"1,319",590,"3,643","6,189","2,608","3,051"
2021년04월_계_40~49세,"42,119",878,"3,631",112,248,86,334,218,59,"2,863",363,381,354,243,"1,166","1,326","1,502","2,131","3,104",680,"1,374",484,"5,830","8,362","2,831","3,559"
2021년04월_계_50~59세,"46,685","1,395","3,067",251,501,213,689,469,189,"2,775",657,500,471,388,"1,213","1,648","1,934","2,364","3,429",760,"1,801",656,"6,278","8,362","3,193","3,482"
2021년04월_계_60~69세,"39,409","1,507","2,483",413,607,285,958,667,299,"2,318",919,506,503,392,"1,118","1,333","1,923","1,750","2,986",689,"1,740",674,"4,064","5,759","2,763","2,753"
2021년04월_계_70~79세,"20,840",928,997,204,280,197,575,393,190,"1,031",501,371,336,301,688,765,"1,105",961,"1,506",398,"1,158",399,"2,110","2,577","1,359","1,510"
2021년04월_계_80~89세,"12,007",620,528,165,221,128,399,235,96,592,273,205,207,170,412,416,603,567,864,238,664,252,"1,198","1,483",644,827
2021년04월_계_90~99세,"1,899",96,113,14,30,22,72,43,12,105,42,22,43,38,59,68,95,86,132,34,81,35,167,234,124,132
2021년04월_계_100세 이상,62,2,3,1,0,1,5,0,0,4,4,2,0,1,4,5,1,4,3,1,2,1,5,3,8,2
2021년04월_남_총인구수,"139,412","3,810","9,769",801,"1,315",586,"1,928","1,253",528,"8,631","1,828","1,833","1,350","1,057","4,398","4,616","5,813","7,096","10,112","2,257","6,348","2,243","17,196","23,918","9,317","11,409"
2021년04월_남_연령구간인구수,"139,412","3,810","9,769",801,"1,315",586,"1,928","1,253",528,"8,631","1,828","1,833","1,350","1,057","4,398","4,616","5,813","7,096","10,112","2,257","6,348","2,243","17,196","23,918","9,317","11,409"
2021년04월_남_0~9세,"10,950",155,"1,103",10,56,18,46,32,7,753,46,61,46,39,496,365,262,655,906,164,204,83,"1,209","2,245",790,"1,199"
2021년04월_남_10~19세,"13,884",238,"1,266",37,55,15,110,83,11,884,84,101,68,61,369,402,431,747,971,210,349,116,"2,212","3,028",813,"1,223"
2021년04월_남_20~29세,"19,885",421,"1,052",72,154,25,125,109,22,"1,112",125,474,180,154,514,641,982,"1,086","1,340",295,"1,634",485,"2,662","3,368","1,267","1,586"
2021년04월_남_30~39세,"17,352",350,"1,109",63,97,32,113,65,25,"1,205",144,229,162,97,756,622,748,"1,066","1,452",249,788,324,"1,861","2,973","1,323","1,499"
2021년04월_남_40~49세,"20,832",472,"1,794",74,141,51,194,109,34,"1,459",218,203,200,128,604,672,783,"1,004","1,494",351,782,274,"2,744","3,876","1,382","1,789"
2021년04월_남_50~59세,"23,465",735,"1,568",148,287,131,382,226,107,"1,398",370,268,246,209,683,807,966,"1,114","1,615",378,"1,002",341,"3,171","4,014","1,515","1,784"
2021년04월_남_60~69세,"19,097",772,"1,224",236,301,158,525,345,184,"1,140",469,234,239,186,547,629,915,807,"1,389",328,841,324,"1,963","2,737","1,290","1,314"
2021년04월_남_70~79세,"9,156",428,451,97,142,96,293,189,92,443,255,187,137,117,255,308,491,400,637,166,488,172,883,"1,084",669,676
2021년04월_남_80~89세,"4,306",209,183,60,76,54,126,87,43,207,103,67,63,58,148,149,215,190,273,105,246,113,452,535,235,309
2021년04월_남_90~99세,467,29,19,4,6,6,14,8,3,29,12,8,9,7,24,19,20,27,33,11,12,11,38,58,30,30
2021년04월_남_100세 이상,18,1,0,0,0,0,0,0,0,1,2,1,0,1,2,2,0,0,2,0,2,0,1,0,3,0
2021년04월_여_총인구수,"142,914","3,801","9,937",663,"1,245",495,"1,836","1,275",426,"8,680","1,643","1,711","1,423","1,114","4,274","4,891","5,912","7,770","11,103","2,257","5,598","2,210","17,917","25,730","9,745","11,258"
2021년04월_여_연령구간인구수,"142,914","3,801","9,937",663,"1,245",495,"1,836","1,275",426,"8,680","1,643","1,711","1,423","1,114","4,274","4,891","5,912","7,770","11,103","2,257","5,598","2,210","17,917","25,730","9,745","11,258"
2021년04월_여_0~9세,"10,367",167,"1,030",17,48,7,56,31,6,663,35,38,38,39,424,388,241,642,875,173,208,72,"1,211","2,164",734,"1,060"
2021년04월_여_10~19세,"12,859",226,"1,195",20,76,14,75,61,12,827,72,84,58,53,290,357,422,676,954,163,324,114,"2,121","2,841",764,"1,060"
2021년04월_여_20~29세,"17,354",329,875,49,101,16,101,73,14,"1,057",106,393,174,104,486,583,881,"1,076","1,293",240,"1,088",492,"2,403","3,033","1,164","1,223"
2021년04월_여_30~39세,"16,654",299,"1,254",36,86,22,106,49,12,"1,122",100,177,133,91,677,588,595,"1,055","1,400",220,531,266,"1,782","3,216","1,285","1,552"
2021년04월_여_40~49세,"21,287",406,"1,837",38,107,35,140,109,25,"1,404",145,178,154,115,562,654,719,"1,127","1,610",329,592,210,"3,086","4,486","1,449","1,770"
2021년04월_여_50~59세,"23,220",660,"1,499",103,214,82,307,243,82,"1,377",287,232,225,179,530,841,968,"1,250","1,814",382,799,315,"3,107","4,348","1,678","1,698"
2021년04월_여_60~69세,"20,312",735,"1,259",177,306,127,433,322,115,"1,178",450,272,264,206,571,704,"1,008",943,"1,597",361,899,350,"2,101","3,022","1,473","1,439"
2021년04월_여_70~79세,"11,684",500,546,107,138,101,282,204,98,588,246,184,199,184,433,457,614,561,869,232,670,227,"1,227","1,493",690,834
2021년04월_여_80~89세,"7,701",411,345,105,145,74,273,148,53,385,170,138,144,112,264,267,388,377,591,133,418,139,746,948,409,518
2021년04월_여_90~99세,"1,432",67,94,10,24,16,58,35,9,76,30,14,34,31,35,49,75,59,99,23,69,24,129,176,94,102
2021년04월_여_100세 이상,44,1,3,1,0,1,5,0,0,3,2,1,0,0,2,3,1,4,1,1,0,1,4,3,5,2
