,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2020년05월_계_총인구수,"62,193","29,364","8,638","2,384","4,380","5,385","5,352","4,393","2,297"
2020년05월_계_연령구간인구수,"62,193","29,364","8,638","2,384","4,380","5,385","5,352","4,393","2,297"
2020년05월_계_0~9세,"3,183","2,265",332,65,126,117,113,118,47
2020년05월_계_10~19세,"4,491","2,932",557,131,180,203,203,184,101
2020년05월_계_20~29세,"5,134","2,959",575,114,470,310,259,325,122
2020년05월_계_30~39세,"5,311","3,318",602,128,263,328,269,279,124
2020년05월_계_40~49세,"7,781","4,500","1,040",239,396,493,527,399,187
2020년05월_계_50~59세,"10,869","4,964","1,545",460,761,"1,005",981,770,383
2020년05월_계_60~69세,"11,697","4,130","1,891",530,989,"1,349","1,303",963,542
2020년05월_계_70~79세,"8,662","2,803","1,400",444,727,988,"1,050",806,444
2020년05월_계_80~89세,"4,452","1,318",592,248,413,521,579,476,305
2020년05월_계_90~99세,589,171,93,25,54,68,67,71,40
2020년05월_계_100세 이상,24,4,11,0,1,3,1,2,2
2020년05월_남_총인구수,"31,354","14,817","4,297","1,144","2,263","2,778","2,656","2,243","1,156"
2020년05월_남_연령구간인구수,"31,354","14,817","4,297","1,144","2,263","2,778","2,656","2,243","1,156"
2020년05월_남_0~9세,"1,571","1,132",162,25,55,54,60,58,25
2020년05월_남_10~19세,"2,332","1,504",304,57,97,117,103,95,55
2020년05월_남_20~29세,"3,016","1,692",331,65,328,198,145,193,64
2020년05월_남_30~39세,"2,970","1,781",334,71,151,216,161,179,77
2020년05월_남_40~49세,"4,415","2,388",595,149,249,316,338,251,129
2020년05월_남_50~59세,"5,695","2,541",813,248,391,544,518,420,220
2020년05월_남_60~69세,"5,616","1,977",886,253,492,648,634,463,263
2020년05월_남_70~79세,"4,050","1,316",645,191,339,467,486,399,207
2020년05월_남_80~89세,"1,559",447,206,81,145,201,198,169,112
2020년05월_남_90~99세,126,39,19,4,15,17,13,15,4
2020년05월_남_100세 이상,4,0,2,0,1,0,0,1,0
2020년05월_여_총인구수,"30,839","14,547","4,341","1,240","2,117","2,607","2,696","2,150","1,141"
2020년05월_여_연령구간인구수,"30,839","14,547","4,341","1,240","2,117","2,607","2,696","2,150","1,141"
2020년05월_여_0~9세,"1,612","1,133",170,40,71,63,53,60,22
2020년05월_여_10~19세,"2,159","1,428",253,74,83,86,100,89,46
2020년05월_여_20~29세,"2,118","1,267",244,49,142,112,114,132,58
2020년05월_여_30~39세,"2,341","1,537",268,57,112,112,108,100,47
2020년05월_여_40~49세,"3,366","2,112",445,90,147,177,189,148,58
2020년05월_여_50~59세,"5,174","2,423",732,212,370,461,463,350,163
2020년05월_여_60~69세,"6,081","2,153","1,005",277,497,701,669,500,279
2020년05월_여_70~79세,"4,612","1,487",755,253,388,521,564,407,237
2020년05월_여_80~89세,"2,893",871,386,167,268,320,381,307,193
2020년05월_여_90~99세,463,132,74,21,39,51,54,56,36
2020년05월_여_100세 이상,20,4,9,0,0,3,1,1,2
