카테고리,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2020년10월_계_총인구수,"425,558","21,019","20,200","31,736","31,573","28,924","12,048","32,420","16,165","22,326","19,441","21,186","17,357","20,335","21,523","23,828","44,794","22,502","18,181"
2020년10월_계_연령구간인구수,"425,558","21,019","20,200","31,736","31,573","28,924","12,048","32,420","16,165","22,326","19,441","21,186","17,357","20,335","21,523","23,828","44,794","22,502","18,181"
2020년10월_계_0~9세,"34,246","1,528","1,634","1,775","3,021","2,214",611,"3,101","1,877","2,015","1,730","1,525","1,182","1,191","1,363","1,689","4,215","1,477","2,098"
2020년10월_계_10~19세,"45,253","1,981","1,794","2,767","4,226","3,523","1,923","3,529","2,769","2,949","2,177","2,784","1,343","1,633","2,012","2,638","4,292","1,633","1,280"
2020년10월_계_20~29세,"55,336","2,835","2,914","5,268","3,605","3,775","1,501","4,262","1,385","2,499","2,333","2,693","2,534","2,903","2,820","3,232","5,443","3,378","1,956"
2020년10월_계_30~39세,"63,676","3,619","4,036","5,330","3,806","4,014",900,"5,592","1,579","2,642","2,691","2,454","3,012","3,182","2,980","3,655","6,879","4,523","2,782"
2020년10월_계_40~49세,"77,551","3,793","3,606","5,011","6,440","5,669","2,310","6,626","3,748","4,595","3,596","3,979","2,842","3,089","3,282","4,332","7,798","3,791","3,044"
2020년10월_계_50~59세,"63,003","2,971","2,697","4,851","4,739","4,706","2,151","4,115","2,130","3,461","2,845","3,437","2,465","3,196","3,552","3,542","6,291","3,336","2,518"
2020년10월_계_60~69세,"47,483","2,387","1,982","3,652","3,048","2,864","1,252","2,957","1,334","2,236","2,320","2,262","2,114","2,849","3,176","2,390","5,628","2,597","2,435"
2020년10월_계_70~79세,"27,292","1,340","1,108","2,139","1,854","1,431","1,007","1,620",931,"1,308","1,229","1,319","1,329","1,656","1,641","1,632","2,993","1,302","1,453"
2020년10월_계_80~89세,"9,685",468,331,798,691,587,343,501,325,509,419,623,445,530,581,620,"1,028",370,516
2020년10월_계_90~99세,"1,805",94,80,128,124,121,38,98,60,98,96,102,78,92,114,86,222,87,87
2020년10월_계_100세 이상,228,3,18,17,19,20,12,19,27,14,5,8,13,14,2,12,5,8,12
2020년10월_남_총인구수,"203,507","10,118","9,581","15,433","15,370","13,835","5,694","15,673","7,702","10,559","9,173","9,824","8,117","9,542","10,401","10,898","21,430","11,324","8,833"
2020년10월_남_연령구간인구수,"203,507","10,118","9,581","15,433","15,370","13,835","5,694","15,673","7,702","10,559","9,173","9,824","8,117","9,542","10,401","10,898","21,430","11,324","8,833"
2020년10월_남_0~9세,"17,732",805,809,932,"1,591","1,159",324,"1,547",996,"1,053",912,772,600,602,712,854,"2,186",819,"1,059"
2020년10월_남_10~19세,"23,052","1,023",952,"1,592","2,196","1,801",974,"1,810","1,356","1,494","1,128","1,299",713,839,"1,020","1,201","2,184",826,644
2020년10월_남_20~29세,"26,564","1,353","1,282","2,471","1,743","1,794",729,"1,955",675,"1,237","1,109","1,264","1,208","1,434","1,474","1,426","2,677","1,710","1,023"
2020년10월_남_30~39세,"29,298","1,658","1,854","2,526","1,649","1,829",403,"2,524",631,"1,152","1,179","1,083","1,348","1,475","1,423","1,622","3,278","2,371","1,293"
2020년10월_남_40~49세,"36,467","1,822","1,726","2,379","3,013","2,599",953,"3,339","1,706","2,065","1,631","1,754","1,304","1,441","1,505","1,937","3,801","1,946","1,546"
2020년10월_남_50~59세,"30,962","1,450","1,336","2,379","2,465","2,349","1,097","2,127","1,142","1,746","1,369","1,712","1,155","1,455","1,664","1,712","2,997","1,634","1,173"
2020년10월_남_60~69세,"21,915","1,128",919,"1,708","1,439","1,370",594,"1,393",611,"1,015","1,053","1,069",944,"1,250","1,496","1,092","2,471","1,219","1,144"
2020년10월_남_70~79세,"12,771",658,511,"1,033",901,648,438,738,411,565,577,580,618,779,824,739,"1,409",619,723
2020년10월_남_80~89세,"4,189",189,165,369,329,244,170,211,151,205,182,260,192,238,251,294,382,157,200
2020년10월_남_90~99세,496,31,25,39,38,32,10,25,14,26,31,31,29,27,32,19,44,18,25
2020년10월_남_100세 이상,61,1,2,5,6,10,2,4,9,1,2,0,6,2,0,2,1,5,3
2020년10월_여_총인구수,"222,051","10,901","10,619","16,303","16,203","15,089","6,354","16,747","8,463","11,767","10,268","11,362","9,240","10,793","11,122","12,930","23,364","11,178","9,348"
2020년10월_여_연령구간인구수,"222,051","10,901","10,619","16,303","16,203","15,089","6,354","16,747","8,463","11,767","10,268","11,362","9,240","10,793","11,122","12,930","23,364","11,178","9,348"
2020년10월_여_0~9세,"16,514",723,825,843,"1,430","1,055",287,"1,554",881,962,818,753,582,589,651,835,"2,029",658,"1,039"
2020년10월_여_10~19세,"22,201",958,842,"1,175","2,030","1,722",949,"1,719","1,413","1,455","1,049","1,485",630,794,992,"1,437","2,108",807,636
2020년10월_여_20~29세,"28,772","1,482","1,632","2,797","1,862","1,981",772,"2,307",710,"1,262","1,224","1,429","1,326","1,469","1,346","1,806","2,766","1,668",933
2020년10월_여_30~39세,"34,378","1,961","2,182","2,804","2,157","2,185",497,"3,068",948,"1,490","1,512","1,371","1,664","1,707","1,557","2,033","3,601","2,152","1,489"
2020년10월_여_40~49세,"41,084","1,971","1,880","2,632","3,427","3,070","1,357","3,287","2,042","2,530","1,965","2,225","1,538","1,648","1,777","2,395","3,997","1,845","1,498"
2020년10월_여_50~59세,"32,041","1,521","1,361","2,472","2,274","2,357","1,054","1,988",988,"1,715","1,476","1,725","1,310","1,741","1,888","1,830","3,294","1,702","1,345"
2020년10월_여_60~69세,"25,568","1,259","1,063","1,944","1,609","1,494",658,"1,564",723,"1,221","1,267","1,193","1,170","1,599","1,680","1,298","3,157","1,378","1,291"
2020년10월_여_70~79세,"14,521",682,597,"1,106",953,783,569,882,520,743,652,739,711,877,817,893,"1,584",683,730
2020년10월_여_80~89세,"5,496",279,166,429,362,343,173,290,174,304,237,363,253,292,330,326,646,213,316
2020년10월_여_90~99세,"1,309",63,55,89,86,89,28,73,46,72,65,71,49,65,82,67,178,69,62
2020년10월_여_100세 이상,167,2,16,12,13,10,10,15,18,13,3,8,7,12,2,10,4,3,9
