카테고리,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2020년03월_계_총인구수,"148,083","12,727","9,335","10,970","17,305","11,727","11,531","11,202","11,354","8,253","9,723","15,998","9,428","8,530"
2020년03월_계_연령구간인구수,"148,083","12,727","9,335","10,970","17,305","11,727","11,531","11,202","11,354","8,253","9,723","15,998","9,428","8,530"
2020년03월_계_0~9세,"7,188",869,406,696,897,582,422,403,497,303,593,837,359,324
2020년03월_계_10~19세,"9,829","1,075",542,896,"1,424",821,710,657,671,469,648,934,530,452
2020년03월_계_20~29세,"20,284","1,282","1,147","1,142","2,072","1,733","2,036","1,493","1,645","1,571","1,388","2,387","1,395",993
2020년03월_계_30~39세,"17,656","1,406","1,179","1,159","1,940","1,455","1,392","1,202","1,253",970,"1,384","2,210","1,147",959
2020년03월_계_40~49세,"20,919","2,052","1,389","1,503","2,634","1,682","1,538","1,550","1,463","1,040","1,432","2,339","1,225","1,072"
2020년03월_계_50~59세,"25,500","2,016","1,677","1,863","2,979","2,040","1,877","2,066","2,061","1,355","1,565","2,743","1,648","1,610"
2020년03월_계_60~69세,"23,587","1,766","1,476","1,842","2,725","1,818","1,726","1,955","2,032","1,233","1,413","2,329","1,620","1,652"
2020년03월_계_70~79세,"15,086","1,393",928,"1,148","1,664","1,093","1,219","1,273","1,192",859,838,"1,494",989,996
2020년03월_계_80~89세,"7,063",748,529,622,864,425,548,528,485,399,404,627,462,422
2020년03월_계_90~99세,883,113,55,92,94,74,56,64,48,49,54,86,51,47
2020년03월_계_100세 이상,88,7,7,7,12,4,7,11,7,5,4,12,2,3
2020년03월_남_총인구수,"71,248","6,052","4,498","5,272","8,182","5,721","5,491","5,581","5,543","3,923","4,642","7,800","4,464","4,079"
2020년03월_남_연령구간인구수,"71,248","6,052","4,498","5,272","8,182","5,721","5,491","5,581","5,543","3,923","4,642","7,800","4,464","4,079"
2020년03월_남_0~9세,"3,736",477,205,362,485,297,212,215,249,172,288,434,182,158
2020년03월_남_10~19세,"5,182",582,295,462,723,452,338,354,380,247,336,490,282,241
2020년03월_남_20~29세,"10,261",666,557,604,"1,046",874,982,794,857,705,698,"1,235",697,546
2020년03월_남_30~39세,"9,226",702,624,600,968,755,740,675,700,503,680,"1,144",596,539
2020년03월_남_40~49세,"10,530","1,000",717,699,"1,234",866,809,853,763,559,709,"1,181",605,535
2020년03월_남_50~59세,"12,313",994,830,895,"1,459",971,903,"1,068",994,651,754,"1,290",776,728
2020년03월_남_60~69세,"10,789",776,686,865,"1,213",837,803,887,920,566,664,"1,097",725,750
2020년03월_남_70~79세,"6,426",547,382,514,699,496,501,535,516,357,367,658,435,419
2020년03월_남_80~89세,"2,542",278,189,237,327,156,184,185,153,149,135,246,153,150
2020년03월_남_90~99세,223,30,11,32,26,17,16,13,8,13,11,23,12,11
2020년03월_남_100세 이상,20,0,2,2,2,0,3,2,3,1,0,2,1,2
2020년03월_여_총인구수,"76,835","6,675","4,837","5,698","9,123","6,006","6,040","5,621","5,811","4,330","5,081","8,198","4,964","4,451"
2020년03월_여_연령구간인구수,"76,835","6,675","4,837","5,698","9,123","6,006","6,040","5,621","5,811","4,330","5,081","8,198","4,964","4,451"
2020년03월_여_0~9세,"3,452",392,201,334,412,285,210,188,248,131,305,403,177,166
2020년03월_여_10~19세,"4,647",493,247,434,701,369,372,303,291,222,312,444,248,211
2020년03월_여_20~29세,"10,023",616,590,538,"1,026",859,"1,054",699,788,866,690,"1,152",698,447
2020년03월_여_30~39세,"8,430",704,555,559,972,700,652,527,553,467,704,"1,066",551,420
2020년03월_여_40~49세,"10,389","1,052",672,804,"1,400",816,729,697,700,481,723,"1,158",620,537
2020년03월_여_50~59세,"13,187","1,022",847,968,"1,520","1,069",974,998,"1,067",704,811,"1,453",872,882
2020년03월_여_60~69세,"12,798",990,790,977,"1,512",981,923,"1,068","1,112",667,749,"1,232",895,902
2020년03월_여_70~79세,"8,660",846,546,634,965,597,718,738,676,502,471,836,554,577
2020년03월_여_80~89세,"4,521",470,340,385,537,269,364,343,332,250,269,381,309,272
2020년03월_여_90~99세,660,83,44,60,68,57,40,51,40,36,43,63,39,36
2020년03월_여_100세 이상,68,7,5,5,10,4,4,9,4,4,4,10,1,1
