카테고리,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2021년05월_계_총인구수,"2,936,382","139,930","61,530","404,236","390,971","521,719","490,970","296,705","540,790","69,212","20,319"
2021년05월_계_연령구간인구수,"2,936,382","139,930","61,530","404,236","390,971","521,719","490,970","296,705","540,790","69,212","20,319"
2021년05월_계_0~9세,"222,752","11,688","3,569","26,724","38,292","40,035","31,783","18,063","48,382","3,300",916
2021년05월_계_10~19세,"272,047","12,749","4,952","31,542","43,139","49,283","42,326","26,182","56,252","4,547","1,075"
2021년05월_계_20~29세,"396,381","18,763","6,484","56,824","52,163","70,064","68,938","43,571","71,777","5,196","2,601"
2021년05월_계_30~39세,"401,434","21,287","6,636","55,418","57,859","70,742","66,488","37,842","78,025","5,295","1,842"
2021년05월_계_40~49세,"480,455","24,585","9,746","63,185","69,013","87,720","76,051","45,252","94,885","7,669","2,349"
2021년05월_계_50~59세,"509,592","20,654","9,978","66,832","64,835","89,365","89,052","60,130","93,435","11,770","3,541"
2021년05월_계_60~69세,"383,139","16,457","10,191","57,218","41,001","68,419","68,414","41,338","61,079","14,811","4,211"
2021년05월_계_70~79세,"177,840","9,265","6,575","31,192","15,792","31,035","31,420","15,622","24,580","9,979","2,380"
2021년05월_계_80~89세,"79,701","3,846","2,943","13,227","7,455","12,960","14,270","7,508","10,570","5,780","1,142"
2021년05월_계_90~99세,"12,508",613,418,"1,986","1,374","2,012","2,113","1,168","1,730",846,248
2021년05월_계_100세 이상,533,23,38,88,48,84,115,29,75,19,14
2021년05월_남_총인구수,"1,470,528","72,745","31,066","203,564","194,351","259,035","242,647","147,864","273,106","34,626","11,524"
2021년05월_남_연령구간인구수,"1,470,528","72,745","31,066","203,564","194,351","259,035","242,647","147,864","273,106","34,626","11,524"
2021년05월_남_0~9세,"114,400","6,045","1,858","13,657","19,574","20,610","16,232","9,204","25,019","1,737",464
2021년05월_남_10~19세,"139,854","6,604","2,575","16,269","22,137","25,196","21,920","13,419","28,817","2,336",581
2021년05월_남_20~29세,"206,594","9,578","3,522","29,945","27,074","36,133","35,438","22,843","37,242","2,936","1,883"
2021년05월_남_30~39세,"207,679","11,563","3,568","29,752","28,476","36,449","34,340","19,728","39,891","2,783","1,129"
2021년05월_남_40~49세,"245,819","13,431","5,254","33,428","34,017","44,656","38,363","22,576","48,447","4,169","1,478"
2021년05월_남_50~59세,"254,664","11,424","5,327","33,679","31,956","44,057","43,547","29,243","47,332","6,045","2,054"
2021년05월_남_60~69세,"189,846","8,247","4,937","27,371","21,054","33,001","33,303","21,131","31,120","7,405","2,277"
2021년05월_남_70~79세,"81,296","4,293","2,889","14,160","7,313","14,112","14,190","7,052","11,385","4,717","1,185"
2021년05월_남_80~89세,"27,624","1,413","1,031","4,825","2,452","4,422","4,862","2,417","3,492","2,292",418
2021년05월_남_90~99세,"2,625",140,96,453,288,385,430,244,338,200,51
2021년05월_남_100세 이상,127,7,9,25,10,14,22,7,23,6,4
2021년05월_여_총인구수,"1,465,854","67,185","30,464","200,672","196,620","262,684","248,323","148,841","267,684","34,586","8,795"
2021년05월_여_연령구간인구수,"1,465,854","67,185","30,464","200,672","196,620","262,684","248,323","148,841","267,684","34,586","8,795"
2021년05월_여_0~9세,"108,352","5,643","1,711","13,067","18,718","19,425","15,551","8,859","23,363","1,563",452
2021년05월_여_10~19세,"132,193","6,145","2,377","15,273","21,002","24,087","20,406","12,763","27,435","2,211",494
2021년05월_여_20~29세,"189,787","9,185","2,962","26,879","25,089","33,931","33,500","20,728","34,535","2,260",718
2021년05월_여_30~39세,"193,755","9,724","3,068","25,666","29,383","34,293","32,148","18,114","38,134","2,512",713
2021년05월_여_40~49세,"234,636","11,154","4,492","29,757","34,996","43,064","37,688","22,676","46,438","3,500",871
2021년05월_여_50~59세,"254,928","9,230","4,651","33,153","32,879","45,308","45,505","30,887","46,103","5,725","1,487"
2021년05월_여_60~69세,"193,293","8,210","5,254","29,847","19,947","35,418","35,111","20,207","29,959","7,406","1,934"
2021년05월_여_70~79세,"96,544","4,972","3,686","17,032","8,479","16,923","17,230","8,570","13,195","5,262","1,195"
2021년05월_여_80~89세,"52,077","2,433","1,912","8,402","5,003","8,538","9,408","5,091","7,078","3,488",724
2021년05월_여_90~99세,"9,883",473,322,"1,533","1,086","1,627","1,683",924,"1,392",646,197
2021년05월_여_100세 이상,406,16,29,63,38,70,93,22,52,13,10
