카테고리,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2021년09월_계_총인구수,"64,036","19,691","11,987","3,666","2,330","1,542","2,351","2,815","1,410","1,828","1,144","1,651","2,856","2,722","3,109","2,833","2,101"
2021년09월_계_연령구간인구수,"64,036","19,691","11,987","3,666","2,330","1,542","2,351","2,815","1,410","1,828","1,144","1,651","2,856","2,722","3,109","2,833","2,101"
2021년09월_계_0~9세,"2,738",967,922,97,42,45,56,85,20,41,20,34,97,71,86,97,58
2021년09월_계_10~19세,"4,466","1,795","1,165",190,109,53,137,145,56,76,29,48,131,103,128,209,92
2021년09월_계_20~29세,"5,075","2,047","1,306",204,108,63,120,170,63,91,50,63,158,152,168,210,102
2021년09월_계_30~39세,"4,158","1,507","1,170",172,90,77,115,122,51,67,53,55,130,135,164,132,118
2021년09월_계_40~49세,"6,828","2,499","1,697",322,172,105,206,259,93,142,65,106,238,216,260,288,160
2021년09월_계_50~59세,"10,331","3,525","1,921",595,372,238,355,403,205,225,170,201,408,392,505,502,314
2021년09월_계_60~69세,"13,559","3,713","1,858",970,606,399,512,654,365,429,313,438,658,631,772,656,585
2021년09월_계_70~79세,"9,334","2,222","1,089",603,467,306,446,569,297,379,230,341,583,506,563,396,337
2021년09월_계_80~89세,"6,482","1,206",745,457,309,221,341,359,219,317,185,312,382,441,402,302,284
2021년09월_계_90~99세,"1,027",203,110,50,52,35,61,46,40,59,29,51,69,74,60,39,49
2021년09월_계_100세 이상,38,7,4,6,3,0,2,3,1,2,0,2,2,1,1,2,2
2021년09월_남_총인구수,"31,820","9,805","5,918","1,849","1,146",766,"1,157","1,358",682,885,577,780,"1,420","1,369","1,578","1,473","1,057"
2021년09월_남_연령구간인구수,"31,820","9,805","5,918","1,849","1,146",766,"1,157","1,358",682,885,577,780,"1,420","1,369","1,578","1,473","1,057"
2021년09월_남_0~9세,"1,457",514,486,58,23,24,32,45,12,23,9,15,46,42,40,52,36
2021년09월_남_10~19세,"2,364",953,604,89,71,31,65,76,24,40,22,28,70,64,66,114,47
2021년09월_남_20~29세,"2,935","1,208",685,129,70,39,76,104,38,58,26,33,98,86,100,122,63
2021년09월_남_30~39세,"2,260",785,572,108,58,45,69,71,39,38,34,32,76,79,98,86,70
2021년09월_남_40~49세,"3,720","1,278",875,182,98,62,127,135,51,89,40,58,141,150,165,166,103
2021년09월_남_50~59세,"5,461","1,801","1,011",315,196,120,183,214,114,122,98,110,234,209,264,297,173
2021년09월_남_60~69세,"6,812","1,787",919,506,292,222,260,314,177,218,152,222,334,342,410,345,312
2021년09월_남_70~79세,"4,241","1,011",478,282,211,143,207,249,144,162,115,154,262,224,269,179,151
2021년09월_남_80~89세,"2,313",424,263,162,118,72,122,138,73,119,75,117,140,151,147,101,91
2021년09월_남_90~99세,253,43,25,17,9,8,16,12,10,15,6,11,19,22,19,10,11
2021년09월_남_100세 이상,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2021년09월_여_총인구수,"32,216","9,886","6,069","1,817","1,184",776,"1,194","1,457",728,943,567,871,"1,436","1,353","1,531","1,360","1,044"
2021년09월_여_연령구간인구수,"32,216","9,886","6,069","1,817","1,184",776,"1,194","1,457",728,943,567,871,"1,436","1,353","1,531","1,360","1,044"
2021년09월_여_0~9세,"1,281",453,436,39,19,21,24,40,8,18,11,19,51,29,46,45,22
2021년09월_여_10~19세,"2,102",842,561,101,38,22,72,69,32,36,7,20,61,39,62,95,45
2021년09월_여_20~29세,"2,140",839,621,75,38,24,44,66,25,33,24,30,60,66,68,88,39
2021년09월_여_30~39세,"1,898",722,598,64,32,32,46,51,12,29,19,23,54,56,66,46,48
2021년09월_여_40~49세,"3,108","1,221",822,140,74,43,79,124,42,53,25,48,97,66,95,122,57
2021년09월_여_50~59세,"4,870","1,724",910,280,176,118,172,189,91,103,72,91,174,183,241,205,141
2021년09월_여_60~69세,"6,747","1,926",939,464,314,177,252,340,188,211,161,216,324,289,362,311,273
2021년09월_여_70~79세,"5,093","1,211",611,321,256,163,239,320,153,217,115,187,321,282,294,217,186
2021년09월_여_80~89세,"4,169",782,482,295,191,149,219,221,146,198,110,195,242,290,255,201,193
2021년09월_여_90~99세,774,160,85,33,43,27,45,34,30,44,23,40,50,52,41,29,38
2021년09월_여_100세 이상,34,6,4,5,3,0,2,3,1,1,0,2,2,1,1,1,2
