,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2020년10월_계_총인구수,"479,806","22,810","15,118","18,129","16,657","16,372","12,587","27,407","19,342","12,391","24,055","21,923","25,191","11,185","15,199","21,991","41,511","15,881","50,896","3,824","17,204","36,733","13,117","20,283"
2020년10월_계_연령구간인구수,"479,806","22,810","15,118","18,129","16,657","16,372","12,587","27,407","19,342","12,391","24,055","21,923","25,191","11,185","15,199","21,991","41,511","15,881","50,896","3,824","17,204","36,733","13,117","20,283"
2020년10월_계_0~9세,"38,686","2,182",722,898,"1,130","1,029",656,"1,723","1,248",878,"1,974","1,189","1,524",420,802,"1,867","5,495","1,334","6,426",99,"1,583","3,297",999,"1,211"
2020년10월_계_10~19세,"50,071","3,054","1,032","1,477","1,506","1,258",649,"2,456","1,322","1,142","2,676","1,714","2,095",597,"1,341","2,767","4,707","1,648","6,260",167,"3,430","4,449","1,380","2,944"
2020년10월_계_20~29세,"74,236","2,882","2,428","2,558","2,134","2,192","2,514","5,402","4,462","1,670","3,154","4,252","5,619","2,752","1,932","2,882","5,019","2,820","6,854",297,"1,697","5,574","2,384","2,758"
2020년10월_계_30~39세,"66,610","2,706","1,577","1,898","1,799","2,041","2,140","4,615","3,589","1,550","2,817","3,500","4,257","1,867","1,570","2,664","6,776","2,041","8,351",280,"1,441","5,409","2,016","1,706"
2020년10월_계_40~49세,"79,031","4,361","1,835","2,499","2,372","2,343","1,717","4,508","2,878","1,909","4,079","3,207","3,822","1,574","1,997","3,523","7,709","2,411","9,567",411,"4,021","6,538","2,212","3,538"
2020년10월_계_50~59세,"78,067","3,503","2,690","3,179","3,179","2,963","1,876","4,426","2,537","2,013","3,914","3,522","4,091","1,903","2,916","4,048","5,688","2,865","7,363",723,"2,484","6,357","2,235","3,592"
2020년10월_계_60~69세,"54,210","2,409","2,652","3,084","2,625","2,557","1,656","2,591","1,939","1,770","3,104","2,851","2,413","1,257","2,506","2,821","3,807","1,518","3,580",747,"1,317","3,334","1,189","2,483"
2020년10월_계_70~79세,"25,887","1,196","1,531","1,705","1,250","1,368",926,"1,087",947,996,"1,630","1,164",907,557,"1,287",915,"1,552",791,"1,655",613,809,"1,159",469,"1,373"
2020년10월_계_80~89세,"11,240",451,573,729,577,535,399,529,366,404,621,450,414,221,714,436,633,392,726,392,356,541,195,586
2020년10월_계_90~99세,"1,679",64,73,98,83,80,49,67,49,55,80,66,49,35,132,67,120,60,102,90,64,71,38,87
2020년10월_계_100세 이상,89,2,5,4,2,6,5,3,5,4,6,8,0,2,2,1,5,1,12,5,2,4,0,5
2020년10월_남_총인구수,"236,113","11,216","7,634","9,184","8,163","8,345","5,965","13,263","9,408","6,020","11,588","11,179","12,544","5,996","7,224","10,820","20,466","7,578","24,889","1,958","8,477","17,809","6,575","9,812"
2020년10월_남_연령구간인구수,"236,113","11,216","7,634","9,184","8,163","8,345","5,965","13,263","9,408","6,020","11,588","11,179","12,544","5,996","7,224","10,820","20,466","7,578","24,889","1,958","8,477","17,809","6,575","9,812"
2020년10월_남_0~9세,"19,955","1,123",391,485,587,562,352,919,629,436,"1,018",656,764,223,389,947,"2,807",694,"3,296",54,796,"1,698",511,618
2020년10월_남_10~19세,"25,884","1,557",525,775,806,655,329,"1,301",680,582,"1,288",912,994,318,692,"1,490","2,399",846,"3,210",86,"1,814","2,333",717,"1,575"
2020년10월_남_20~29세,"37,781","1,446","1,318","1,422","1,148","1,185","1,116","2,500","2,037",854,"1,653","2,230","2,868","1,486","1,027","1,588","2,558","1,334","3,436",172,898,"2,727","1,293","1,485"
2020년10월_남_30~39세,"34,008","1,315",878,"1,043",918,"1,114","1,109","2,338","1,922",791,"1,428","2,006","2,277","1,118",825,"1,269","3,240","1,027","4,096",162,628,"2,592","1,071",841
2020년10월_남_40~49세,"38,192","2,096","1,004","1,347","1,161","1,221",896,"2,152","1,471",929,"1,921","1,588","1,931",884,923,"1,625","3,899","1,083","4,520",250,"1,787","2,926","1,055","1,523"
2020년10월_남_50~59세,"37,862","1,748","1,312","1,556","1,460","1,505",870,"2,136","1,170",964,"1,846","1,687","1,974",976,"1,366","1,851","2,739","1,338","3,662",394,"1,338","3,109","1,051","1,810"
2020년10월_남_60~69세,"26,142","1,148","1,252","1,453","1,292","1,233",734,"1,255",920,830,"1,411","1,337","1,149",632,"1,242","1,463","1,840",775,"1,680",410,661,"1,687",593,"1,145"
2020년10월_남_70~79세,"11,871",597,709,789,561,622,404,468,424,461,766,588,443,267,537,424,729,331,754,282,387,532,203,593
2020년10월_남_80~89세,"4,021",170,226,293,212,227,139,183,145,162,230,166,135,85,194,147,226,135,216,130,142,186,71,201
2020년10월_남_90~99세,380,15,18,21,17,20,15,11,10,11,24,7,9,6,28,16,29,15,15,18,25,19,10,21
2020년10월_남_100세 이상,17,1,1,0,1,1,1,0,0,0,3,2,0,1,1,0,0,0,4,0,1,0,0,0
2020년10월_여_총인구수,"243,693","11,594","7,484","8,945","8,494","8,027","6,622","14,144","9,934","6,371","12,467","10,744","12,647","5,189","7,975","11,171","21,045","8,303","26,007","1,866","8,727","18,924","6,542","10,471"
2020년10월_여_연령구간인구수,"243,693","11,594","7,484","8,945","8,494","8,027","6,622","14,144","9,934","6,371","12,467","10,744","12,647","5,189","7,975","11,171","21,045","8,303","26,007","1,866","8,727","18,924","6,542","10,471"
2020년10월_여_0~9세,"18,731","1,059",331,413,543,467,304,804,619,442,956,533,760,197,413,920,"2,688",640,"3,130",45,787,"1,599",488,593
2020년10월_여_10~19세,"24,187","1,497",507,702,700,603,320,"1,155",642,560,"1,388",802,"1,101",279,649,"1,277","2,308",802,"3,050",81,"1,616","2,116",663,"1,369"
2020년10월_여_20~29세,"36,455","1,436","1,110","1,136",986,"1,007","1,398","2,902","2,425",816,"1,501","2,022","2,751","1,266",905,"1,294","2,461","1,486","3,418",125,799,"2,847","1,091","1,273"
2020년10월_여_30~39세,"32,602","1,391",699,855,881,927,"1,031","2,277","1,667",759,"1,389","1,494","1,980",749,745,"1,395","3,536","1,014","4,255",118,813,"2,817",945,865
2020년10월_여_40~49세,"40,839","2,265",831,"1,152","1,211","1,122",821,"2,356","1,407",980,"2,158","1,619","1,891",690,"1,074","1,898","3,810","1,328","5,047",161,"2,234","3,612","1,157","2,015"
2020년10월_여_50~59세,"40,205","1,755","1,378","1,623","1,719","1,458","1,006","2,290","1,367","1,049","2,068","1,835","2,117",927,"1,550","2,197","2,949","1,527","3,701",329,"1,146","3,248","1,184","1,782"
2020년10월_여_60~69세,"28,068","1,261","1,400","1,631","1,333","1,324",922,"1,336","1,019",940,"1,693","1,514","1,264",625,"1,264","1,358","1,967",743,"1,900",337,656,"1,647",596,"1,338"
2020년10월_여_70~79세,"14,016",599,822,916,689,746,522,619,523,535,864,576,464,290,750,491,823,460,901,331,422,627,266,780
2020년10월_여_80~89세,"7,219",281,347,436,365,308,260,346,221,242,391,284,279,136,520,289,407,257,510,262,214,355,124,385
2020년10월_여_90~99세,"1,299",49,55,77,66,60,34,56,39,44,56,59,40,29,104,51,91,45,87,72,39,52,28,66
