카테고리,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2020년04월_계_총인구수,"37,036","10,757","4,716","4,865","1,866","1,685","3,293","2,596","3,540","1,677","2,041"
2020년04월_계_연령구간인구수,"37,036","10,757","4,716","4,865","1,866","1,685","3,293","2,596","3,540","1,677","2,041"
2020년04월_계_0~9세,"1,811",676,246,314,75,46,157,100,112,35,50
2020년04월_계_10~19세,"2,642","1,015",248,393,128,111,196,190,162,97,102
2020년04월_계_20~29세,"2,869","1,015",351,411,124,119,233,170,199,120,127
2020년04월_계_30~39세,"3,274",975,727,522,105,101,321,152,185,73,113
2020년04월_계_40~49세,"5,021","1,679",712,762,220,188,428,321,338,172,201
2020년04월_계_50~59세,"7,160","1,946",795,925,396,337,666,519,767,389,420
2020년04월_계_60~69세,"7,209","1,716",863,879,392,350,745,537,827,397,503
2020년04월_계_70~79세,"4,531","1,112",545,472,281,274,368,347,559,245,328
2020년04월_계_80~89세,"2,129",508,192,167,131,122,152,215,340,129,173
2020년04월_계_90~99세,344,102,28,14,14,27,25,44,48,19,23
2020년04월_계_100세 이상,46,13,9,6,0,10,2,1,3,1,1
2020년04월_남_총인구수,"19,232","5,462","2,472","2,575",965,834,"1,766","1,304","1,874",900,"1,080"
2020년04월_남_연령구간인구수,"19,232","5,462","2,472","2,575",965,834,"1,766","1,304","1,874",900,"1,080"
2020년04월_남_0~9세,933,352,115,165,34,20,85,49,57,22,34
2020년04월_남_10~19세,"1,364",529,118,212,64,58,98,93,89,50,53
2020년04월_남_20~29세,"1,633",581,184,232,72,66,145,101,108,72,72
2020년04월_남_30~39세,"1,851",509,422,282,65,61,199,84,114,46,69
2020년04월_남_40~49세,"2,914",883,439,430,140,114,261,183,219,110,135
2020년04월_남_50~59세,"3,891","1,036",448,507,216,191,343,282,428,228,212
2020년04월_남_60~69세,"3,777",892,401,455,217,170,406,278,458,218,282
2020년04월_남_70~79세,"2,042",485,257,219,105,108,179,154,263,112,160
2020년04월_남_80~89세,729,174,74,66,47,33,44,68,126,40,57
2020년04월_남_90~99세,79,17,11,3,5,7,5,11,12,2,6
2020년04월_남_100세 이상,19,4,3,4,0,6,1,1,0,0,0
2020년04월_여_총인구수,"17,804","5,295","2,244","2,290",901,851,"1,527","1,292","1,666",777,961
2020년04월_여_연령구간인구수,"17,804","5,295","2,244","2,290",901,851,"1,527","1,292","1,666",777,961
2020년04월_여_0~9세,878,324,131,149,41,26,72,51,55,13,16
2020년04월_여_10~19세,"1,278",486,130,181,64,53,98,97,73,47,49
2020년04월_여_20~29세,"1,236",434,167,179,52,53,88,69,91,48,55
2020년04월_여_30~39세,"1,423",466,305,240,40,40,122,68,71,27,44
2020년04월_여_40~49세,"2,107",796,273,332,80,74,167,138,119,62,66
2020년04월_여_50~59세,"3,269",910,347,418,180,146,323,237,339,161,208
2020년04월_여_60~69세,"3,432",824,462,424,175,180,339,259,369,179,221
2020년04월_여_70~79세,"2,489",627,288,253,176,166,189,193,296,133,168
2020년04월_여_80~89세,"1,400",334,118,101,84,89,108,147,214,89,116
2020년04월_여_90~99세,265,85,17,11,9,20,20,33,36,17,17
2020년04월_여_100세 이상,27,9,6,2,0,4,1,0,3,1,1
